,Category of dataset,dataset,relation,Configuration_Num,y_true,y_pred,Sc1,Sc2,F1 cross-domain,Recall cross-domain,Precision cross-domain
16,ChEMBL,assays_both_50_1_ac4_ev,Joinable,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['assays_CHEI', 'assays_ASI', 'assays_T', 'assays_CI', 'assays_TII', 'assays_BFO', 'assays_CONSCO', 'assays_RELAT', 'assays_CUB', 'assays_SI']",0.0,0.0,0.0
18,ChEMBL,assays_vertical_30_ac1_ev,Joinable,0,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1]","[1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]","['assay_id', 'src_id', 'tissue_id', 'confidence_score', 'doc_id', 'assay_organism', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type']","['assays_assay_id', 'assays_chembl_id', 'assays_doc_id', 'assays_tid', 'assays_cell_id', 'assays_assay_organism', 'assays_tissue_id', 'assays_bao_format', 'assays_confidence_score', 'assays_relationship_type', 'assays_assay_subcellular_fraction', 'assays_curated_by', 'assays_src_id']",0.8333333333333334,0.8333333333333334,0.8333333333333334
23,ChEMBL,assays_both_50_30_ac5_ev,Joinable,0,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'tissue_id', 'src_id', 'assay_tissue', 'doc_id', 'assay_subcellular_fraction', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_cell_type']","['assays_ss_d', 'assays_chmbl_d', 'assays_dc_d', 'assays_td', 'assays_tss_d', 'assays_cll_d', 'assays_ss_tss', 'assays_b_frmt', 'assays_cnfdnc_scr', 'assays_rltnshp_tp', 'assays_ss_sbclllr_frctn', 'assays_crtd_b', 'assays_src_d']",0.5,0.3333333333333333,1.0
34,ChEMBL,assays_vertical_70_ac4_ev,Joinable,0,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'bao_format', 'description', 'tissue_id', 'relationship_type', 'src_id', 'assay_cell_type', 'chembl_id', 'assay_test_type', 'tid', 'doc_id', 'assay_subcellular_fraction', 'assay_tissue', 'assay_type', 'assay_strain', 'assay_category', 'assay_organism', 'assay_tax_id', 'confidence_score']","['assays_CHI', 'assays_ASSI', 'assays_Descri', 'assays_DI', 'assays_T', 'assays_ASSCET', 'assays_CI', 'assays_ASTIS', 'assays_TISI', 'assays_BFOR', 'assays_RELAT', 'assays_ASSTY', 'assays_ASTET', 'assays_ASSUBCEFR', 'assays_CURAB', 'assays_ASSST', 'assays_SI']",0.0,0.0,0.0
47,ChEMBL,assays_vertical_1_ac1_ev,Joinable,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 1, 0, 1, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['assays_assay_id', 'assays_chembl_id', 'assays_tid', 'assays_cell_id', 'assays_tissue_id', 'assays_bao_format', 'assays_confidence_score', 'assays_relationship_type', 'assays_curated_by', 'assays_src_id']",0.2222222222222222,1.0,0.125
58,ChEMBL,assays_vertical_1_ac2_ev,Joinable,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['CHEI', 'ASSI', 'T', 'CI', 'TII', 'BAFO', 'CONSC', 'RELATIT', 'CURAB', 'SI']",0.0,0.0,0.0
68,ChEMBL,assays_both_50_70_ac4_ev,Joinable,0,"[0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'tissue_id', 'doc_id', 'assay_tax_id', 'bao_format', 'assay_category', 'src_assay_id', 'cell_id', 'curated_by', 'src_id', 'assay_organism', 'assay_test_type', 'confidence_score', 'assay_subcellular_fraction', 'relationship_type', 'assay_strain', 'description', 'assay_type', 'assay_tissue']","['assays_CHI', 'assays_ASSI', 'assays_DI', 'assays_T', 'assays_ASTI', 'assays_ASSORGA', 'assays_CEI', 'assays_ASCT', 'assays_TII', 'assays_BAFOR', 'assays_CONFSCO', 'assays_RELTY', 'assays_ASSUBCFRA', 'assays_ASSTETY', 'assays_CURB', 'assays_SRI', 'assays_ASST']",0.42105263157894735,0.2857142857142857,0.8
70,ChEMBL,assays_vertical_50_ac4_ev,Joinable,0,"[1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","['assay_id', 'assay_category', 'assay_tissue', 'variant_id', 'assay_organism', 'chembl_id', 'doc_id', 'assay_strain', 'tid', 'curated_by', 'assay_tax_id', 'description', 'assay_type', 'assay_test_type', 'assay_cell_type', 'assay_subcellular_fraction', 'relationship_type']","['assays_CHI', 'assays_ASI', 'assays_DI', 'assays_Ti', 'assays_CEI', 'assays_ASSOR', 'assays_ASSTAI', 'assays_ASTIS', 'assays_TII', 'assays_BAFOR', 'assays_CONFISCO', 'assays_CURAB', 'assays_ASSTR', 'assays_SRI']",0.0,0.0,0.0
71,ChEMBL,assays_vertical_70_ac1_ev,Joinable,0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1]","['assay_id', 'assay_organism', 'confidence_score', 'assay_type', 'assay_cell_type', 'src_id', 'description', 'tid', 'assay_tax_id', 'assay_subcellular_fraction', 'variant_id', 'chembl_id', 'doc_id', 'tissue_id', 'cell_id', 'src_assay_id', 'assay_test_type', 'assay_category', 'assay_strain']","['assays_chembl_id', 'assays_assay_id', 'assays_description', 'assays_doc_id', 'assays_tid', 'assays_assay_cell_type', 'assays_cell_id', 'assays_assay_organism', 'assays_assay_tax_id', 'assays_assay_tissue', 'assays_tissue_id', 'assays_bao_format', 'assays_confidence_score', 'assays_relationship_type', 'assays_assay_type', 'assays_assay_subcellular_fraction', 'assays_curated_by', 'assays_src_id']",0.7857142857142857,0.7857142857142857,0.7857142857142857
139,ChEMBL,assays_vertical_50_ac2_ev,Joinable,0,"[0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1]","[0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0]","['assay_id', 'curated_by', 'assay_tax_id', 'assay_test_type', 'src_id', 'tissue_id', 'assay_category', 'description', 'relationship_type', 'assay_subcellular_fraction', 'cell_id', 'doc_id', 'assay_type', 'assay_organism', 'assay_strain', 'assay_tissue', 'assay_cell_type']","['CHI', 'ASSI', 'Descr', 'Ti', 'CEI', 'ASTAI', 'TISI', 'BFOR', 'CONSCO', 'RELATIT', 'ASSUBFR', 'CUB', 'ASSTT', 'SRI']",0.16666666666666666,0.1,0.5
