,Category of dataset,dataset,relation,Configuration_Num,y_true,y_pred,Sc1,Sc2,F1 cross-domain,Recall cross-domain,Precision cross-domain
282,Magellan,amazon_google_exp,amazon_google_exp,0,"[1, 1, 1, 1]","[1, 1, 1, 1]","['id', 'title', 'manufacturer', 'price']","['id', 'title', 'price', 'manufacturer']",1.0,1.0,1.0
699,Magellan,amazon_google_exp,amazon_google_exp,1,"[1, 1, 1, 1]","[0, 1, 1, 1]","['id', 'title', 'manufacturer', 'price']","['id', 'title', 'price', 'manufacturer']",1.0,1.0,1.0
1150,Magellan,amazon_google_exp,amazon_google_exp,2,"[1, 1, 1, 1]","[1, 1, 1, 1]","['id', 'title', 'manufacturer', 'price']","['id', 'title', 'price', 'manufacturer']",1.0,1.0,1.0
1565,Magellan,amazon_google_exp,amazon_google_exp,3,"[1, 1, 1, 1]","[0, 1, 1, 1]","['id', 'title', 'manufacturer', 'price']","['id', 'title', 'price', 'manufacturer']",1.0,1.0,1.0
1931,Magellan,amazon_google_exp,amazon_google_exp,4,"[1, 1, 1, 1]","[1, 1, 1, 1]","['id', 'title', 'manufacturer', 'price']","['id', 'title', 'price', 'manufacturer']",1.0,1.0,1.0
2438,Magellan,amazon_google_exp,amazon_google_exp,5,"[1, 1, 1, 1]","[0, 1, 1, 1]","['id', 'title', 'manufacturer', 'price']","['id', 'title', 'price', 'manufacturer']",0.8571428571428571,0.75,1.0
2795,Magellan,amazon_google_exp,amazon_google_exp,6,"[1, 1, 1, 1]","[1, 1, 1, 1]","['id', 'title', 'manufacturer', 'price']","['id', 'title', 'price', 'manufacturer']",1.0,1.0,1.0
3176,Magellan,amazon_google_exp,amazon_google_exp,7,"[1, 1, 1, 1]","[0, 1, 1, 1]","['id', 'title', 'manufacturer', 'price']","['id', 'title', 'price', 'manufacturer']",1.0,1.0,1.0
3686,Magellan,amazon_google_exp,amazon_google_exp,8,"[1, 1, 1, 1]","[1, 1, 1, 1]","['id', 'title', 'manufacturer', 'price']","['id', 'title', 'price', 'manufacturer']",1.0,1.0,1.0
4008,Magellan,amazon_google_exp,amazon_google_exp,9,"[1, 1, 1, 1]","[0, 1, 1, 1]","['id', 'title', 'manufacturer', 'price']","['id', 'title', 'price', 'manufacturer']",0.8571428571428571,0.75,1.0
4702,Magellan,amazon_google_exp,amazon_google_exp,10,"[1, 1, 1, 1]","[1, 1, 1, 1]","['id', 'title', 'manufacturer', 'price']","['id', 'title', 'price', 'manufacturer']",1.0,1.0,1.0
5159,Magellan,amazon_google_exp,amazon_google_exp,11,"[1, 1, 1, 1]","[0, 1, 1, 1]","['id', 'title', 'manufacturer', 'price']","['id', 'title', 'price', 'manufacturer']",1.0,1.0,1.0
5621,Magellan,amazon_google_exp,amazon_google_exp,12,"[1, 1, 1, 1]","[1, 1, 1, 1]","['id', 'title', 'manufacturer', 'price']","['id', 'title', 'price', 'manufacturer']",1.0,1.0,1.0
