,Category of dataset,dataset,relation,Configuration_Num,y_true,y_pred,Sc1,Sc2,F1 cross-domain,Recall cross-domain,Precision cross-domain
105,Magellan,beeradvo_ratebeer,beeradvo_ratebeer,0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",1.0,1.0,1.0
704,Magellan,beeradvo_ratebeer,beeradvo_ratebeer,1,"[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",1.0,1.0,1.0
970,Magellan,beeradvo_ratebeer,beeradvo_ratebeer,2,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",1.0,1.0,1.0
1590,Magellan,beeradvo_ratebeer,beeradvo_ratebeer,3,"[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",1.0,1.0,1.0
2045,Magellan,beeradvo_ratebeer,beeradvo_ratebeer,4,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",1.0,1.0,1.0
2558,Magellan,beeradvo_ratebeer,beeradvo_ratebeer,5,"[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",1.0,1.0,1.0
2926,Magellan,beeradvo_ratebeer,beeradvo_ratebeer,6,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",1.0,1.0,1.0
3444,Magellan,beeradvo_ratebeer,beeradvo_ratebeer,7,"[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",1.0,1.0,1.0
3670,Magellan,beeradvo_ratebeer,beeradvo_ratebeer,8,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",1.0,1.0,1.0
3923,Magellan,beeradvo_ratebeer,beeradvo_ratebeer,9,"[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",1.0,1.0,1.0
