,Category of dataset,dataset,relation,Configuration_Num,y_true,y_pred,Sc1,Sc2,F1 cross-domain,Recall cross-domain,Precision cross-domain
41,Magellan,dblp_acm,dblp_acm,0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
567,Magellan,dblp_acm,dblp_acm,1,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
1241,Magellan,dblp_acm,dblp_acm,2,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
1499,Magellan,dblp_acm,dblp_acm,3,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
1815,Magellan,dblp_acm,dblp_acm,4,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0.8888888888888888,0.8,1.0
2213,Magellan,dblp_acm,dblp_acm,5,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
2975,Magellan,dblp_acm,dblp_acm,6,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
3110,Magellan,dblp_acm,dblp_acm,7,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
3825,Magellan,dblp_acm,dblp_acm,8,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
4241,Magellan,dblp_acm,dblp_acm,9,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
4474,Magellan,dblp_acm,dblp_acm,10,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
4910,Magellan,dblp_acm,dblp_acm,11,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
5284,Magellan,dblp_acm,dblp_acm,12,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
5939,Magellan,dblp_acm,dblp_acm,13,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
6269,Magellan,dblp_acm,dblp_acm,14,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
6827,Magellan,dblp_acm,dblp_acm,15,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
7228,Magellan,dblp_acm,dblp_acm,16,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0.8888888888888888,0.8,1.0
7631,Magellan,dblp_acm,dblp_acm,17,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
7942,Magellan,dblp_acm,dblp_acm,18,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0.8888888888888888,0.8,1.0
8340,Magellan,dblp_acm,dblp_acm,19,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
8741,Magellan,dblp_acm,dblp_acm,20,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
9164,Magellan,dblp_acm,dblp_acm,21,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0.8888888888888888,0.8,1.0
9816,Magellan,dblp_acm,dblp_acm,22,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
10394,Magellan,dblp_acm,dblp_acm,23,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
10645,Magellan,dblp_acm,dblp_acm,24,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0.8888888888888888,0.8,1.0
11249,Magellan,dblp_acm,dblp_acm,25,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
11448,Magellan,dblp_acm,dblp_acm,26,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
11905,Magellan,dblp_acm,dblp_acm,27,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
12270,Magellan,dblp_acm,dblp_acm,28,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
13015,Magellan,dblp_acm,dblp_acm,29,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
13404,Magellan,dblp_acm,dblp_acm,30,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
13886,Magellan,dblp_acm,dblp_acm,31,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
13974,Magellan,dblp_acm,dblp_acm,32,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
14514,Magellan,dblp_acm,dblp_acm,33,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
14974,Magellan,dblp_acm,dblp_acm,34,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
15520,Magellan,dblp_acm,dblp_acm,35,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
15712,Magellan,dblp_acm,dblp_acm,36,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
16144,Magellan,dblp_acm,dblp_acm,37,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
16771,Magellan,dblp_acm,dblp_acm,38,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
17020,Magellan,dblp_acm,dblp_acm,39,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
17564,Magellan,dblp_acm,dblp_acm,40,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
17872,Magellan,dblp_acm,dblp_acm,41,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
18344,Magellan,dblp_acm,dblp_acm,42,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0.8888888888888888,0.8,1.0
18880,Magellan,dblp_acm,dblp_acm,43,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
19477,Magellan,dblp_acm,dblp_acm,44,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
19611,Magellan,dblp_acm,dblp_acm,45,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
20245,Magellan,dblp_acm,dblp_acm,46,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0.8888888888888888,0.8,1.0
20695,Magellan,dblp_acm,dblp_acm,47,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
21025,Magellan,dblp_acm,dblp_acm,48,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
21451,Magellan,dblp_acm,dblp_acm,49,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
22115,Magellan,dblp_acm,dblp_acm,50,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
22410,Magellan,dblp_acm,dblp_acm,51,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
22663,Magellan,dblp_acm,dblp_acm,52,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
23180,Magellan,dblp_acm,dblp_acm,53,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
23557,Magellan,dblp_acm,dblp_acm,54,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
23937,Magellan,dblp_acm,dblp_acm,55,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
24698,Magellan,dblp_acm,dblp_acm,56,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
24931,Magellan,dblp_acm,dblp_acm,57,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0.8888888888888888,0.8,1.0
25421,Magellan,dblp_acm,dblp_acm,58,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
25777,Magellan,dblp_acm,dblp_acm,59,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
26320,Magellan,dblp_acm,dblp_acm,60,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
26711,Magellan,dblp_acm,dblp_acm,61,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
26913,Magellan,dblp_acm,dblp_acm,62,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
27505,Magellan,dblp_acm,dblp_acm,63,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
27925,Magellan,dblp_acm,dblp_acm,64,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
28606,Magellan,dblp_acm,dblp_acm,65,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
28927,Magellan,dblp_acm,dblp_acm,66,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
29360,Magellan,dblp_acm,dblp_acm,67,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0
