,Category of dataset,dataset,relation,Configuration_Num,y_true,y_pred,Sc1,Sc2,F1 cross-domain,Recall cross-domain,Precision cross-domain
100,Magellan,dblp_scholar,dblp_scholar,0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",1.0,1.0,1.0
741,Magellan,dblp_scholar,dblp_scholar,1,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",1.0,1.0,1.0
948,Magellan,dblp_scholar,dblp_scholar,2,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",0.8888888888888888,0.8,1.0
1467,Magellan,dblp_scholar,dblp_scholar,3,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",1.0,1.0,1.0
1831,Magellan,dblp_scholar,dblp_scholar,4,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",1.0,1.0,1.0
2219,Magellan,dblp_scholar,dblp_scholar,5,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",1.0,1.0,1.0
2692,Magellan,dblp_scholar,dblp_scholar,6,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",1.0,1.0,1.0
3455,Magellan,dblp_scholar,dblp_scholar,7,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",1.0,1.0,1.0
3887,Magellan,dblp_scholar,dblp_scholar,8,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",1.0,1.0,1.0
4143,Magellan,dblp_scholar,dblp_scholar,9,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",1.0,1.0,1.0
4604,Magellan,dblp_scholar,dblp_scholar,10,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",1.0,1.0,1.0
5179,Magellan,dblp_scholar,dblp_scholar,11,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",1.0,1.0,1.0
5607,Magellan,dblp_scholar,dblp_scholar,12,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",1.0,1.0,1.0
5916,Magellan,dblp_scholar,dblp_scholar,13,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",0.8888888888888888,0.8,1.0
6370,Magellan,dblp_scholar,dblp_scholar,14,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",1.0,1.0,1.0
6806,Magellan,dblp_scholar,dblp_scholar,15,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",1.0,1.0,1.0
7062,Magellan,dblp_scholar,dblp_scholar,16,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",1.0,1.0,1.0
7615,Magellan,dblp_scholar,dblp_scholar,17,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",0.8888888888888888,0.8,1.0
7977,Magellan,dblp_scholar,dblp_scholar,18,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",1.0,1.0,1.0
8592,Magellan,dblp_scholar,dblp_scholar,19,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",0.75,0.6,1.0
8814,Magellan,dblp_scholar,dblp_scholar,20,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",1.0,1.0,1.0
9385,Magellan,dblp_scholar,dblp_scholar,21,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",1.0,1.0,1.0
9986,Magellan,dblp_scholar,dblp_scholar,22,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",1.0,1.0,1.0
10228,Magellan,dblp_scholar,dblp_scholar,23,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",1.0,1.0,1.0
10750,Magellan,dblp_scholar,dblp_scholar,24,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",1.0,1.0,1.0
10887,Magellan,dblp_scholar,dblp_scholar,25,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",1.0,1.0,1.0
11385,Magellan,dblp_scholar,dblp_scholar,26,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",1.0,1.0,1.0
12119,Magellan,dblp_scholar,dblp_scholar,27,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",0.8888888888888888,0.8,1.0
12503,Magellan,dblp_scholar,dblp_scholar,28,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",1.0,1.0,1.0
12777,Magellan,dblp_scholar,dblp_scholar,29,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",0.8888888888888888,0.8,1.0
13444,Magellan,dblp_scholar,dblp_scholar,30,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",1.0,1.0,1.0
13690,Magellan,dblp_scholar,dblp_scholar,31,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",1.0,1.0,1.0
14255,Magellan,dblp_scholar,dblp_scholar,32,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",1.0,1.0,1.0
14377,Magellan,dblp_scholar,dblp_scholar,33,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",1.0,1.0,1.0
15178,Magellan,dblp_scholar,dblp_scholar,34,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",0.8888888888888888,0.8,1.0
15330,Magellan,dblp_scholar,dblp_scholar,35,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",1.0,1.0,1.0
16053,Magellan,dblp_scholar,dblp_scholar,36,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",1.0,1.0,1.0
16471,Magellan,dblp_scholar,dblp_scholar,37,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",1.0,1.0,1.0
16710,Magellan,dblp_scholar,dblp_scholar,38,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",1.0,1.0,1.0
17206,Magellan,dblp_scholar,dblp_scholar,39,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",1.0,1.0,1.0
17620,Magellan,dblp_scholar,dblp_scholar,40,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",1.0,1.0,1.0
17829,Magellan,dblp_scholar,dblp_scholar,41,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",0.8888888888888888,0.8,1.0
18264,Magellan,dblp_scholar,dblp_scholar,42,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",0.8888888888888888,0.8,1.0
18779,Magellan,dblp_scholar,dblp_scholar,43,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",1.0,1.0,1.0
19182,Magellan,dblp_scholar,dblp_scholar,44,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",0.8888888888888888,0.8,1.0
19822,Magellan,dblp_scholar,dblp_scholar,45,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",1.0,1.0,1.0
19980,Magellan,dblp_scholar,dblp_scholar,46,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",1.0,1.0,1.0
