,Category of dataset,dataset,relation,Configuration_Num,y_true,y_pred,Sc1,Sc2,F1 cross-domain,Recall cross-domain,Precision cross-domain
112,Magellan,itunes_amazon,itunes_amazon,0,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","['id', 'Song_Name', 'Artist_Name', 'Album_Name', 'Genre', 'Price', 'CopyRight', 'Time', 'Released']","['id', 'Song_Name', 'Album_Name', 'CopyRight', 'Released', 'Artist_Name', 'Time', 'Genre', 'Price']",1.0,1.0,1.0
520,Magellan,itunes_amazon,itunes_amazon,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1, 1, 1]","['id', 'Song_Name', 'Artist_Name', 'Album_Name', 'Genre', 'Price', 'CopyRight', 'Time', 'Released']","['id', 'Song_Name', 'Album_Name', 'CopyRight', 'Released', 'Artist_Name', 'Time', 'Genre', 'Price']",1.0,1.0,1.0
985,Magellan,itunes_amazon,itunes_amazon,2,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","['id', 'Song_Name', 'Artist_Name', 'Album_Name', 'Genre', 'Price', 'CopyRight', 'Time', 'Released']","['id', 'Song_Name', 'Album_Name', 'CopyRight', 'Released', 'Artist_Name', 'Time', 'Genre', 'Price']",0.9411764705882353,0.8888888888888888,1.0
1618,Magellan,itunes_amazon,itunes_amazon,3,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1, 1, 1]","['id', 'Song_Name', 'Artist_Name', 'Album_Name', 'Genre', 'Price', 'CopyRight', 'Time', 'Released']","['id', 'Song_Name', 'Album_Name', 'CopyRight', 'Released', 'Artist_Name', 'Time', 'Genre', 'Price']",1.0,1.0,1.0
1888,Magellan,itunes_amazon,itunes_amazon,4,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","['id', 'Song_Name', 'Artist_Name', 'Album_Name', 'Genre', 'Price', 'CopyRight', 'Time', 'Released']","['id', 'Song_Name', 'Album_Name', 'CopyRight', 'Released', 'Artist_Name', 'Time', 'Genre', 'Price']",1.0,1.0,1.0
2560,Magellan,itunes_amazon,itunes_amazon,5,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1, 1, 1]","['id', 'Song_Name', 'Artist_Name', 'Album_Name', 'Genre', 'Price', 'CopyRight', 'Time', 'Released']","['id', 'Song_Name', 'Album_Name', 'CopyRight', 'Released', 'Artist_Name', 'Time', 'Genre', 'Price']",1.0,1.0,1.0
2894,Magellan,itunes_amazon,itunes_amazon,6,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 0, 1, 1, 1, 1]","['id', 'Song_Name', 'Artist_Name', 'Album_Name', 'Genre', 'Price', 'CopyRight', 'Time', 'Released']","['id', 'Song_Name', 'Album_Name', 'CopyRight', 'Released', 'Artist_Name', 'Time', 'Genre', 'Price']",1.0,1.0,1.0
3063,Magellan,itunes_amazon,itunes_amazon,7,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 0, 1, 1, 1, 1]","['id', 'Song_Name', 'Artist_Name', 'Album_Name', 'Genre', 'Price', 'CopyRight', 'Time', 'Released']","['id', 'Song_Name', 'Album_Name', 'CopyRight', 'Released', 'Artist_Name', 'Time', 'Genre', 'Price']",0.9411764705882353,0.8888888888888888,1.0
3537,Magellan,itunes_amazon,itunes_amazon,8,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","['id', 'Song_Name', 'Artist_Name', 'Album_Name', 'Genre', 'Price', 'CopyRight', 'Time', 'Released']","['id', 'Song_Name', 'Album_Name', 'CopyRight', 'Released', 'Artist_Name', 'Time', 'Genre', 'Price']",1.0,1.0,1.0
4176,Magellan,itunes_amazon,itunes_amazon,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1, 1, 1]","['id', 'Song_Name', 'Artist_Name', 'Album_Name', 'Genre', 'Price', 'CopyRight', 'Time', 'Released']","['id', 'Song_Name', 'Album_Name', 'CopyRight', 'Released', 'Artist_Name', 'Time', 'Genre', 'Price']",1.0,1.0,1.0
4582,Magellan,itunes_amazon,itunes_amazon,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","['id', 'Song_Name', 'Artist_Name', 'Album_Name', 'Genre', 'Price', 'CopyRight', 'Time', 'Released']","['id', 'Song_Name', 'Album_Name', 'CopyRight', 'Released', 'Artist_Name', 'Time', 'Genre', 'Price']",1.0,1.0,1.0
