,Category of dataset,dataset,relation,Configuration_Num,y_true,y_pred,Sc1,Sc2,F1 cross-domain,Recall cross-domain,Precision cross-domain
8,Magellan,walmart_amazon,walmart_amazon,0,"[1, 1, 1, 1, 1, 1]","[1, 0, 1, 1, 1, 1]","['id', 'title', 'category', 'brand', 'modelno', 'price']","['id', 'title', 'modelno', 'brand', 'price', 'category']",1.0,1.0,1.0
694,Magellan,walmart_amazon,walmart_amazon,1,"[1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1]","['id', 'title', 'category', 'brand', 'modelno', 'price']","['id', 'title', 'modelno', 'brand', 'price', 'category']",0.9090909090909091,0.8333333333333334,1.0
959,Magellan,walmart_amazon,walmart_amazon,2,"[1, 1, 1, 1, 1, 1]","[1, 0, 1, 0, 1, 1]","['id', 'title', 'category', 'brand', 'modelno', 'price']","['id', 'title', 'modelno', 'brand', 'price', 'category']",0.8,0.6666666666666666,1.0
1556,Magellan,walmart_amazon,walmart_amazon,3,"[1, 1, 1, 1, 1, 1]","[0, 1, 1, 0, 1, 1]","['id', 'title', 'category', 'brand', 'modelno', 'price']","['id', 'title', 'modelno', 'brand', 'price', 'category']",1.0,1.0,1.0
1790,Magellan,walmart_amazon,walmart_amazon,4,"[1, 1, 1, 1, 1, 1]","[1, 0, 1, 0, 1, 1]","['id', 'title', 'category', 'brand', 'modelno', 'price']","['id', 'title', 'modelno', 'brand', 'price', 'category']",1.0,1.0,1.0
2226,Magellan,walmart_amazon,walmart_amazon,5,"[1, 1, 1, 1, 1, 1]","[0, 1, 1, 0, 1, 1]","['id', 'title', 'category', 'brand', 'modelno', 'price']","['id', 'title', 'modelno', 'brand', 'price', 'category']",1.0,1.0,1.0
2841,Magellan,walmart_amazon,walmart_amazon,6,"[1, 1, 1, 1, 1, 1]","[1, 0, 1, 0, 1, 1]","['id', 'title', 'category', 'brand', 'modelno', 'price']","['id', 'title', 'modelno', 'brand', 'price', 'category']",1.0,1.0,1.0
3448,Magellan,walmart_amazon,walmart_amazon,7,"[1, 1, 1, 1, 1, 1]","[0, 1, 1, 0, 1, 1]","['id', 'title', 'category', 'brand', 'modelno', 'price']","['id', 'title', 'modelno', 'brand', 'price', 'category']",0.9090909090909091,0.8333333333333334,1.0
3523,Magellan,walmart_amazon,walmart_amazon,8,"[1, 1, 1, 1, 1, 1]","[1, 0, 1, 1, 1, 1]","['id', 'title', 'category', 'brand', 'modelno', 'price']","['id', 'title', 'modelno', 'brand', 'price', 'category']",1.0,1.0,1.0
4272,Magellan,walmart_amazon,walmart_amazon,9,"[1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1]","['id', 'title', 'category', 'brand', 'modelno', 'price']","['id', 'title', 'modelno', 'brand', 'price', 'category']",0.9090909090909091,0.8333333333333334,1.0
4433,Magellan,walmart_amazon,walmart_amazon,10,"[1, 1, 1, 1, 1, 1]","[1, 0, 1, 1, 1, 1]","['id', 'title', 'category', 'brand', 'modelno', 'price']","['id', 'title', 'modelno', 'brand', 'price', 'category']",1.0,1.0,1.0
5026,Magellan,walmart_amazon,walmart_amazon,11,"[1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1]","['id', 'title', 'category', 'brand', 'modelno', 'price']","['id', 'title', 'modelno', 'brand', 'price', 'category']",0.9090909090909091,0.8333333333333334,1.0
5428,Magellan,walmart_amazon,walmart_amazon,12,"[1, 1, 1, 1, 1, 1]","[1, 0, 1, 0, 1, 1]","['id', 'title', 'category', 'brand', 'modelno', 'price']","['id', 'title', 'modelno', 'brand', 'price', 'category']",0.9090909090909091,0.8333333333333334,1.0
5821,Magellan,walmart_amazon,walmart_amazon,13,"[1, 1, 1, 1, 1, 1]","[0, 1, 1, 0, 1, 1]","['id', 'title', 'category', 'brand', 'modelno', 'price']","['id', 'title', 'modelno', 'brand', 'price', 'category']",1.0,1.0,1.0
6250,Magellan,walmart_amazon,walmart_amazon,14,"[1, 1, 1, 1, 1, 1]","[1, 0, 1, 0, 1, 1]","['id', 'title', 'category', 'brand', 'modelno', 'price']","['id', 'title', 'modelno', 'brand', 'price', 'category']",1.0,1.0,1.0
6944,Magellan,walmart_amazon,walmart_amazon,15,"[1, 1, 1, 1, 1, 1]","[0, 1, 1, 0, 1, 1]","['id', 'title', 'category', 'brand', 'modelno', 'price']","['id', 'title', 'modelno', 'brand', 'price', 'category']",1.0,1.0,1.0
