,Category of dataset,dataset,relation,Configuration_Num,y_true,y_pred,Sc1,Sc2,F1 cross-domain,Recall cross-domain,Precision cross-domain
3,TPC-DI,prospect_both_0_50_ac4_av,View-Unionable,0,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0]","['AgencyID', 'AddressLine1', 'Gender', 'MiddleInitial', 'Phone', 'Income', 'NetWorth', 'City', 'FirstName', 'PostalCode', 'Employer', 'LastName', 'AddressLine2', 'State', 'Country', 'NumberCars']","['prospect_FiN', 'prospect_AgeID', 'prospect_PosC', 'prospect_Pho', 'prospect_AdL1', 'prospect_In', 'prospect_NWo', 'prospect_Empl', 'prospect_CrRa', 'prospect_C', 'prospect_Ag', 'prospect_MidIn', 'prospect_Ge', 'prospect_NumCreCa', 'prospect_NumChil', 'prospect_MaSta', 'prospect_OOReFl']",0.0,0.0,0.0
6,TPC-DI,prospect_both_0_1_ac2_ev,View-Unionable,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0]","['AgencyID', 'LastName', 'FirstName', 'MiddleInitial', 'Gender', 'AddressLine1', 'AddressLine2', 'PostalCode', 'City', 'State', 'Country']","['AgID', 'Ph', 'Inc', 'NeWor', 'Empl', 'CreRa', 'Ag', 'NumCreCar', 'NumC', 'NuChi', 'MaSta', 'OwOReFl']",0.0,0.0,0.0
10,TPC-DI,prospect_both_0_70_ac3_ev,View-Unionable,0,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1]","[0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0]","['AgencyID', 'PostalCode', 'AddressLine2', 'NumberCars', 'FirstName', 'OwnOrRentFlag', 'Income', 'MaritalStatus', 'LastName', 'MiddleInitial', 'AddressLine1', 'State', 'Phone', 'Employer', 'NumberCreditCards', 'Gender', 'City', 'Country']","['gncd', 'frstnm', 'lstnm', 'pstlcd', 'ddrssln1', 'ddrssln2', 'ntwrth', 'ncm', 'phn', 'mplr', 'crdtrtng', 'g', 'stt', 'mddlntl', 'nmbrcrdtcrds', 'nmbrcrs', 'nmbrchldrn', 'mrtlstts', 'wnrrntflg']",0.0,0.0,0.0
11,TPC-DI,prospect_both_0_50_ac1_ev,View-Unionable,0,"[1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1]","[0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]","['AgencyID', 'Age', 'Income', 'AddressLine1', 'CreditRating', 'NumberChildren', 'Country', 'AddressLine2', 'NetWorth', 'OwnOrRentFlag', 'Employer', 'LastName', 'FirstName', 'MiddleInitial', 'Gender', 'PostalCode']","['prospect_AgencyID', 'prospect_AddressLine1', 'prospect_AddressLine2', 'prospect_Phone', 'prospect_NetWorth', 'prospect_Income', 'prospect_Employer', 'prospect_CreditRating', 'prospect_City', 'prospect_Age', 'prospect_State', 'prospect_NumberCreditCards', 'prospect_NumberCars', 'prospect_NumberChildren', 'prospect_MaritalStatus', 'prospect_OwnOrRentFlag', 'prospect_Country']",0.0,0.0,0.0
19,TPC-DI,prospect_both_0_70_ac2_ev,View-Unionable,0,"[1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1]","[0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['AgencyID', 'MiddleInitial', 'CreditRating', 'State', 'LastName', 'Income', 'NumberCreditCards', 'City', 'AddressLine2', 'MaritalStatus', 'NumberChildren', 'Age', 'Employer', 'Country', 'AddressLine1', 'FirstName', 'Gender', 'PostalCode']","['LNa', 'AgID', 'Ph', 'AddrL1', 'AdLi2', 'Inc', 'NeWo', 'Emp', 'CrRat', 'Ci', 'Ag', 'Sta', 'MidInit', 'NuCreCar', 'NumCa', 'NuCh', 'MaSta', 'OORF', 'Coun']",0.45454545454545453,0.3333333333333333,0.7142857142857143
22,TPC-DI,prospect_both_0_50_ac5_av,View-Unionable,0,"[1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0]","['AgencyID', 'City', 'AddressLine2', 'CreditRating', 'OwnOrRentFlag', 'Income', 'FirstName', 'NumberChildren', 'NetWorth', 'MiddleInitial', 'Employer', 'LastName', 'Gender', 'AddressLine1', 'PostalCode', 'State']","['prospect_frstnm', 'prospect_gncd', 'prospect_phn', 'prospect_ddrssln2', 'prospect_ntwrth', 'prospect_ncm', 'prospect_mplr', 'prospect_crdtrtng', 'prospect_ct', 'prospect_g', 'prospect_mddlntl', 'prospect_nmbrcrdtcrds', 'prospect_nmbrcrs', 'prospect_nmbrchldrn', 'prospect_mrtlstts', 'prospect_wnrrntflg', 'prospect_cntr']",0.0,0.0,0.0
35,TPC-DI,prospect_both_0_1_ac4_av,View-Unionable,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['AgencyID', 'LastName', 'FirstName', 'MiddleInitial', 'Gender', 'AddressLine1', 'AddressLine2', 'PostalCode', 'City', 'State', 'Country']","['prospect_AgID', 'prospect_Pho', 'prospect_In', 'prospect_NWo', 'prospect_Empl', 'prospect_CrRat', 'prospect_A', 'prospect_NumCrCa', 'prospect_NumChil', 'prospect_MariSt', 'prospect_NumC', 'prospect_OORFl']",0.0,0.0,0.0
46,TPC-DI,prospect_both_0_1_ac2_av,View-Unionable,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0]","['AgencyID', 'LastName', 'FirstName', 'MiddleInitial', 'Gender', 'AddressLine1', 'AddressLine2', 'PostalCode', 'City', 'State', 'Country']","['AgeID', 'Ph', 'NWo', 'In', 'Empl', 'CreRat', 'A', 'NumCreCa', 'NumChil', 'NuCa', 'MaSt', 'OOReF']",0.0,0.0,0.0
52,TPC-DI,prospect_both_0_50_ac3_ev,View-Unionable,0,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0]","[0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","['AgencyID', 'OwnOrRentFlag', 'Phone', 'Employer', 'MiddleInitial', 'PostalCode', 'Gender', 'NumberCars', 'State', 'Income', 'MaritalStatus', 'LastName', 'FirstName', 'AddressLine1', 'AddressLine2', 'City']","['gncd', 'pstlcd', 'phn', 'ntwrth', 'ncm', 'mplr', 'crdtrtng', 'g', 'stt', 'mddlntl', 'gndr', 'nmbrcrdtcrds', 'nmbrchldrn', 'nmbrcrs', 'mrtlstts', 'wnrrntflg', 'cntr']",0.0,0.0,0.0
81,TPC-DI,prospect_both_0_50_ac5_ev,View-Unionable,0,"[1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0]","[0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]","['AgencyID', 'NumberChildren', 'NumberCars', 'City', 'CreditRating', 'NetWorth', 'Gender', 'OwnOrRentFlag', 'NumberCreditCards', 'PostalCode', 'FirstName', 'LastName', 'MiddleInitial', 'AddressLine1', 'AddressLine2', 'State']","['prospect_gncd', 'prospect_frstnm', 'prospect_pstlcd', 'prospect_ntwrth', 'prospect_phn', 'prospect_ncm', 'prospect_mplr', 'prospect_crdtrtng', 'prospect_ct', 'prospect_g', 'prospect_gndr', 'prospect_nmbrcrdtcrds', 'prospect_mrtlstts', 'prospect_nmbrchldrn', 'prospect_nmbrcrs', 'prospect_wnrrntflg', 'prospect_cntr']",0.0,0.0,0.0
