,Category of dataset,dataset,relation,Configuration_Num,y_true,y_pred,Sc1,Sc2,execution_time,F1_score,recall,precision
5,ChEMBL,assays_horizontal_100_ec_ev,Unionable,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction', 'tid', 'relationship_type', 'confidence_score', 'curated_by', 'src_id', 'src_assay_id', 'chembl_id', 'cell_id', 'bao_format', 'tissue_id', 'variant_id']","['assay_id', 'chembl_id', 'description', 'doc_id', 'assay_tissue', 'tissue_id', 'assay_tax_id', 'assay_organism', 'tid', 'bao_format', 'confidence_score', 'relationship_type', 'assay_type', 'curated_by', 'assay_test_type', 'cell_id', 'assay_cell_type', 'assay_subcellular_fraction', 'src_id', 'assay_strain']",,1.0,1.0,1.0
16,ChEMBL,assays_horizontal_0_ec_av,Unionable,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction', 'tid', 'relationship_type', 'confidence_score', 'curated_by', 'src_id', 'src_assay_id', 'chembl_id', 'cell_id', 'bao_format', 'tissue_id', 'variant_id']","['assay_id', 'chembl_id', 'description', 'doc_id', 'assay_tissue', 'tissue_id', 'assay_tax_id', 'assay_organism', 'tid', 'bao_format', 'assay_type', 'confidence_score', 'assay_test_type', 'curated_by', 'relationship_type', 'assay_cell_type', 'cell_id', 'src_id', 'assay_strain', 'assay_subcellular_fraction']",,1.0,1.0,1.0
26,ChEMBL,assays_horizontal_100_ac3_av,Unionable,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction', 'tid', 'relationship_type', 'confidence_score', 'curated_by', 'src_id', 'src_assay_id', 'chembl_id', 'cell_id', 'bao_format', 'tissue_id', 'variant_id']","['chmbl_d', 'ss_d', 'dscrptn', 'dc_d', 'ss_tss', 'tss_d', 'ss_tx_d', 'ss_rgnsm', 'td', 'b_frmt', 'cnfdnc_scr', 'ss_tp', 'rltnshp_tp', 'crtd_b', 'ss_tst_tp', 'ss_cll_tp', 'cll_d', 'src_d', 'ss_strn', 'ss_sbclllr_frctn']",,0.18,0.1,1.0
55,ChEMBL,assays_horizontal_100_ac1_ev,Unionable,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction', 'tid', 'relationship_type', 'confidence_score', 'curated_by', 'src_id', 'src_assay_id', 'chembl_id', 'cell_id', 'bao_format', 'tissue_id', 'variant_id']","['assays_chembl_id', 'assays_assay_id', 'assays_description', 'assays_doc_id', 'assays_assay_tissue', 'assays_tissue_id', 'assays_assay_tax_id', 'assays_assay_organism', 'assays_tid', 'assays_bao_format', 'assays_assay_type', 'assays_confidence_score', 'assays_relationship_type', 'assays_curated_by', 'assays_assay_test_type', 'assays_assay_cell_type', 'assays_cell_id', 'assays_assay_strain', 'assays_src_id', 'assays_assay_subcellular_fraction']",,0.89,0.8,1.0
63,ChEMBL,assays_horizontal_50_ec_ev,Unionable,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction', 'tid', 'relationship_type', 'confidence_score', 'curated_by', 'src_id', 'src_assay_id', 'chembl_id', 'cell_id', 'bao_format', 'tissue_id', 'variant_id']","['chembl_id', 'assay_id', 'description', 'doc_id', 'tissue_id', 'assay_tissue', 'assay_organism', 'assay_tax_id', 'tid', 'bao_format', 'confidence_score', 'relationship_type', 'assay_type', 'curated_by', 'assay_test_type', 'cell_id', 'assay_cell_type', 'assay_subcellular_fraction', 'assay_strain', 'src_id']",,1.0,1.0,1.0
65,ChEMBL,assays_horizontal_50_ac1_ev,Unionable,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction', 'tid', 'relationship_type', 'confidence_score', 'curated_by', 'src_id', 'src_assay_id', 'chembl_id', 'cell_id', 'bao_format', 'tissue_id', 'variant_id']","['assays_assay_id', 'assays_chembl_id', 'assays_description', 'assays_doc_id', 'assays_assay_tissue', 'assays_tissue_id', 'assays_assay_organism', 'assays_assay_tax_id', 'assays_tid', 'assays_bao_format', 'assays_confidence_score', 'assays_assay_type', 'assays_relationship_type', 'assays_curated_by', 'assays_assay_test_type', 'assays_cell_id', 'assays_assay_cell_type', 'assays_src_id', 'assays_assay_strain', 'assays_assay_subcellular_fraction']",,0.89,0.8,1.0
66,ChEMBL,assays_horizontal_100_ac3_ev,Unionable,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction', 'tid', 'relationship_type', 'confidence_score', 'curated_by', 'src_id', 'src_assay_id', 'chembl_id', 'cell_id', 'bao_format', 'tissue_id', 'variant_id']","['chmbl_d', 'ss_d', 'dscrptn', 'dc_d', 'ss_tss', 'tss_d', 'ss_tx_d', 'ss_rgnsm', 'td', 'b_frmt', 'cnfdnc_scr', 'ss_tp', 'rltnshp_tp', 'crtd_b', 'cll_d', 'ss_tst_tp', 'ss_cll_tp', 'src_d', 'ss_strn', 'ss_sbclllr_frctn']",,0.1,0.05,1.0
74,ChEMBL,assays_horizontal_50_ac5_ev,Unionable,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction', 'tid', 'relationship_type', 'confidence_score', 'curated_by', 'src_id', 'src_assay_id', 'chembl_id', 'cell_id', 'bao_format', 'tissue_id', 'variant_id']","['assays_chmbl_d', 'assays_ss_d', 'assays_dscrptn', 'assays_dc_d', 'assays_tss_d', 'assays_ss_tss', 'assays_ss_rgnsm', 'assays_ss_tx_d', 'assays_td', 'assays_b_frmt', 'assays_ss_tp', 'assays_cnfdnc_scr', 'assays_ss_tst_tp', 'assays_rltnshp_tp', 'assays_crtd_b', 'assays_cll_d', 'assays_ss_cll_tp', 'assays_ss_sbclllr_frctn', 'assays_src_d', 'assays_ss_strn']",,0.0,0.0,0.0
75,ChEMBL,assays_horizontal_100_ac2_av,Unionable,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction', 'tid', 'relationship_type', 'confidence_score', 'curated_by', 'src_id', 'src_assay_id', 'chembl_id', 'cell_id', 'bao_format', 'tissue_id', 'variant_id']","['CHEI', 'ASSI', 'Des', 'DI', 'ASTI', 'TII', 'ASSORG', 'ASSTAI', 'Ti', 'BAFO', 'RELATY', 'CONSCO', 'AST', 'ASSTT', 'CURB', 'CI', 'ASCTY', 'ASSST', 'SRI', 'ASSSUBCEFRAC']",0 days 00:22:15.867944,0.57,0.4,1.0
89,ChEMBL,assays_horizontal_50_ac5_av,Unionable,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction', 'tid', 'relationship_type', 'confidence_score', 'curated_by', 'src_id', 'src_assay_id', 'chembl_id', 'cell_id', 'bao_format', 'tissue_id', 'variant_id']","['assays_ss_d', 'assays_chmbl_d', 'assays_dscrptn', 'assays_dc_d', 'assays_tss_d', 'assays_ss_tss', 'assays_ss_tx_d', 'assays_ss_rgnsm', 'assays_td', 'assays_b_frmt', 'assays_rltnshp_tp', 'assays_cnfdnc_scr', 'assays_crtd_b', 'assays_ss_tp', 'assays_ss_tst_tp', 'assays_ss_cll_tp', 'assays_cll_d', 'assays_src_d', 'assays_ss_sbclllr_frctn', 'assays_ss_strn']",,0.0,0.0,0.0
