,Category of dataset,dataset,relation,Configuration_Num,y_true,y_pred,Sc1,Sc2,execution_time,F1_score,recall,precision
367,Magellan,amazon_google_exp,amazon_google_exp,1.0,"[1, 1, 1, 1]","[1, 1, 1, 1]","['id', 'title', 'manufacturer', 'price']","['id', 'title', 'price', 'manufacturer']",0 days 00:00:39.318587,1.0,1.0,1.0
481,Magellan,amazon_google_exp,amazon_google_exp,2.0,"[1, 1, 1, 1]","[0, 1, 1, 1]","['id', 'title', 'manufacturer', 'price']","['id', 'title', 'price', 'manufacturer']",0 days 00:00:51.719630,0.86,0.75,1.0
1163,Magellan,amazon_google_exp,amazon_google_exp,3.0,"[1, 1, 1, 1]","[1, 1, 1, 1]","['id', 'title', 'manufacturer', 'price']","['id', 'title', 'price', 'manufacturer']",0 days 00:00:39.297035,1.0,1.0,1.0
1567,Magellan,amazon_google_exp,amazon_google_exp,4.0,"[1, 1, 1, 1]","[0, 1, 1, 1]","['id', 'title', 'manufacturer', 'price']","['id', 'title', 'price', 'manufacturer']",0 days 00:00:39.006725,0.86,0.75,1.0
1812,Magellan,amazon_google_exp,amazon_google_exp,5.0,"[1, 1, 1, 1]","[1, 1, 1, 1]","['id', 'title', 'manufacturer', 'price']","['id', 'title', 'price', 'manufacturer']",0 days 00:00:38.397578,1.0,1.0,1.0
2303,Magellan,amazon_google_exp,amazon_google_exp,6.0,"[1, 1, 1, 1]","[0, 1, 1, 1]","['id', 'title', 'manufacturer', 'price']","['id', 'title', 'price', 'manufacturer']",0 days 00:00:39.728105,0.86,0.75,1.0
2894,Magellan,amazon_google_exp,amazon_google_exp,7.0,"[1, 1, 1, 1]","[1, 1, 1, 1]","['id', 'title', 'manufacturer', 'price']","['id', 'title', 'price', 'manufacturer']",0 days 00:00:39.048712,1.0,1.0,1.0
3474,Magellan,amazon_google_exp,amazon_google_exp,8.0,"[1, 1, 1, 1]","[0, 1, 1, 1]","['id', 'title', 'manufacturer', 'price']","['id', 'title', 'price', 'manufacturer']",0 days 00:00:56.581807,0.86,0.75,1.0
3859,Magellan,amazon_google_exp,amazon_google_exp,9.0,"[1, 1, 1, 1]","[1, 1, 1, 1]","['id', 'title', 'manufacturer', 'price']","['id', 'title', 'price', 'manufacturer']",0 days 00:00:57.031592,1.0,1.0,1.0
4078,Magellan,amazon_google_exp,amazon_google_exp,10.0,"[1, 1, 1, 1]","[0, 1, 1, 1]","['id', 'title', 'manufacturer', 'price']","['id', 'title', 'price', 'manufacturer']",0 days 00:00:56.326452,0.86,0.75,1.0
4797,Magellan,amazon_google_exp,amazon_google_exp,11.0,"[1, 1, 1, 1]","[1, 1, 1, 1]","['id', 'title', 'manufacturer', 'price']","['id', 'title', 'price', 'manufacturer']",0 days 00:00:56.632989,1.0,1.0,1.0
4898,Magellan,amazon_google_exp,amazon_google_exp,12.0,"[1, 1, 1, 1]","[0, 1, 1, 1]","['id', 'title', 'manufacturer', 'price']","['id', 'title', 'price', 'manufacturer']",0 days 00:01:26.915858,0.86,0.75,1.0
5432,Magellan,amazon_google_exp,amazon_google_exp,13.0,"[1, 1, 1, 1]","[1, 1, 1, 1]","['id', 'title', 'manufacturer', 'price']","['id', 'title', 'price', 'manufacturer']",0 days 00:00:56.243448,1.0,1.0,1.0
5977,Magellan,amazon_google_exp,amazon_google_exp,14.0,"[1, 1, 1, 1]","[0, 1, 1, 1]","['id', 'title', 'manufacturer', 'price']","['id', 'title', 'price', 'manufacturer']",0 days 00:00:56.724734,0.86,0.75,1.0
