,Category of dataset,dataset,relation,Configuration_Num,y_true,y_pred,Sc1,Sc2,execution_time,F1_score,recall,precision
416,Magellan,beeradvo_ratebeer,beeradvo_ratebeer,1.0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",0 days 00:00:50.294684,1.0,1.0,1.0
761,Magellan,beeradvo_ratebeer,beeradvo_ratebeer,2.0,"[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",0 days 00:00:51.149650,0.89,0.8,1.0
1017,Magellan,beeradvo_ratebeer,beeradvo_ratebeer,3.0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",0 days 00:00:47.028550,1.0,1.0,1.0
1559,Magellan,beeradvo_ratebeer,beeradvo_ratebeer,4.0,"[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",0 days 00:00:36.394949,0.89,0.8,1.0
1828,Magellan,beeradvo_ratebeer,beeradvo_ratebeer,5.0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",0 days 00:00:35.143582,1.0,1.0,1.0
2270,Magellan,beeradvo_ratebeer,beeradvo_ratebeer,6.0,"[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",0 days 00:00:49.989943,0.89,0.8,1.0
3050,Magellan,beeradvo_ratebeer,beeradvo_ratebeer,7.0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",0 days 00:00:35.794376,1.0,1.0,1.0
3298,Magellan,beeradvo_ratebeer,beeradvo_ratebeer,8.0,"[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",0 days 00:00:35.878681,0.89,0.8,1.0
3623,Magellan,beeradvo_ratebeer,beeradvo_ratebeer,9.0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",0 days 00:00:50.913384,1.0,1.0,1.0
4182,Magellan,beeradvo_ratebeer,beeradvo_ratebeer,10.0,"[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",0 days 00:00:51.416159,0.89,0.8,1.0
