,Category of dataset,dataset,relation,Configuration_Num,y_true,y_pred,Sc1,Sc2,execution_time,F1_score,recall,precision
407,Magellan,dblp_acm,dblp_acm,1.0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0 days 00:01:02.157600,1.0,1.0,1.0
851,Magellan,dblp_acm,dblp_acm,2.0,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0 days 00:00:44.765334,0.89,0.8,1.0
998,Magellan,dblp_acm,dblp_acm,3.0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0 days 00:00:44.942544,1.0,1.0,1.0
1534,Magellan,dblp_acm,dblp_acm,4.0,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0 days 00:00:45.209998,0.89,0.8,1.0
2065,Magellan,dblp_acm,dblp_acm,5.0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0 days 00:00:45.295302,1.0,1.0,1.0
2411,Magellan,dblp_acm,dblp_acm,6.0,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0 days 00:00:45.327716,0.89,0.8,1.0
2916,Magellan,dblp_acm,dblp_acm,7.0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0 days 00:00:45.222490,1.0,1.0,1.0
3241,Magellan,dblp_acm,dblp_acm,8.0,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0 days 00:00:45.125927,0.89,0.8,1.0
3497,Magellan,dblp_acm,dblp_acm,9.0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0 days 00:01:28.091335,1.0,1.0,1.0
4006,Magellan,dblp_acm,dblp_acm,10.0,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0 days 00:01:04.953094,0.89,0.8,1.0
4370,Magellan,dblp_acm,dblp_acm,11.0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0 days 00:01:30.797295,1.0,1.0,1.0
5161,Magellan,dblp_acm,dblp_acm,12.0,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0 days 00:01:33.345588,0.89,0.8,1.0
5424,Magellan,dblp_acm,dblp_acm,13.0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0 days 00:01:04.673426,1.0,1.0,1.0
5833,Magellan,dblp_acm,dblp_acm,14.0,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0 days 00:01:37.012640,0.89,0.8,1.0
6423,Magellan,dblp_acm,dblp_acm,15.0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0 days 00:01:27.345268,1.0,1.0,1.0
6697,Magellan,dblp_acm,dblp_acm,16.0,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0 days 00:03:05.961517,0.89,0.8,1.0
7157,Magellan,dblp_acm,dblp_acm,17.0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0 days 00:01:00.812478,1.0,1.0,1.0
7527,Magellan,dblp_acm,dblp_acm,18.0,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0 days 00:01:40.394545,0.89,0.8,1.0
8214,Magellan,dblp_acm,dblp_acm,19.0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0 days 00:01:28.954360,1.0,1.0,1.0
8398,Magellan,dblp_acm,dblp_acm,20.0,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0 days 00:01:26.522656,0.89,0.8,1.0
9030,Magellan,dblp_acm,dblp_acm,21.0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0 days 00:01:02.673408,1.0,1.0,1.0
9415,Magellan,dblp_acm,dblp_acm,22.0,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0 days 00:01:01.948267,0.89,0.8,1.0
9627,Magellan,dblp_acm,dblp_acm,23.0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0 days 00:01:02.134852,1.0,1.0,1.0
10087,Magellan,dblp_acm,dblp_acm,24.0,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0 days 00:01:02.679296,0.89,0.8,1.0
10789,Magellan,dblp_acm,dblp_acm,25.0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0 days 00:02:02.995058,1.0,1.0,1.0
11112,Magellan,dblp_acm,dblp_acm,26.0,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0 days 00:01:29.968023,0.89,0.8,1.0
11354,Magellan,dblp_acm,dblp_acm,27.0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0 days 00:01:29.763796,1.0,1.0,1.0
12151,Magellan,dblp_acm,dblp_acm,28.0,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0 days 00:01:29.393518,0.89,0.8,1.0
12232,Magellan,dblp_acm,dblp_acm,29.0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0 days 00:01:30.127846,1.0,1.0,1.0
12915,Magellan,dblp_acm,dblp_acm,30.0,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0 days 00:01:27.559860,0.89,0.8,1.0
13342,Magellan,dblp_acm,dblp_acm,31.0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0 days 00:02:05.936226,1.0,1.0,1.0
13808,Magellan,dblp_acm,dblp_acm,32.0,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0 days 00:01:30.369683,0.89,0.8,1.0
14156,Magellan,dblp_acm,dblp_acm,33.0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0 days 00:01:00.755150,1.0,1.0,1.0
14729,Magellan,dblp_acm,dblp_acm,34.0,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0 days 00:00:45.195118,0.89,0.8,1.0
15101,Magellan,dblp_acm,dblp_acm,35.0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0 days 00:00:46.781088,1.0,1.0,1.0
15374,Magellan,dblp_acm,dblp_acm,36.0,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0 days 00:00:45.282471,0.89,0.8,1.0
15666,Magellan,dblp_acm,dblp_acm,37.0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0 days 00:01:04.219558,1.0,1.0,1.0
16465,Magellan,dblp_acm,dblp_acm,38.0,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0 days 00:01:02.695868,0.89,0.8,1.0
16730,Magellan,dblp_acm,dblp_acm,39.0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0 days 00:01:01.322963,1.0,1.0,1.0
16981,Magellan,dblp_acm,dblp_acm,40.0,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0 days 00:01:01.187672,0.89,0.8,1.0
17542,Magellan,dblp_acm,dblp_acm,41.0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0 days 00:01:04.324390,1.0,1.0,1.0
