,Category of dataset,dataset,relation,Configuration_Num,y_true,y_pred,Sc1,Sc2,execution_time,F1_score,recall,precision
180,Magellan,dblp_scholar,dblp_scholar,1.0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",0 days 00:01:41.037840,1.0,1.0,1.0
833,Magellan,dblp_scholar,dblp_scholar,2.0,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",0 days 00:01:43.276833,0.89,0.8,1.0
1180,Magellan,dblp_scholar,dblp_scholar,3.0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",0 days 00:02:13.798908,1.0,1.0,1.0
1403,Magellan,dblp_scholar,dblp_scholar,4.0,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",0 days 00:01:41.242564,0.89,0.8,1.0
2177,Magellan,dblp_scholar,dblp_scholar,5.0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",0 days 00:01:43.614432,1.0,1.0,1.0
2367,Magellan,dblp_scholar,dblp_scholar,6.0,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",0 days 00:02:24.808848,0.89,0.8,1.0
2898,Magellan,dblp_scholar,dblp_scholar,7.0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",0 days 00:01:43.938955,1.0,1.0,1.0
3289,Magellan,dblp_scholar,dblp_scholar,8.0,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",0 days 00:02:22.438671,0.89,0.8,1.0
3554,Magellan,dblp_scholar,dblp_scholar,9.0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",0 days 00:03:03.965157,1.0,1.0,1.0
4026,Magellan,dblp_scholar,dblp_scholar,10.0,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",0 days 00:02:10.905214,0.89,0.8,1.0
4432,Magellan,dblp_scholar,dblp_scholar,11.0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",0 days 00:03:04.026341,1.0,1.0,1.0
4882,Magellan,dblp_scholar,dblp_scholar,12.0,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",0 days 00:02:10.642584,0.89,0.8,1.0
5257,Magellan,dblp_scholar,dblp_scholar,13.0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",0 days 00:02:08.809102,1.0,1.0,1.0
5819,Magellan,dblp_scholar,dblp_scholar,14.0,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",0 days 00:02:07.843061,0.89,0.8,1.0
6299,Magellan,dblp_scholar,dblp_scholar,15.0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",0 days 00:02:08.874893,1.0,1.0,1.0
6891,Magellan,dblp_scholar,dblp_scholar,16.0,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",0 days 00:02:09.153158,0.89,0.8,1.0
7205,Magellan,dblp_scholar,dblp_scholar,17.0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",0 days 00:02:06.917171,1.0,1.0,1.0
