,Category of dataset,dataset,relation,Configuration_Num,y_true,y_pred,Sc1,Sc2,execution_time,F1_score,recall,precision
207,Magellan,fodors_zagats,fodors_zagats,1.0,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['name', 'class', 'phone', 'id', 'addr', 'type', 'city']",0 days 00:00:28.623286,1.0,1.0,1.0
608,Magellan,fodors_zagats,fodors_zagats,2.0,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 0, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['name', 'class', 'id', 'phone', 'addr', 'type', 'city']",0 days 00:00:38.837396,0.92,0.86,1.0
883,Magellan,fodors_zagats,fodors_zagats,3.0,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['name', 'class', 'id', 'phone', 'addr', 'type', 'city']",0 days 00:00:46.938894,1.0,1.0,1.0
1597,Magellan,fodors_zagats,fodors_zagats,4.0,"[1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['id', 'class', 'name', 'phone', 'addr', 'type', 'city']",0 days 00:00:29.081257,0.92,0.86,1.0
2074,Magellan,fodors_zagats,fodors_zagats,5.0,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['class', 'name', 'id', 'phone', 'addr', 'type', 'city']",0 days 00:00:46.931072,1.0,1.0,1.0
2192,Magellan,fodors_zagats,fodors_zagats,6.0,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 0, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['phone', 'name', 'id', 'class', 'addr', 'type', 'city']",0 days 00:00:42.575718,0.92,0.86,1.0
2791,Magellan,fodors_zagats,fodors_zagats,7.0,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['class', 'id', 'name', 'phone', 'addr', 'type', 'city']",0 days 00:00:43.107548,1.0,1.0,1.0
3197,Magellan,fodors_zagats,fodors_zagats,8.0,"[1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['id', 'class', 'name', 'phone', 'addr', 'type', 'city']",0 days 00:00:28.773417,0.92,0.86,1.0
3820,Magellan,fodors_zagats,fodors_zagats,9.0,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['name', 'class', 'id', 'phone', 'addr', 'type', 'city']",0 days 00:00:39.159309,1.0,1.0,1.0
4215,Magellan,fodors_zagats,fodors_zagats,10.0,"[1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['id', 'class', 'name', 'phone', 'addr', 'type', 'city']",0 days 00:00:53.848833,0.92,0.86,1.0
4793,Magellan,fodors_zagats,fodors_zagats,11.0,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['name', 'class', 'id', 'phone', 'addr', 'type', 'city']",0 days 00:00:53.652108,1.0,1.0,1.0
4986,Magellan,fodors_zagats,fodors_zagats,12.0,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 0, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['class', 'name', 'id', 'phone', 'addr', 'type', 'city']",0 days 00:00:53.426828,0.92,0.86,1.0
5558,Magellan,fodors_zagats,fodors_zagats,13.0,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['name', 'class', 'id', 'phone', 'addr', 'type', 'city']",0 days 00:00:39.683505,1.0,1.0,1.0
5784,Magellan,fodors_zagats,fodors_zagats,14.0,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 0, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['name', 'class', 'id', 'phone', 'addr', 'type', 'city']",0 days 00:00:39.837082,0.92,0.86,1.0
