,Category of dataset,dataset,relation,Configuration_Num,y_true,y_pred,Sc1,Sc2,execution_time,F1_score,recall,precision
433,Magellan,itunes_amazon,itunes_amazon,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","['id', 'Song_Name', 'Artist_Name', 'Album_Name', 'Genre', 'Price', 'CopyRight', 'Time', 'Released']","['id', 'Song_Name', 'Album_Name', 'CopyRight', 'Released', 'Artist_Name', 'Time', 'Genre', 'Price']",0 days 00:01:33.789463,1.0,1.0,1.0
473,Magellan,itunes_amazon,itunes_amazon,2.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1, 1, 1]","['id', 'Song_Name', 'Artist_Name', 'Album_Name', 'Genre', 'Price', 'CopyRight', 'Time', 'Released']","['id', 'Song_Name', 'Album_Name', 'CopyRight', 'Released', 'Artist_Name', 'Time', 'Genre', 'Price']",0 days 00:02:09.723972,0.94,0.89,1.0
975,Magellan,itunes_amazon,itunes_amazon,3.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","['id', 'Song_Name', 'Artist_Name', 'Album_Name', 'Genre', 'Price', 'CopyRight', 'Time', 'Released']","['id', 'Song_Name', 'Album_Name', 'CopyRight', 'Released', 'Artist_Name', 'Time', 'Genre', 'Price']",0 days 00:02:09.177019,1.0,1.0,1.0
1460,Magellan,itunes_amazon,itunes_amazon,4.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1, 1, 1]","['id', 'Song_Name', 'Artist_Name', 'Album_Name', 'Genre', 'Price', 'CopyRight', 'Time', 'Released']","['id', 'Song_Name', 'Album_Name', 'CopyRight', 'Released', 'Artist_Name', 'Time', 'Genre', 'Price']",0 days 00:01:33.578881,0.94,0.89,1.0
2021,Magellan,itunes_amazon,itunes_amazon,5.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","['id', 'Song_Name', 'Artist_Name', 'Album_Name', 'Genre', 'Price', 'CopyRight', 'Time', 'Released']","['id', 'Song_Name', 'Album_Name', 'CopyRight', 'Released', 'Artist_Name', 'Time', 'Genre', 'Price']",0 days 00:01:32.732227,1.0,1.0,1.0
2609,Magellan,itunes_amazon,itunes_amazon,6.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1, 1, 1]","['id', 'Song_Name', 'Artist_Name', 'Album_Name', 'Genre', 'Price', 'CopyRight', 'Time', 'Released']","['id', 'Song_Name', 'Album_Name', 'CopyRight', 'Released', 'Artist_Name', 'Time', 'Genre', 'Price']",0 days 00:01:32.503274,0.94,0.89,1.0
2667,Magellan,itunes_amazon,itunes_amazon,7.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 0, 1, 1, 1, 1]","['id', 'Song_Name', 'Artist_Name', 'Album_Name', 'Genre', 'Price', 'CopyRight', 'Time', 'Released']","['id', 'Song_Name', 'Album_Name', 'CopyRight', 'Released', 'Artist_Name', 'Time', 'Genre', 'Price']",0 days 00:01:33.967720,0.94,0.89,1.0
3175,Magellan,itunes_amazon,itunes_amazon,8.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 0, 1, 1, 1, 1]","['id', 'Song_Name', 'Artist_Name', 'Album_Name', 'Genre', 'Price', 'CopyRight', 'Time', 'Released']","['id', 'Song_Name', 'Album_Name', 'CopyRight', 'Released', 'Artist_Name', 'Time', 'Genre', 'Price']",0 days 00:01:33.360421,0.88,0.78,1.0
3632,Magellan,itunes_amazon,itunes_amazon,9.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","['id', 'Song_Name', 'Artist_Name', 'Album_Name', 'Genre', 'Price', 'CopyRight', 'Time', 'Released']","['id', 'Song_Name', 'Album_Name', 'CopyRight', 'Released', 'Artist_Name', 'Time', 'Genre', 'Price']",0 days 00:01:57.801338,1.0,1.0,1.0
3959,Magellan,itunes_amazon,itunes_amazon,10.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1, 1, 1]","['id', 'Song_Name', 'Artist_Name', 'Album_Name', 'Genre', 'Price', 'CopyRight', 'Time', 'Released']","['id', 'Song_Name', 'Album_Name', 'CopyRight', 'Released', 'Artist_Name', 'Time', 'Genre', 'Price']",0 days 00:02:40.432489,0.94,0.89,1.0
