,Category of dataset,dataset,relation,Configuration_Num,y_true,y_pred,Sc1,Sc2,execution_time,F1_score,recall,precision
267,Magellan,walmart_amazon,walmart_amazon,1.0,"[1, 1, 1, 1, 1, 1]","[1, 0, 1, 1, 1, 1]","['id', 'title', 'category', 'brand', 'modelno', 'price']","['id', 'title', 'modelno', 'brand', 'price', 'category']",0 days 00:01:05.879781,0.91,0.83,1.0
783,Magellan,walmart_amazon,walmart_amazon,2.0,"[1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1]","['id', 'title', 'category', 'brand', 'modelno', 'price']","['id', 'title', 'modelno', 'brand', 'price', 'category']",0 days 00:01:06.448582,0.91,0.83,1.0
1156,Magellan,walmart_amazon,walmart_amazon,3.0,"[1, 1, 1, 1, 1, 1]","[1, 0, 1, 0, 1, 1]","['id', 'title', 'category', 'brand', 'modelno', 'price']","['id', 'title', 'modelno', 'brand', 'price', 'category']",0 days 00:01:05.169415,0.8,0.67,1.0
1505,Magellan,walmart_amazon,walmart_amazon,4.0,"[1, 1, 1, 1, 1, 1]","[0, 1, 1, 0, 1, 1]","['id', 'title', 'category', 'brand', 'modelno', 'price']","['id', 'title', 'modelno', 'brand', 'price', 'category']",0 days 00:01:04.906881,0.8,0.67,1.0
2116,Magellan,walmart_amazon,walmart_amazon,5.0,"[1, 1, 1, 1, 1, 1]","[1, 0, 1, 0, 1, 1]","['id', 'title', 'category', 'brand', 'modelno', 'price']","['id', 'title', 'modelno', 'brand', 'price', 'category']",0 days 00:01:07.150430,0.8,0.67,1.0
2562,Magellan,walmart_amazon,walmart_amazon,6.0,"[1, 1, 1, 1, 1, 1]","[0, 1, 1, 0, 1, 1]","['id', 'title', 'category', 'brand', 'modelno', 'price']","['id', 'title', 'modelno', 'brand', 'price', 'category']",0 days 00:01:05.633162,0.8,0.67,1.0
2617,Magellan,walmart_amazon,walmart_amazon,7.0,"[1, 1, 1, 1, 1, 1]","[1, 0, 1, 0, 1, 1]","['id', 'title', 'category', 'brand', 'modelno', 'price']","['id', 'title', 'modelno', 'brand', 'price', 'category']",0 days 00:01:32.043941,0.8,0.67,1.0
3352,Magellan,walmart_amazon,walmart_amazon,8.0,"[1, 1, 1, 1, 1, 1]","[0, 1, 1, 0, 1, 1]","['id', 'title', 'category', 'brand', 'modelno', 'price']","['id', 'title', 'modelno', 'brand', 'price', 'category']",0 days 00:01:04.743264,0.8,0.67,1.0
3694,Magellan,walmart_amazon,walmart_amazon,9.0,"[1, 1, 1, 1, 1, 1]","[1, 0, 1, 1, 1, 1]","['id', 'title', 'category', 'brand', 'modelno', 'price']","['id', 'title', 'modelno', 'brand', 'price', 'category']",0 days 00:01:26.431732,0.91,0.83,1.0
3954,Magellan,walmart_amazon,walmart_amazon,10.0,"[1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1]","['id', 'title', 'category', 'brand', 'modelno', 'price']","['id', 'title', 'modelno', 'brand', 'price', 'category']",0 days 00:02:11.890036,0.91,0.83,1.0
