,Category of dataset,dataset,relation,Configuration_Num,y_true,y_pred,Sc1,Sc2,execution_time,F1_score,recall,precision
2,OpenData,miller2_both_50_70_ac5_av,Semantically-Joinable,1.0,"[1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Fiscal year', 'FSTC percent', 'Branch name', 'Enviromental sustainability (marker)', 'Section ID', 'Bilateral aid (international marker)', 'Regional program (marker)', 'Organisation type', 'Sector name', 'Amount spent', 'Continent ID', 'Branch ID', 'Gender equality (marker)', 'Organisation class', 'Status', 'Section name', 'Organisation name', 'Trade development (marker)', 'Sector percent', 'Indigenous issues (marker)', 'Untied amount(Project-level budget)', 'Fund centre ID', 'Children issues (marker)', 'Participatory development and good governance', 'Urban issues (marker)', 'ICT as a tool for development (marker)', 'Organisation sub-class', 'Fund centre name', 'Programming process (new)', 'Knowledge for development (marker)', 'Youth issues (marker)', 'CountryRegion percent', 'CIDA business delivery model (old)', 'Organisation ID', 'Climate change mitigation (marker)', 'Project number', 'Maximum CIDA contribution (project-level)', 'Division ID', 'Division name', 'IRTC percent', 'CFLI (marker)', 'PBA type', 'Climate change adaptation (marker)']","['miller2_mntspnt', 'miller2_ntdmnt(prjct-lvlbdgt)', 'miller2_rgnstnd', 'miller2_rgnstnnm', 'miller2_cntrrgnnm', 'miller2_prjctbrwsrcntrd', 'miller2_sctrnm', 'miller2_cntrrgnd', 'miller2_sctrd', 'miller2_fndcntrnm', 'miller2_fndcntrd', 'miller2_sctnd', 'miller2_sctnnm', 'miller2_rgnstnsb-clss', 'miller2_brnchnm', 'miller2_cntnntd', 'miller2_rgnstnclss', 'miller2_brnchd', 'miller2_ctstlfrdvlpmnt(mrkr)', 'miller2_rgnstntp', 'miller2_dsrtfctn(mrkr)', 'miller2_cntnntnm', 'miller2_trddvlpmnt(mrkr)', 'miller2_dsbltsss(mrkr)', 'miller2_ndgnssss(mrkr)', 'miller2_gndrqlt(mrkr)', 'miller2_cdbsnssdlvrmdl(ld)', 'miller2_thsss(mrkr)', 'miller2_bdvrst(mrkr)', 'miller2_prtcptrdvlpmntndgdgvrnnc', 'miller2_rbnsss(mrkr)', 'miller2_clmtchngmtgtn(mrkr)', 'miller2_stts', 'miller2_chldrnsss(mrkr)', 'miller2_knwldgfrdvlpmnt(mrkr)', 'miller2_nvrmntlsstnblt(mrkr)', 'miller2_sctrprcnt', 'miller2_cntrrgnprcnt', 'miller2_bltrld(ntrntnlmrkr)', 'miller2_fstcprcnt', 'miller2_rgnlprgrm(mrkr)', 'miller2_fsclr', 'miller2_prgrmmngprcss(nw)']",,0.0,0.0,0.0
83,OpenData,miller2_both_50_1_ac3_av,Semantically-Joinable,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","['Fiscal year', 'Project number', 'Status', 'Maximum CIDA contribution (project-level)', 'Branch ID', 'Branch name', 'Division ID', 'Division name', 'Section ID', 'Section name', 'Regional program (marker)', 'Fund centre ID', 'Fund centre name', 'Untied amount(Project-level budget)', 'FSTC percent', 'IRTC percent', 'CFLI (marker)', 'CIDA business delivery model (old)', 'Programming process (new)', 'Bilateral aid (international marker)', 'PBA type', 'Enviromental sustainability (marker)', 'Climate change adaptation (marker)', 'Climate change mitigation (marker)', 'Desertification (marker)', 'Participatory development and good governance']","['mntspnt', 'rgnstnd', 'rgnstnnm', 'cntrrgnnm', 'cntrrgnd', 'prjctbrwsrcntrd', 'sctrd', 'sctrnm', 'rgnstnsb-clss', 'rgnstnclss', 'cntnntd', 'cntnntnm', 'rgnstntp', 'bdvrst(mrkr)', 'trddvlpmnt(mrkr)', 'dsbltsss(mrkr)', 'thsss(mrkr)', 'gndrqlt(mrkr)', 'ctstlfrdvlpmnt(mrkr)', 'rbnsss(mrkr)', 'knwldgfrdvlpmnt(mrkr)', 'ndgnssss(mrkr)', 'chldrnsss(mrkr)', 'sctrprcnt', 'cntrrgnprcnt', 'fsclr']",0 days 00:02:44.777632,0.5,1.0,0.33
95,OpenData,miller2_both_50_50_ac3_av,Semantically-Joinable,1.0,"[0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Fiscal year', 'Trade development (marker)', 'Section name', 'Continent ID', 'CountryRegion ID', 'Fund centre name', 'Sector name', 'Branch ID', 'CFLI (marker)', 'CIDA business delivery model (old)', 'Programming process (new)', 'Disability issues (marker)', 'Sector ID', 'Climate change mitigation (marker)', 'Division ID', 'Maximum CIDA contribution (project-level)', 'Youth issues (marker)', 'CountryRegion percent', 'Indigenous issues (marker)', 'Fund centre ID', 'Organisation sub-class', 'Desertification (marker)', 'Organisation class', 'PBA type', 'Section ID', 'Project number', 'Status', 'Branch name', 'Division name', 'Regional program (marker)', 'Untied amount(Project-level budget)', 'FSTC percent', 'IRTC percent', 'Bilateral aid (international marker)', 'Enviromental sustainability (marker)', 'Climate change adaptation (marker)', 'Participatory development and good governance', 'Biodiversity (marker)']","['mntspnt', 'mxmmcdcntrbtn(prjct-lvl)', 'rgnstnd', 'rgnstnnm', 'cntrrgnnm', 'prjctbrwsrcntrd', 'cntrrgnd', 'sctrd', 'sctrnm', 'fndcntrd', 'fndcntrnm', 'sctnnm', 'sctnd', 'rgnstnsb-clss', 'dvsnd', 'brnchd', 'rgnstnclss', 'cntnntd', 'ndgnssss(mrkr)', 'cntnntnm', 'rgnstntp', 'pbtp', 'trddvlpmnt(mrkr)', 'ctstlfrdvlpmnt(mrkr)', 'thsss(mrkr)', 'knwldgfrdvlpmnt(mrkr)', 'dsrtfctn(mrkr)', 'rbnsss(mrkr)', 'dsbltsss(mrkr)', 'chldrnsss(mrkr)', 'clmtchngmtgtn(mrkr)', 'gndrqlt(mrkr)', 'cdbsnssdlvrmdl(ld)', 'cfl(mrkr)', 'cntrrgnprcnt', 'fsclr', 'sctrprcnt', 'prgrmmngprcss(nw)']",0 days 00:04:44.529046,0.38,0.24,0.86
137,OpenData,miller2_vertical_70_ec_av,Semantically-Joinable,1.0,[1],[1],"['Fiscal year', 'Fund centre ID', 'CFLI (marker)', 'Maximum CIDA contribution (project-level)', 'Continent ID', 'Fund centre name', 'Sector percent', 'Urban issues (marker)', 'Status', 'PBA type', 'Climate change mitigation (marker)', 'Desertification (marker)', 'Regional program (marker)', 'Knowledge for development (marker)', 'Continent name', 'Gender equality (marker)', 'Division name', 'Sector name', 'Organisation ID', 'Section ID', 'Organisation type', 'Project number', 'Organisation class', 'CountryRegion ID', 'Bilateral aid (international marker)', 'ICT as a tool for development (marker)', 'Project Browser country ID', 'Untied amount(Project-level budget)', 'CountryRegion percent', 'Section name', 'Organisation name', 'Division ID', 'Biodiversity (marker)', 'Programming process (new)', 'Disability issues (marker)', 'Branch ID', 'Branch name', 'FSTC percent', 'IRTC percent', 'CIDA business delivery model (old)', 'Enviromental sustainability (marker)', 'Climate change adaptation (marker)', 'Participatory development and good governance']",['Status'],,1.0,1.0,1.0
160,OpenData,miller2_vertical_30_ac1_av,Semantically-Joinable,1.0,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0]","['Fiscal year', 'Section name', 'IRTC percent', 'Knowledge for development (marker)', 'Participatory development and good governance', 'Section ID', 'Trade development (marker)', 'PBA type', 'Desertification (marker)', 'Sector name', 'Gender equality (marker)', 'Status', 'Sector percent', 'Organisation type', 'Organisation class', 'Project number', 'Maximum CIDA contribution (project-level)', 'Branch ID', 'Branch name', 'Division ID', 'Division name', 'Regional program (marker)', 'Fund centre ID', 'Fund centre name', 'Untied amount(Project-level budget)', 'FSTC percent', 'CFLI (marker)', 'CIDA business delivery model (old)', 'Programming process (new)', 'Bilateral aid (international marker)', 'Enviromental sustainability (marker)', 'Climate change adaptation (marker)', 'Climate change mitigation (marker)']","['miller2_AmountSpent', 'miller2_OrganisationID', 'miller2_OrganisationName', 'miller2_CountryRegionID', 'miller2_CountryRegionName', 'miller2_ProjectBrowserCountryID', 'miller2_SectorID', 'miller2_SectorName', 'miller2_SectionName', 'miller2_SectionID', 'miller2_OrganisationSub-class', 'miller2_OrganisationClass', 'miller2_PBAType', 'miller2_ChildrenIssues(marker)', 'miller2_OrganisationType', 'miller2_ParticipatoryDevelopmentAndGoodGovernance', 'miller2_KnowledgeForDevelopment(marker)', 'miller2_ContinentID', 'miller2_Biodiversity(marker)', 'miller2_ICTAsAToolForDevelopment(marker)', 'miller2_GenderEquality(marker)', 'miller2_UrbanIssues(marker)', 'miller2_Desertification(marker)', 'miller2_IndigenousIssues(marker)', 'miller2_ContinentName', 'miller2_TradeDevelopment(marker)', 'miller2_DisabilityIssues(marker)', 'miller2_Status', 'miller2_YouthIssues(marker)', 'miller2_IRTCPercent', 'miller2_CountryRegionPercent', 'miller2_SectorPercent', 'miller2_FiscalYear']",0 days 00:03:56.723044,0.36,0.33,0.38
167,OpenData,miller2_both_50_1_ac2_av,Semantically-Joinable,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1]","['Fiscal year', 'Project number', 'Status', 'Maximum CIDA contribution (project-level)', 'Branch ID', 'Branch name', 'Division ID', 'Division name', 'Section ID', 'Section name', 'Regional program (marker)', 'Fund centre ID', 'Fund centre name', 'Untied amount(Project-level budget)', 'FSTC percent', 'IRTC percent', 'CFLI (marker)', 'CIDA business delivery model (old)', 'Programming process (new)', 'Bilateral aid (international marker)', 'PBA type', 'Enviromental sustainability (marker)', 'Climate change adaptation (marker)', 'Climate change mitigation (marker)', 'Desertification (marker)', 'Participatory development and good governance']","['AmoSpe', 'OrganiID', 'OrgaN', 'CounRegN', 'PrBrCounID', 'CounReID', 'SeN', 'SecID', 'OrgS', 'OrgCla', 'ContID', 'ContNa', 'YouIs', 'OrgT', 'UrIss', 'TrDevelo', 'ChilIs', 'DisaIs', 'KnoFDevel', 'ICTAATFDeve', 'IndigIss', 'Biodiv', 'GenEq', 'SecPer', 'CoRePer', 'FisY']",0 days 00:02:47.468679,0.17,1.0,0.09
186,OpenData,miller2_both_50_30_ac2_av,Semantically-Joinable,1.0,"[1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1]","[0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0]","['Fiscal year', 'Organisation type', 'Organisation ID', 'Organisation name', 'CountryRegion percent', 'CIDA business delivery model (old)', 'Enviromental sustainability (marker)', 'Status', 'Amount spent', 'Project Browser country ID', 'Bilateral aid (international marker)', 'Maximum CIDA contribution (project-level)', 'Trade development (marker)', 'Branch name', 'Sector ID', 'Project number', 'Branch ID', 'Division ID', 'Division name', 'Section ID', 'Section name', 'Regional program (marker)', 'Fund centre ID', 'Fund centre name', 'Untied amount(Project-level budget)', 'FSTC percent', 'IRTC percent', 'CFLI (marker)', 'Programming process (new)', 'PBA type', 'Climate change adaptation (marker)', 'Climate change mitigation (marker)', 'Desertification (marker)']","['AmSp', 'MaxiCIDAContri', 'OrgaN', 'OrganID', 'CounReID', 'PrBrowCoID', 'CounRegN', 'SeID', 'SecN', 'OrganiSu', 'BrN', 'ContiNa', 'OrganCl', 'OrganiT', 'ContID', 'Biodiv', 'DisabIss', 'TraDeve', 'YouIs', 'GenEq', 'UrIss', 'ChilIs', 'ICTAATFoDeve', 'IndIss', 'EnvSustai', 'PartiDevAnGGove', 'KnowFDeve', 'St', 'BilaAMa', 'SecPe', 'CoRePerc', 'CIDABusiDeliMo', 'FiY']",,0.53,0.6,0.47
236,OpenData,miller2_vertical_30_ac5_av,Semantically-Joinable,1.0,"[1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Fiscal year', 'Enviromental sustainability (marker)', 'Biodiversity (marker)', 'Branch name', 'Project Browser country ID', 'Maximum CIDA contribution (project-level)', 'Sector name', 'Section name', 'Project number', 'Gender equality (marker)', 'Amount spent', 'Fund centre name', 'Trade development (marker)', 'Organisation type', 'Untied amount(Project-level budget)', 'Status', 'Branch ID', 'Division ID', 'Division name', 'Section ID', 'Regional program (marker)', 'Fund centre ID', 'FSTC percent', 'IRTC percent', 'CFLI (marker)', 'CIDA business delivery model (old)', 'Programming process (new)', 'Bilateral aid (international marker)', 'PBA type', 'Climate change adaptation (marker)', 'Climate change mitigation (marker)', 'Desertification (marker)', 'Participatory development and good governance']","['miller2_mntspnt', 'miller2_prjctnmbr', 'miller2_mxmmcdcntrbtn(prjct-lvl)', 'miller2_ntdmnt(prjct-lvlbdgt)', 'miller2_rgnstnd', 'miller2_rgnstnnm', 'miller2_fndcntrnm', 'miller2_cntrrgnd', 'miller2_cntrrgnnm', 'miller2_sctrd', 'miller2_sctrnm', 'miller2_prjctbrwsrcntrd', 'miller2_sctnnm', 'miller2_rgnstnsb-clss', 'miller2_rgnstnclss', 'miller2_brnchnm', 'miller2_cntnntnm', 'miller2_thsss(mrkr)', 'miller2_gndrqlt(mrkr)', 'miller2_chldrnsss(mrkr)', 'miller2_dsbltsss(mrkr)', 'miller2_cntnntd', 'miller2_rbnsss(mrkr)', 'miller2_bdvrst(mrkr)', 'miller2_rgnstntp', 'miller2_ctstlfrdvlpmnt(mrkr)', 'miller2_ndgnssss(mrkr)', 'miller2_nvrmntlsstnblt(mrkr)', 'miller2_trddvlpmnt(mrkr)', 'miller2_knwldgfrdvlpmnt(mrkr)', 'miller2_sctrprcnt', 'miller2_cntrrgnprcnt', 'miller2_fsclr']",,0.0,0.0,0.0
242,OpenData,miller2_vertical_50_ac2_av,Semantically-Joinable,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0]","[0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0]","['Fiscal year', 'Climate change adaptation (marker)', 'Desertification (marker)', 'Organisation ID', 'Bilateral aid (international marker)', 'Branch name', 'CountryRegion ID', 'Project Browser country ID', 'Project number', 'Section name', 'Maximum CIDA contribution (project-level)', 'Programming process (new)', 'PBA type', 'CIDA business delivery model (old)', 'Amount spent', 'ICT as a tool for development (marker)', 'Trade development (marker)', 'Organisation name', 'Climate change mitigation (marker)', 'Participatory development and good governance', 'Organisation sub-class', 'CountryRegion name', 'Continent name', 'Biodiversity (marker)', 'Section ID', 'Status', 'Branch ID', 'Division ID', 'Division name', 'Regional program (marker)', 'Fund centre ID', 'Fund centre name', 'Untied amount(Project-level budget)', 'FSTC percent', 'IRTC percent', 'CFLI (marker)', 'Enviromental sustainability (marker)', 'Urban issues (marker)']","['AmoSpe', 'PrNu', 'MaCIDACon', 'OrganiID', 'OrgaN', 'CoReN', 'CoRegID', 'PrBroCoID', 'SecNa', 'SecID', 'SeN', 'OrgaSu', 'BraNa', 'ContID', 'Bio', 'OrganCla', 'OrganTy', 'KnoFoDeve', 'ContN', 'Desertif', 'GenEq', 'TrDevelo', 'DisaIs', 'PBAT', 'ChIss', 'YouIss', 'ClimChMitig', 'CIDABusiDeliMo', 'PartDevAGGover', 'ClChAdapt', 'ICTAATFoDeve', 'IndIs', 'SePer', 'FisYe', 'ProgProc', 'BilAMa', 'CouRegPerc']",0 days 00:05:22.292812,0.73,0.72,0.75
276,OpenData,miller2_vertical_50_ac3_av,Semantically-Joinable,1.0,"[0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1]","[0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Fiscal year', 'Sector name', 'Continent ID', 'IRTC percent', 'Sector percent', 'Bilateral aid (international marker)', 'CountryRegion ID', 'Organisation class', 'Division ID', 'Project Browser country ID', 'Programming process (new)', 'Children issues (marker)', 'Knowledge for development (marker)', 'Participatory development and good governance', 'Fund centre name', 'Fund centre ID', 'Branch ID', 'Project number', 'Disability issues (marker)', 'Biodiversity (marker)', 'CFLI (marker)', 'Division name', 'Sector ID', 'Desertification (marker)', 'Organisation name', 'Status', 'Maximum CIDA contribution (project-level)', 'Branch name', 'Section ID', 'Section name', 'Regional program (marker)', 'Untied amount(Project-level budget)', 'FSTC percent', 'CIDA business delivery model (old)', 'PBA type', 'Enviromental sustainability (marker)', 'Climate change adaptation (marker)', 'Climate change mitigation (marker)']","['mntspnt', 'prjctnmbr', 'rgnstnd', 'rgnstnnm', 'fndcntrd', 'fndcntrnm', 'cntrrgnnm', 'cntrrgnd', 'sctrnm', 'sctrd', 'prjctbrwsrcntrd', 'rgnstnsb-clss', 'dvsnnm', 'dvsnd', 'brnchd', 'rgnstnclss', 'knwldgfrdvlpmnt(mrkr)', 'trddvlpmnt(mrkr)', 'rgnstntp', 'gndrqlt(mrkr)', 'cntnntnm', 'prtcptrdvlpmntndgdgvrnnc', 'ndgnssss(mrkr)', 'rbnsss(mrkr)', 'bdvrst(mrkr)', 'dsbltsss(mrkr)', 'cntnntd', 'thsss(mrkr)', 'ctstlfrdvlpmnt(mrkr)', 'chldrnsss(mrkr)', 'dsrtfctn(mrkr)', 'sctrprcnt', 'bltrld(ntrntnlmrkr)', 'cntrrgnprcnt', 'rtcprcnt', 'cfl(mrkr)', 'prgrmmngprcss(nw)', 'fsclr']",,0.27,0.16,0.8
