,Category of dataset,dataset,relation,Configuration_Num,y_true,y_pred,Sc1,Sc2,execution_time,F1_score,recall,precision
50,OpenData,miller2_both_0_30_ec_ev,View-Unionable,1.0,[1],[1],"['Fiscal year', 'Biodiversity (marker)', 'Bilateral aid (international marker)', 'Regional program (marker)', 'PBA type', 'Section name', 'FSTC percent', 'Climate change mitigation (marker)', 'Organisation type', 'Branch name', 'Organisation sub-class', 'CountryRegion ID', 'Status', 'Amount spent', 'Continent ID', 'Project number', 'Maximum CIDA contribution (project-level)', 'Branch ID', 'Division ID', 'Division name', 'Section ID', 'Fund centre ID', 'Fund centre name', 'Untied amount(Project-level budget)', 'IRTC percent', 'CFLI (marker)', 'CIDA business delivery model (old)', 'Programming process (new)', 'Enviromental sustainability (marker)', 'Climate change adaptation (marker)', 'Desertification (marker)', 'Participatory development and good governance', 'Trade development (marker)']",['Status'],,1.0,1.0,1.0
67,OpenData,miller2_both_0_30_ac5_ev,View-Unionable,1.0,"[0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Fiscal year', 'Maximum CIDA contribution (project-level)', 'Disability issues (marker)', 'CountryRegion ID', 'Youth issues (marker)', 'Gender equality (marker)', 'Trade development (marker)', 'Bilateral aid (international marker)', 'FSTC percent', 'Status', 'Enviromental sustainability (marker)', 'Organisation type', 'Sector ID', 'Knowledge for development (marker)', 'Biodiversity (marker)', 'Project number', 'Branch ID', 'Branch name', 'Division ID', 'Division name', 'Section ID', 'Section name', 'Regional program (marker)', 'Fund centre ID', 'Fund centre name', 'Untied amount(Project-level budget)', 'IRTC percent', 'CFLI (marker)', 'CIDA business delivery model (old)', 'Programming process (new)', 'PBA type', 'Climate change adaptation (marker)', 'Climate change mitigation (marker)']","['miller2_mntspnt', 'miller2_mxmmcdcntrbtn(prjct-lvl)', 'miller2_rgnstnnm', 'miller2_rgnstnd', 'miller2_prjctbrwsrcntrd', 'miller2_cntrrgnnm', 'miller2_cntrrgnd', 'miller2_sctrd', 'miller2_sctrnm', 'miller2_rgnstnsb-clss', 'miller2_rgnstnclss', 'miller2_rgnstntp', 'miller2_cntnntnm', 'miller2_cntnntd', 'miller2_knwldgfrdvlpmnt(mrkr)', 'miller2_chldrnsss(mrkr)', 'miller2_dsrtfctn(mrkr)', 'miller2_rbnsss(mrkr)', 'miller2_gndrqlt(mrkr)', 'miller2_ndgnssss(mrkr)', 'miller2_bdvrst(mrkr)', 'miller2_trddvlpmnt(mrkr)', 'miller2_dsbltsss(mrkr)', 'miller2_ctstlfrdvlpmnt(mrkr)', 'miller2_stts', 'miller2_thsss(mrkr)', 'miller2_fstcprcnt', 'miller2_prtcptrdvlpmntndgdgvrnnc', 'miller2_nvrmntlsstnblt(mrkr)', 'miller2_cntrrgnprcnt', 'miller2_bltrld(ntrntnlmrkr)', 'miller2_sctrprcnt', 'miller2_fsclr']",,0.0,0.0,0.0
71,OpenData,miller2_both_0_50_ac3_ev,View-Unionable,1.0,"[0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","['Fiscal year', 'Desertification (marker)', 'Project number', 'Untied amount(Project-level budget)', 'Indigenous issues (marker)', 'Sector ID', 'ICT as a tool for development (marker)', 'Fund centre ID', 'Children issues (marker)', 'Programming process (new)', 'Knowledge for development (marker)', 'Division name', 'Maximum CIDA contribution (project-level)', 'CountryRegion percent', 'Status', 'Branch ID', 'Trade development (marker)', 'Continent name', 'Organisation class', 'CountryRegion ID', 'PBA type', 'Regional program (marker)', 'Biodiversity (marker)', 'Continent ID', 'CountryRegion name', 'Branch name', 'Division ID', 'Section ID', 'Section name', 'Fund centre name', 'FSTC percent', 'IRTC percent', 'CFLI (marker)', 'CIDA business delivery model (old)', 'Bilateral aid (international marker)', 'Enviromental sustainability (marker)', 'Climate change adaptation (marker)', 'Climate change mitigation (marker)']","['mntspnt', 'prjctnmbr', 'mxmmcdcntrbtn(prjct-lvl)', 'ntdmnt(prjct-lvlbdgt)', 'rgnstnnm', 'rgnstnd', 'prjctbrwsrcntrd', 'cntrrgnnm', 'cntrrgnd', 'sctrnm', 'sctrd', 'fndcntrd', 'rgnstnsb-clss', 'dvsnnm', 'rgnstnclss', 'cntnntnm', 'trddvlpmnt(mrkr)', 'cntnntd', 'ndgnssss(mrkr)', 'prtcptrdvlpmntndgdgvrnnc', 'brnchd', 'knwldgfrdvlpmnt(mrkr)', 'dsbltsss(mrkr)', 'dsrtfctn(mrkr)', 'chldrnsss(mrkr)', 'rbnsss(mrkr)', 'rgnstntp', 'gndrqlt(mrkr)', 'ctstlfrdvlpmnt(mrkr)', 'bdvrst(mrkr)', 'thsss(mrkr)', 'cntrrgnprcnt', 'stts', 'rgnlprgrm(mrkr)', 'sctrprcnt', 'fsclr', 'prgrmmngprcss(nw)', 'pbtp']",,0.21,0.12,0.75
103,OpenData,miller2_both_0_1_ac1_av,View-Unionable,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0]","['Fiscal year', 'Project number', 'Status', 'Maximum CIDA contribution (project-level)', 'Branch ID', 'Branch name', 'Division ID', 'Division name', 'Section ID', 'Section name', 'Regional program (marker)', 'Fund centre ID', 'Fund centre name', 'Untied amount(Project-level budget)', 'FSTC percent', 'IRTC percent', 'CFLI (marker)', 'CIDA business delivery model (old)', 'Programming process (new)', 'Bilateral aid (international marker)', 'PBA type', 'Enviromental sustainability (marker)', 'Climate change adaptation (marker)', 'Climate change mitigation (marker)', 'Desertification (marker)', 'Participatory development and good governance']","['miller2_AmountSpent', 'miller2_OrganisationName', 'miller2_OrganisationID', 'miller2_ProjectBrowserCountryID', 'miller2_CountryRegionID', 'miller2_CountryRegionName', 'miller2_SectorName', 'miller2_SectorID', 'miller2_OrganisationSub-class', 'miller2_OrganisationClass', 'miller2_ContinentName', 'miller2_ContinentID', 'miller2_IndigenousIssues(marker)', 'miller2_YouthIssues(marker)', 'miller2_GenderEquality(marker)', 'miller2_Biodiversity(marker)', 'miller2_DisabilityIssues(marker)', 'miller2_OrganisationType', 'miller2_UrbanIssues(marker)', 'miller2_TradeDevelopment(marker)', 'miller2_KnowledgeForDevelopment(marker)', 'miller2_ICTAsAToolForDevelopment(marker)', 'miller2_ChildrenIssues(marker)', 'miller2_CountryRegionPercent', 'miller2_SectorPercent', 'miller2_FiscalYear']",,0.0,0.0,0.0
179,OpenData,miller2_both_0_70_ac5_av,View-Unionable,1.0,"[0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Fiscal year', 'Organisation type', 'Programming process (new)', 'Organisation name', 'PBA type', 'CIDA business delivery model (old)', 'Climate change adaptation (marker)', 'Continent ID', 'Biodiversity (marker)', 'Desertification (marker)', 'Maximum CIDA contribution (project-level)', 'IRTC percent', 'Youth issues (marker)', 'Children issues (marker)', 'Section ID', 'Organisation sub-class', 'Fund centre ID', 'Section name', 'Urban issues (marker)', 'Branch ID', 'Project Browser country ID', 'Project number', 'Organisation class', 'FSTC percent', 'Division name', 'Organisation ID', 'Division ID', 'Sector percent', 'CountryRegion name', 'Gender equality (marker)', 'ICT as a tool for development (marker)', 'Branch name', 'CountryRegion percent', 'CFLI (marker)', 'Indigenous issues (marker)', 'Status', 'Regional program (marker)', 'Fund centre name', 'Untied amount(Project-level budget)', 'Bilateral aid (international marker)', 'Enviromental sustainability (marker)', 'Climate change mitigation (marker)', 'Participatory development and good governance']","['miller2_mntspnt', 'miller2_prjctnmbr', 'miller2_mxmmcdcntrbtn(prjct-lvl)', 'miller2_rgnstnnm', 'miller2_rgnstnd', 'miller2_prjctbrwsrcntrd', 'miller2_cntrrgnd', 'miller2_cntrrgnnm', 'miller2_sctrd', 'miller2_sctrnm', 'miller2_fndcntrd', 'miller2_sctnnm', 'miller2_rgnstnsb-clss', 'miller2_sctnd', 'miller2_dvsnd', 'miller2_dvsnnm', 'miller2_brnchnm', 'miller2_rgnstnclss', 'miller2_cntnntnm', 'miller2_dsrtfctn(mrkr)', 'miller2_thsss(mrkr)', 'miller2_brnchd', 'miller2_rgnstntp', 'miller2_bdvrst(mrkr)', 'miller2_ndgnssss(mrkr)', 'miller2_ctstlfrdvlpmnt(mrkr)', 'miller2_gndrqlt(mrkr)', 'miller2_chldrnsss(mrkr)', 'miller2_rbnsss(mrkr)', 'miller2_cntnntd', 'miller2_dsbltsss(mrkr)', 'miller2_trddvlpmnt(mrkr)', 'miller2_cdbsnssdlvrmdl(ld)', 'miller2_knwldgfrdvlpmnt(mrkr)', 'miller2_cfl(mrkr)', 'miller2_clmtchngdpttn(mrkr)', 'miller2_fstcprcnt', 'miller2_sctrprcnt', 'miller2_pbtp', 'miller2_prgrmmngprcss(nw)', 'miller2_cntrrgnprcnt', 'miller2_fsclr', 'miller2_rtcprcnt']",,0.0,0.0,0.0
185,OpenData,miller2_both_0_1_ac4_av,View-Unionable,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Fiscal year', 'Project number', 'Status', 'Maximum CIDA contribution (project-level)', 'Branch ID', 'Branch name', 'Division ID', 'Division name', 'Section ID', 'Section name', 'Regional program (marker)', 'Fund centre ID', 'Fund centre name', 'Untied amount(Project-level budget)', 'FSTC percent', 'IRTC percent', 'CFLI (marker)', 'CIDA business delivery model (old)', 'Programming process (new)', 'Bilateral aid (international marker)', 'PBA type', 'Enviromental sustainability (marker)', 'Climate change adaptation (marker)', 'Climate change mitigation (marker)', 'Desertification (marker)', 'Participatory development and good governance']","['miller2_AmSpe', 'miller2_OrgNa', 'miller2_OrganiID', 'miller2_ProBroCoID', 'miller2_CouRegID', 'miller2_CouRegN', 'miller2_SeN', 'miller2_SecID', 'miller2_OrgS', 'miller2_OrganiCla', 'miller2_ContiN', 'miller2_ContiID', 'miller2_Bio', 'miller2_GeEq', 'miller2_OrgaTy', 'miller2_YoIss', 'miller2_ChiIss', 'miller2_KnoFDevel', 'miller2_TrDevel', 'miller2_UrIss', 'miller2_IndiIs', 'miller2_DisabIss', 'miller2_ICTAATFDeve', 'miller2_SecPerc', 'miller2_CounRegPerc', 'miller2_FisY']",,0.0,0.0,0.0
216,OpenData,miller2_both_0_70_ac2_ev,View-Unionable,1.0,"[1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0]","['Fiscal year', 'IRTC percent', 'Section name', 'Branch ID', 'Sector percent', 'Gender equality (marker)', 'Participatory development and good governance', 'Organisation sub-class', 'Regional program (marker)', 'Youth issues (marker)', 'Sector ID', 'Section ID', 'Climate change adaptation (marker)', 'Biodiversity (marker)', 'CountryRegion name', 'FSTC percent', 'Organisation type', 'Knowledge for development (marker)', 'Status', 'Climate change mitigation (marker)', 'Organisation class', 'CIDA business delivery model (old)', 'Indigenous issues (marker)', 'Disability issues (marker)', 'Amount spent', 'ICT as a tool for development (marker)', 'Division name', 'Continent ID', 'Programming process (new)', 'CFLI (marker)', 'CountryRegion percent', 'Project number', 'Desertification (marker)', 'Children issues (marker)', 'Fund centre ID', 'Maximum CIDA contribution (project-level)', 'Branch name', 'Division ID', 'Fund centre name', 'Untied amount(Project-level budget)', 'Bilateral aid (international marker)', 'PBA type', 'Enviromental sustainability (marker)']","['AmSp', 'ProjNu', 'OrganiNa', 'OrganID', 'ProjBrowCouID', 'CoRegNa', 'CoRegID', 'SecID', 'SecNa', 'FCeID', 'OrganS', 'SectN', 'SectID', 'DiNa', 'OrgaCl', 'ContiN', 'Biodiv', 'BraID', 'ContiID', 'GenEq', 'IndIs', 'ClimChMit', 'PartDeveloAGGover', 'UrbIs', 'ChilIs', 'DisaIss', 'OrganiTy', 'TraDevel', 'YouIs', 'Desertif', 'ClimChaAdap', 'CIDABuDeliMod', 'KnowlFoDevel', 'St', 'CFLI', 'ICTAATFDevel', 'RegPro', 'SecPe', 'CoRegPerc', 'ProgrPro', 'FSTCPer', 'IRTCPe', 'FisYe']",0 days 00:05:31.555250,0.75,0.69,0.83
225,OpenData,miller2_both_0_1_ac2_av,View-Unionable,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","['Fiscal year', 'Project number', 'Status', 'Maximum CIDA contribution (project-level)', 'Branch ID', 'Branch name', 'Division ID', 'Division name', 'Section ID', 'Section name', 'Regional program (marker)', 'Fund centre ID', 'Fund centre name', 'Untied amount(Project-level budget)', 'FSTC percent', 'IRTC percent', 'CFLI (marker)', 'CIDA business delivery model (old)', 'Programming process (new)', 'Bilateral aid (international marker)', 'PBA type', 'Enviromental sustainability (marker)', 'Climate change adaptation (marker)', 'Climate change mitigation (marker)', 'Desertification (marker)', 'Participatory development and good governance']","['AmSp', 'OrgaID', 'OrgNa', 'PrBroCounID', 'CouRegN', 'CouReID', 'SecID', 'SeN', 'OrganS', 'OrganCl', 'ContID', 'ContiNa', 'UrbIss', 'DisaIss', 'IndigIs', 'Biodi', 'ChiIs', 'TraDevelo', 'ICTAAToFoDevelo', 'YoIs', 'GeEqua', 'OrgT', 'KnoFoDeve', 'CoRegPerc', 'SePe', 'FiY']",0 days 00:01:39.000343,0.0,0.0,0.0
269,OpenData,miller2_both_0_70_ac2_av,View-Unionable,1.0,"[1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1]","['Fiscal year', 'Status', 'Knowledge for development (marker)', 'Project number', 'Climate change mitigation (marker)', 'Organisation name', 'Gender equality (marker)', 'CFLI (marker)', 'Division ID', 'Regional program (marker)', 'CountryRegion percent', 'Enviromental sustainability (marker)', 'Section ID', 'FSTC percent', 'Organisation class', 'Organisation type', 'CountryRegion ID', 'ICT as a tool for development (marker)', 'Branch name', 'Continent ID', 'Sector ID', 'Bilateral aid (international marker)', 'Amount spent', 'Continent name', 'Youth issues (marker)', 'Programming process (new)', 'Section name', 'Sector percent', 'Branch ID', 'CountryRegion name', 'Participatory development and good governance', 'Climate change adaptation (marker)', 'Indigenous issues (marker)', 'Disability issues (marker)', 'Organisation sub-class', 'Maximum CIDA contribution (project-level)', 'Division name', 'Fund centre ID', 'Fund centre name', 'Untied amount(Project-level budget)', 'IRTC percent', 'CIDA business delivery model (old)', 'PBA type']","['AmoSp', 'PrNu', 'OrgN', 'OrganiID', 'ProBroCounID', 'CouRegID', 'CouRegNa', 'SeID', 'SecN', 'SectID', 'SectNa', 'OrganiS', 'DiID', 'BrID', 'ContiID', 'OrgCl', 'CliChaMiti', 'ContNa', 'DisaIs', 'BrN', 'OrganiTy', 'Biod', 'YoIs', 'TraDevel', 'UrbIs', 'IndiIs', 'GeEqu', 'KnoFDevelo', 'PartDevAnGoGov', 'ChiIss', 'Deser', 'CliChAdap', 'EnvSust', 'Sta', 'ICTAATFDev', 'BilatAiMar', 'FSTCPer', 'CouRegPe', 'RegProg', 'CFLI', 'ProgrPro', 'SecPer', 'FisY']",,0.75,0.69,0.83
288,OpenData,miller2_both_0_50_ac2_ev,View-Unionable,1.0,"[0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1]","[0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1]","['Fiscal year', 'Sector name', 'Indigenous issues (marker)', 'Children issues (marker)', 'CountryRegion percent', 'Fund centre name', 'Programming process (new)', 'Trade development (marker)', 'Biodiversity (marker)', 'Section name', 'Status', 'Organisation ID', 'Fund centre ID', 'Untied amount(Project-level budget)', 'Branch ID', 'CountryRegion ID', 'Youth issues (marker)', 'Gender equality (marker)', 'Organisation sub-class', 'CountryRegion name', 'FSTC percent', 'Organisation name', 'Organisation type', 'Branch name', 'Climate change mitigation (marker)', 'Project number', 'Maximum CIDA contribution (project-level)', 'Division ID', 'Division name', 'Section ID', 'Regional program (marker)', 'IRTC percent', 'CFLI (marker)', 'CIDA business delivery model (old)', 'Bilateral aid (international marker)', 'PBA type', 'Enviromental sustainability (marker)', 'Climate change adaptation (marker)']","['AmoSp', 'UntAmoPrBud', 'OrganiID', 'OrganiNa', 'ProBrCounID', 'CouRegID', 'CouRegN', 'SecID', 'SeN', 'FCeID', 'FuCenN', 'OrgS', 'SecN', 'OrganCl', 'ContN', 'ClimChaMiti', 'BrNa', 'ChiIs', 'GenEqu', 'BraID', 'UrbIss', 'IndiIs', 'ContiID', 'TrDev', 'DisIss', 'OrganTy', 'Deserti', 'KnowlFoDev', 'PartiDeveAGoGove', 'Sta', 'YouIss', 'Biodi', 'ICTAAToFoDevelo', 'FSTCPe', 'SePerc', 'CounRegPe', 'FiYe', 'ProgProc']",,0.57,0.56,0.58
