,Category of dataset,dataset,relation,Configuration_Num,y_true,y_pred,Sc1,Sc2,execution_time,F1_score,recall,precision
0,TPC-DI,prospect_both_0_50_ac3_av,View-Unionable,1.0,"[1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1]","[0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","['AgencyID', 'Income', 'MaritalStatus', 'MiddleInitial', 'NumberChildren', 'Employer', 'NetWorth', 'AddressLine1', 'CreditRating', 'NumberCreditCards', 'Country', 'LastName', 'FirstName', 'Gender', 'AddressLine2', 'PostalCode']","['gncd', 'phn', 'ntwrth', 'ddrssln1', 'ncm', 'mplr', 'crdtrtng', 'ct', 'g', 'stt', 'mddlntl', 'nmbrcrdtcrds', 'nmbrcrs', 'nmbrchldrn', 'mrtlstts', 'wnrrntflg', 'cntr']",,0.44,0.36,0.57
8,TPC-DI,prospect_both_0_30_ac2_av,View-Unionable,1.0,"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1]","[1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1]","['AgencyID', 'Employer', 'Country', 'MiddleInitial', 'Age', 'LastName', 'FirstName', 'Gender', 'AddressLine1', 'AddressLine2', 'PostalCode', 'City', 'State', 'Phone']","['AgID', 'LaN', 'In', 'NWo', 'Empl', 'CreRa', 'Ag', 'MidInit', 'NuCreCar', 'NuC', 'NuChil', 'MaSt', 'OOReFl', 'Coun']",,0.67,0.83,0.56
14,TPC-DI,prospect_both_0_30_ac3_av,View-Unionable,1.0,"[1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1]","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","['AgencyID', 'MiddleInitial', 'Employer', 'LastName', 'OwnOrRentFlag', 'Country', 'FirstName', 'Gender', 'AddressLine1', 'AddressLine2', 'PostalCode', 'City', 'State', 'Phone']","['lstnm', 'gncd', 'ntwrth', 'ncm', 'mplr', 'crdtrtng', 'g', 'mddlntl', 'nmbrcrdtcrds', 'nmbrcrs', 'nmbrchldrn', 'mrtlstts', 'wnrrntflg', 'cntr']",,0.0,0.0,0.0
23,TPC-DI,prospect_both_0_70_ac5_ev,View-Unionable,1.0,"[1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0]","['AgencyID', 'PostalCode', 'NumberChildren', 'AddressLine2', 'AddressLine1', 'Gender', 'NumberCreditCards', 'City', 'NetWorth', 'MiddleInitial', 'Employer', 'CreditRating', 'Phone', 'LastName', 'NumberCars', 'FirstName', 'State', 'Country']","['prospect_lstnm', 'prospect_gncd', 'prospect_phn', 'prospect_pstlcd', 'prospect_ddrssln2', 'prospect_ddrssln1', 'prospect_ntwrth', 'prospect_ncm', 'prospect_mplr', 'prospect_crdtrtng', 'prospect_ct', 'prospect_g', 'prospect_mddlntl', 'prospect_gndr', 'prospect_nmbrcrdtcrds', 'prospect_nmbrcrs', 'prospect_nmbrchldrn', 'prospect_mrtlstts', 'prospect_wnrrntflg']",,0.48,0.33,0.83
25,TPC-DI,prospect_both_0_70_ac1_ev,View-Unionable,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1]","[1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['AgencyID', 'Gender', 'MaritalStatus', 'State', 'Country', 'Age', 'NetWorth', 'FirstName', 'Income', 'AddressLine1', 'City', 'CreditRating', 'Employer', 'PostalCode', 'AddressLine2', 'LastName', 'MiddleInitial', 'Phone']","['prospect_FirstName', 'prospect_AgencyID', 'prospect_AddressLine2', 'prospect_PostalCode', 'prospect_AddressLine1', 'prospect_Income', 'prospect_NetWorth', 'prospect_Employer', 'prospect_CreditRating', 'prospect_City', 'prospect_Age', 'prospect_State', 'prospect_Gender', 'prospect_NumberCreditCards', 'prospect_NumberCars', 'prospect_NumberChildren', 'prospect_MaritalStatus', 'prospect_OwnOrRentFlag', 'prospect_Country']",,0.77,0.8,0.75
35,TPC-DI,prospect_both_0_70_ac4_ev,View-Unionable,1.0,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]","[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]","['AgencyID', 'Employer', 'AddressLine2', 'Age', 'Income', 'LastName', 'OwnOrRentFlag', 'Phone', 'MiddleInitial', 'MaritalStatus', 'Country', 'NumberCars', 'AddressLine1', 'NumberChildren', 'CreditRating', 'FirstName', 'Gender', 'PostalCode']","['prospect_LaN', 'prospect_AgeID', 'prospect_Ph', 'prospect_AddLi2', 'prospect_In', 'prospect_AdLi1', 'prospect_NWor', 'prospect_Em', 'prospect_CreRat', 'prospect_Ci', 'prospect_Ag', 'prospect_St', 'prospect_MidIn', 'prospect_NuCreCa', 'prospect_NuCa', 'prospect_NuCh', 'prospect_MariSt', 'prospect_OwOReFl', 'prospect_Co']",,0.5,0.33,1.0
39,TPC-DI,prospect_both_0_50_ac4_av,View-Unionable,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0]","['AgencyID', 'AddressLine1', 'Gender', 'MiddleInitial', 'Phone', 'Income', 'NetWorth', 'City', 'FirstName', 'PostalCode', 'Employer', 'LastName', 'AddressLine2', 'State', 'Country', 'NumberCars']","['prospect_FiN', 'prospect_AgeID', 'prospect_PosC', 'prospect_Pho', 'prospect_AdL1', 'prospect_In', 'prospect_NWo', 'prospect_Empl', 'prospect_CrRa', 'prospect_C', 'prospect_Ag', 'prospect_MidIn', 'prospect_Ge', 'prospect_NumCreCa', 'prospect_NumChil', 'prospect_MaSta', 'prospect_OOReFl']",,0.53,0.36,1.0
43,TPC-DI,prospect_both_0_1_ac1_av,View-Unionable,1.0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","['AgencyID', 'LastName', 'FirstName', 'MiddleInitial', 'Gender', 'AddressLine1', 'AddressLine2', 'PostalCode', 'City', 'State', 'Country']","['prospect_AgencyID', 'prospect_Phone', 'prospect_Income', 'prospect_NetWorth', 'prospect_Employer', 'prospect_CreditRating', 'prospect_Age', 'prospect_NumberCreditCards', 'prospect_NumberCars', 'prospect_NumberChildren', 'prospect_MaritalStatus', 'prospect_OwnOrRentFlag']",,0.0,0.0,0.0
48,TPC-DI,prospect_both_0_30_ac1_av,View-Unionable,1.0,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0]","['AgencyID', 'LastName', 'Phone', 'AddressLine2', 'AddressLine1', 'PostalCode', 'FirstName', 'MiddleInitial', 'Gender', 'City', 'State', 'Country', 'Income', 'NumberCars']","['prospect_AgencyID', 'prospect_LastName', 'prospect_PostalCode', 'prospect_AddressLine2', 'prospect_Phone', 'prospect_AddressLine1', 'prospect_NetWorth', 'prospect_Employer', 'prospect_CreditRating', 'prospect_Age', 'prospect_NumberCreditCards', 'prospect_NumberChildren', 'prospect_MaritalStatus', 'prospect_OwnOrRentFlag']",,0.55,0.5,0.6
76,TPC-DI,prospect_both_0_50_ac5_av,View-Unionable,1.0,"[1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0]","['AgencyID', 'City', 'AddressLine2', 'CreditRating', 'OwnOrRentFlag', 'Income', 'FirstName', 'NumberChildren', 'NetWorth', 'MiddleInitial', 'Employer', 'LastName', 'Gender', 'AddressLine1', 'PostalCode', 'State']","['prospect_frstnm', 'prospect_gncd', 'prospect_phn', 'prospect_ddrssln2', 'prospect_ntwrth', 'prospect_ncm', 'prospect_mplr', 'prospect_crdtrtng', 'prospect_ct', 'prospect_g', 'prospect_mddlntl', 'prospect_nmbrcrdtcrds', 'prospect_nmbrcrs', 'prospect_nmbrchldrn', 'prospect_mrtlstts', 'prospect_wnrrntflg', 'prospect_cntr']",,0.47,0.36,0.67
87,TPC-DI,prospect_both_0_50_ac1_av,View-Unionable,1.0,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1]","[1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0]","['AgencyID', 'LastName', 'State', 'Phone', 'Country', 'OwnOrRentFlag', 'FirstName', 'PostalCode', 'AddressLine1', 'NumberChildren', 'AddressLine2', 'MiddleInitial', 'Gender', 'City', 'Income', 'NumberCars']","['prospect_FirstName', 'prospect_AgencyID', 'prospect_LastName', 'prospect_PostalCode', 'prospect_AddressLine2', 'prospect_AddressLine1', 'prospect_Phone', 'prospect_NetWorth', 'prospect_Employer', 'prospect_CreditRating', 'prospect_Age', 'prospect_State', 'prospect_NumberCreditCards', 'prospect_NumberChildren', 'prospect_MaritalStatus', 'prospect_OwnOrRentFlag', 'prospect_Country']",,0.67,0.64,0.7
109,TPC-DI,prospect_both_0_50_ac4_ev,View-Unionable,1.0,"[1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1]","[1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0]","['AgencyID', 'Country', 'City', 'Age', 'State', 'NetWorth', 'NumberCreditCards', 'Employer', 'Income', 'Phone', 'OwnOrRentFlag', 'LastName', 'FirstName', 'MiddleInitial', 'Gender', 'AddressLine1']","['prospect_AgeID', 'prospect_AddrL2', 'prospect_Ph', 'prospect_PoC', 'prospect_NeWor', 'prospect_In', 'prospect_Em', 'prospect_CrRat', 'prospect_C', 'prospect_Ag', 'prospect_St', 'prospect_NumCreCar', 'prospect_MaSta', 'prospect_NuChi', 'prospect_NuCa', 'prospect_OwORF', 'prospect_Co']",,0.74,0.64,0.88
132,TPC-DI,prospect_both_0_1_ac1_ev,View-Unionable,1.0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","['AgencyID', 'LastName', 'FirstName', 'MiddleInitial', 'Gender', 'AddressLine1', 'AddressLine2', 'PostalCode', 'City', 'State', 'Country']","['prospect_AgencyID', 'prospect_Phone', 'prospect_NetWorth', 'prospect_Income', 'prospect_Employer', 'prospect_CreditRating', 'prospect_Age', 'prospect_NumberCreditCards', 'prospect_NumberChildren', 'prospect_NumberCars', 'prospect_MaritalStatus', 'prospect_OwnOrRentFlag']",,0.0,0.0,0.0
