,Category of dataset,dataset,relation,Configuration_Num,y_true,y_pred,Sc1,Sc2,F1_score,recall,precision,noise level
8,ChEMBL,assays_both_50_30_ac3_ev,Joinable,0,"[1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'chembl_id', 'confidence_score', 'doc_id', 'curated_by', 'assay_category', 'description', 'assay_type', 'assay_test_type', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type']","['ss_d', 'chmbl_d', 'dc_d', 'td', 'tss_d', 'cll_d', 'b_frmt', 'cnfdnc_scr', 'rltnshp_tp', 'crtd_b', 'ss_sbclllr_frctn', 'src_d']",0.0,0.0,0.0,N3
12,ChEMBL,assays_both_50_50_ac5_ev,Joinable,0,"[0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'assay_tissue', 'doc_id', 'tissue_id', 'assay_organism', 'assay_category', 'cell_id', 'assay_tax_id', 'assay_subcellular_fraction', 'curated_by', 'assay_strain', 'description', 'assay_type', 'assay_test_type', 'assay_cell_type', 'tid', 'relationship_type']","['assays_chmbl_d', 'assays_ss_d', 'assays_dc_d', 'assays_ss_rgnsm', 'assays_ss_tx_d', 'assays_tss_d', 'assays_ss_tss', 'assays_cll_d', 'assays_b_frmt', 'assays_cnfdnc_scr', 'assays_ss_sbclllr_frctn', 'assays_crtd_b', 'assays_src_d', 'assays_ss_strn']",0.0,0.0,0.0,N5
20,ChEMBL,assays_vertical_30_ac5_ev,Joinable,0,"[0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'variant_id', 'src_id', 'assay_subcellular_fraction', 'assay_organism', 'cell_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_tax_id', 'assay_strain', 'assay_tissue']","['assays_chmbl_d', 'assays_ss_d', 'assays_td', 'assays_ss_cll_tp', 'assays_cll_d', 'assays_ss_rgnsm', 'assays_tss_d', 'assays_b_frmt', 'assays_cnfdnc_scr', 'assays_rltnshp_tp', 'assays_ss_sbclllr_frctn', 'assays_crtd_b', 'assays_src_d']",0.0,0.0,0.0,N5
29,ChEMBL,assays_both_50_1_ac5_ev,Joinable,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['assays_ss_d', 'assays_chmbl_d', 'assays_td', 'assays_tss_d', 'assays_cll_d', 'assays_b_frmt', 'assays_cnfdnc_scr', 'assays_rltnshp_tp', 'assays_crtd_b', 'assays_src_d']",0.0,0.0,0.0,N5
34,ChEMBL,assays_both_50_30_ac5_ev,Joinable,0,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'tissue_id', 'src_id', 'assay_tissue', 'doc_id', 'assay_subcellular_fraction', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_cell_type']","['assays_ss_d', 'assays_chmbl_d', 'assays_dc_d', 'assays_td', 'assays_tss_d', 'assays_cll_d', 'assays_ss_tss', 'assays_b_frmt', 'assays_cnfdnc_scr', 'assays_rltnshp_tp', 'assays_ss_sbclllr_frctn', 'assays_crtd_b', 'assays_src_d']",0.0,0.0,0.0,N5
41,ChEMBL,assays_both_50_50_ac4_ev,Joinable,0,"[0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'assay_organism', 'doc_id', 'assay_cell_type', 'src_id', 'assay_type', 'src_assay_id', 'assay_tissue', 'tissue_id', 'curated_by', 'cell_id', 'description', 'assay_test_type', 'assay_category', 'assay_tax_id', 'assay_strain', 'assay_subcellular_fraction']","['assays_CHEI', 'assays_ASI', 'assays_DOI', 'assays_T', 'assays_ASOR', 'assays_TII', 'assays_ASTI', 'assays_CEI', 'assays_ASSCET', 'assays_BAFOR', 'assays_CONFISCO', 'assays_RELATIT', 'assays_ASST', 'assays_CURB', 'assays_SI']",0.0,0.0,0.0,N4
51,ChEMBL,assays_both_50_70_ac3_ev,Joinable,0,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'confidence_score', 'assay_organism', 'description', 'assay_type', 'assay_tax_id', 'assay_tissue', 'assay_subcellular_fraction', 'assay_category', 'chembl_id', 'doc_id', 'relationship_type', 'bao_format', 'src_id', 'tissue_id', 'assay_test_type', 'assay_strain', 'assay_cell_type', 'tid']","['chmbl_d', 'ss_d', 'dscrptn', 'dc_d', 'ss_rgnsm', 'tss_d', 'ss_tx_d', 'ss_tss', 'cll_d', 'b_frmt', 'cnfdnc_scr', 'rltnshp_tp', 'ss_tp', 'ss_sbclllr_frctn', 'ss_tst_tp', 'crtd_b', 'src_d']",0.0,0.0,0.0,N3
61,ChEMBL,assays_both_50_30_ac1_ev,Joinable,0,"[0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0]","[0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0]","['assay_id', 'curated_by', 'assay_test_type', 'assay_strain', 'assay_type', 'relationship_type', 'doc_id', 'description', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['assays_chembl_id', 'assays_assay_id', 'assays_tid', 'assays_tissue_id', 'assays_cell_id', 'assays_bao_format', 'assays_confidence_score', 'assays_relationship_type', 'assays_curated_by', 'assays_assay_type', 'assays_assay_test_type', 'assays_assay_strain', 'assays_src_id']",0.67,0.67,0.67,N1
66,ChEMBL,assays_both_50_70_ec_ev,Joinable,0,"[1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1]","[1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]","['assay_id', 'assay_test_type', 'assay_organism', 'assay_category', 'assay_type', 'relationship_type', 'curated_by', 'assay_tissue', 'assay_tax_id', 'description', 'tid', 'variant_id', 'src_assay_id', 'src_id', 'doc_id', 'bao_format', 'assay_strain', 'assay_cell_type', 'assay_subcellular_fraction']","['assay_id', 'chembl_id', 'description', 'doc_id', 'tid', 'assay_tax_id', 'assay_organism', 'assay_tissue', 'tissue_id', 'cell_id', 'bao_format', 'confidence_score', 'relationship_type', 'assay_type', 'curated_by', 'assay_test_type', 'src_id']",0.93,1.0,0.87,N0
83,ChEMBL,assays_both_50_70_ac2_ev,Joinable,0,"[1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]","[0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0]","['assay_id', 'assay_subcellular_fraction', 'assay_cell_type', 'assay_type', 'confidence_score', 'curated_by', 'assay_test_type', 'doc_id', 'assay_organism', 'bao_format', 'cell_id', 'assay_tissue', 'assay_category', 'variant_id', 'tid', 'src_id', 'description', 'assay_tax_id', 'assay_strain']","['ASSI', 'CHI', 'DI', 'Ti', 'ASSOR', 'ASCT', 'TISI', 'ASSTIS', 'CEI', 'BAFO', 'CONFSC', 'RELATIT', 'ASST', 'ASSSUBCEFRA', 'ASSTTY', 'CURAB', 'SRI']",0.42,0.29,0.8,N2
