,Category of dataset,dataset,relation,Configuration_Num,y_true,y_pred,Sc1,Sc2,F1_score,recall,precision,noise level
7,ChEMBL,assays_both_0_50_ac2_ev,View-Unionable,0,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1]","[0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0]","['assay_id', 'curated_by', 'assay_subcellular_fraction', 'assay_tissue', 'tissue_id', 'description', 'tid', 'assay_organism', 'doc_id', 'bao_format', 'assay_strain', 'assay_type', 'assay_test_type', 'assay_category', 'assay_tax_id', 'assay_cell_type', 'relationship_type']","['CHEI', 'ASSI', 'Desc', 'DI', 'ASTI', 'TISI', 'ASORG', 'Ti', 'BAFO', 'CONFISC', 'CUB', 'CI', 'SI', 'ASSUBCELFRAC', 'ASSST']",0.59,0.45,0.83,N2
23,ChEMBL,assays_both_0_70_ac4_av,View-Unionable,0,"[1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'assay_type', 'assay_cell_type', 'curated_by', 'chembl_id', 'assay_test_type', 'tissue_id', 'tid', 'src_assay_id', 'src_id', 'variant_id', 'relationship_type', 'description', 'assay_organism', 'assay_subcellular_fraction', 'assay_category', 'assay_tax_id', 'assay_strain']","['assays_ASI', 'assays_CHEI', 'assays_Descri', 'assays_DOI', 'assays_ASTI', 'assays_TII', 'assays_ASSOR', 'assays_Ti', 'assays_BFOR', 'assays_CONFSC', 'assays_RELATTY', 'assays_ASTTY', 'assays_CURAB', 'assays_ASST', 'assays_ASSCT', 'assays_CEI', 'assays_ASSSUBFRA', 'assays_SRI']",0.0,0.0,0.0,N4
42,ChEMBL,assays_both_0_30_ac1_av,View-Unionable,0,"[1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'cell_id', 'curated_by', 'assay_category', 'variant_id', 'assay_tissue', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_cell_type']","['assays_assay_id', 'assays_chembl_id', 'assays_assay_tissue', 'assays_tissue_id', 'assays_tid', 'assays_bao_format', 'assays_relationship_type', 'assays_confidence_score', 'assays_curated_by', 'assays_cell_id', 'assays_assay_subcellular_fraction', 'assays_src_id']",0.5,0.5,0.5,N1
43,ChEMBL,assays_both_0_30_ac3_ev,View-Unionable,0,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'assay_subcellular_fraction', 'assay_test_type', 'assay_type', 'tissue_id', 'assay_tax_id', 'doc_id', 'description', 'assay_category', 'assay_organism', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'tid']","['chmbl_d', 'ss_d', 'tss_d', 'ss_tx_d', 'b_frmt', 'cnfdnc_scr', 'rltnshp_tp', 'ss_tp', 'crtd_b', 'ss_tst_tp', 'cll_d', 'ss_sbclllr_frctn', 'src_d']",0.0,0.0,0.0,N3
50,ChEMBL,assays_both_0_30_ec_ev,View-Unionable,0,"[0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1]","[0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1]","['assay_id', 'assay_subcellular_fraction', 'assay_organism', 'description', 'relationship_type', 'assay_type', 'doc_id', 'assay_test_type', 'assay_category', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'tid']","['chembl_id', 'assay_id', 'description', 'tissue_id', 'assay_organism', 'bao_format', 'assay_type', 'confidence_score', 'relationship_type', 'curated_by', 'cell_id', 'src_id', 'assay_subcellular_fraction']",0.86,1.0,0.75,N0
55,ChEMBL,assays_both_0_70_ac5_av,View-Unionable,0,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'src_id', 'assay_cell_type', 'confidence_score', 'assay_organism', 'assay_test_type', 'assay_category', 'assay_tax_id', 'tissue_id', 'cell_id', 'description', 'assay_tissue', 'variant_id', 'src_assay_id', 'assay_subcellular_fraction', 'bao_format', 'doc_id', 'assay_type', 'assay_strain']","['assays_chmbl_d', 'assays_ss_d', 'assays_dscrptn', 'assays_ss_tss', 'assays_tss_d', 'assays_ss_rgnsm', 'assays_ss_tx_d', 'assays_td', 'assays_b_frmt', 'assays_cnfdnc_scr', 'assays_rltnshp_tp', 'assays_ss_tst_tp', 'assays_crtd_b', 'assays_cll_d', 'assays_ss_cll_tp', 'assays_src_d', 'assays_ss_sbclllr_frctn']",0.0,0.0,0.0,N5
59,ChEMBL,assays_both_0_30_ac5_av,View-Unionable,0,"[1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'assay_strain', 'variant_id', 'assay_tissue', 'tid', 'src_assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_cell_type']","['assays_ss_d', 'assays_chmbl_d', 'assays_tss_d', 'assays_ss_tss', 'assays_td', 'assays_b_frmt', 'assays_cnfdnc_scr', 'assays_rltnshp_tp', 'assays_crtd_b', 'assays_cll_d', 'assays_src_d', 'assays_ss_strn', 'assays_ss_sbclllr_frctn']",0.0,0.0,0.0,N5
75,ChEMBL,assays_both_0_1_ec_ev,View-Unionable,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['chembl_id', 'assay_id', 'tissue_id', 'tid', 'bao_format', 'confidence_score', 'relationship_type', 'curated_by', 'cell_id', 'src_id']",1.0,1.0,1.0,N0
84,ChEMBL,assays_both_0_1_ac3_ev,View-Unionable,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['chmbl_d', 'ss_d', 'tss_d', 'td', 'b_frmt', 'cnfdnc_scr', 'rltnshp_tp', 'crtd_b', 'cll_d', 'src_d']",0.0,0.0,0.0,N3
92,ChEMBL,assays_both_0_50_ac1_av,View-Unionable,0,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0]","[0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0]","['assay_id', 'src_id', 'relationship_type', 'assay_test_type', 'assay_tax_id', 'src_assay_id', 'curated_by', 'chembl_id', 'doc_id', 'assay_organism', 'variant_id', 'description', 'assay_type', 'assay_category', 'assay_strain', 'assay_tissue', 'assay_cell_type']","['assays_chembl_id', 'assays_assay_id', 'assays_doc_id', 'assays_tissue_id', 'assays_assay_tax_id', 'assays_assay_organism', 'assays_tid', 'assays_bao_format', 'assays_relationship_type', 'assays_assay_test_type', 'assays_confidence_score', 'assays_curated_by', 'assays_cell_id', 'assays_src_id', 'assays_assay_subcellular_fraction']",0.62,0.56,0.71,N1
99,ChEMBL,assays_both_0_1_ac3_av,View-Unionable,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['ss_d', 'chmbl_d', 'tss_d', 'td', 'b_frmt', 'cnfdnc_scr', 'rltnshp_tp', 'crtd_b', 'cll_d', 'src_d']",0.0,0.0,0.0,N3
104,ChEMBL,assays_both_0_50_ac1_ev,View-Unionable,0,"[1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0]","[1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]","['assay_id', 'assay_organism', 'chembl_id', 'curated_by', 'assay_tissue', 'description', 'assay_category', 'relationship_type', 'assay_tax_id', 'doc_id', 'tid', 'assay_type', 'assay_test_type', 'assay_strain', 'assay_cell_type', 'assay_subcellular_fraction', 'confidence_score']","['assays_assay_id', 'assays_chembl_id', 'assays_description', 'assays_doc_id', 'assays_assay_tissue', 'assays_tissue_id', 'assays_assay_tax_id', 'assays_assay_organism', 'assays_tid', 'assays_bao_format', 'assays_relationship_type', 'assays_curated_by', 'assays_cell_id', 'assays_src_id']",0.71,0.6,0.86,N1
105,ChEMBL,assays_both_0_1_ac2_av,View-Unionable,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['CHEI', 'ASI', 'TII', 'T', 'BAFOR', 'CONFSC', 'RELT', 'CUB', 'CI', 'SRI']",1.0,1.0,1.0,N2
106,ChEMBL,assays_both_0_1_ac1_av,View-Unionable,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 1, 1, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['assays_assay_id', 'assays_chembl_id', 'assays_tissue_id', 'assays_tid', 'assays_bao_format', 'assays_relationship_type', 'assays_confidence_score', 'assays_curated_by', 'assays_cell_id', 'assays_src_id']",0.5,1.0,0.33,N1
126,ChEMBL,assays_both_0_30_ac4_ev,View-Unionable,0,"[0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'confidence_score', 'variant_id', 'tissue_id', 'relationship_type', 'curated_by', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain']","['assays_CHEI', 'assays_ASSI', 'assays_TISI', 'assays_ASSTIS', 'assays_Ti', 'assays_BFO', 'assays_CONSC', 'assays_RELATIT', 'assays_CURAB', 'assays_ASSCET', 'assays_CEI', 'assays_ASSSUBCELFR', 'assays_SI']",0.0,0.0,0.0,N4
129,ChEMBL,assays_both_0_30_ac1_ev,View-Unionable,0,"[0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]","[0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'assay_tissue', 'curated_by', 'description', 'src_id', 'variant_id', 'doc_id', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_cell_type']","['assays_chembl_id', 'assays_assay_id', 'assays_description', 'assays_tissue_id', 'assays_assay_tissue', 'assays_tid', 'assays_bao_format', 'assays_confidence_score', 'assays_relationship_type', 'assays_curated_by', 'assays_cell_id', 'assays_assay_subcellular_fraction', 'assays_src_id']",0.44,0.4,0.5,N1
140,ChEMBL,assays_both_0_70_ec_av,View-Unionable,0,"[1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","['assay_id', 'chembl_id', 'assay_tissue', 'tid', 'assay_category', 'description', 'relationship_type', 'assay_tax_id', 'assay_cell_type', 'curated_by', 'assay_strain', 'confidence_score', 'src_assay_id', 'assay_type', 'assay_organism', 'cell_id', 'doc_id', 'assay_test_type', 'assay_subcellular_fraction']","['assay_id', 'chembl_id', 'description', 'assay_tissue', 'tissue_id', 'assay_tax_id', 'assay_organism', 'tid', 'bao_format', 'confidence_score', 'relationship_type', 'assay_type', 'curated_by', 'cell_id', 'assay_cell_type', 'assay_strain', 'src_id']",0.93,1.0,0.88,N0
144,ChEMBL,assays_both_0_30_ec_av,View-Unionable,0,"[1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]","[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1]","['assay_id', 'assay_strain', 'assay_test_type', 'curated_by', 'assay_subcellular_fraction', 'chembl_id', 'doc_id', 'description', 'assay_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_tissue', 'assay_cell_type']","['chembl_id', 'assay_id', 'tissue_id', 'tid', 'bao_format', 'relationship_type', 'curated_by', 'confidence_score', 'assay_test_type', 'cell_id', 'assay_strain', 'src_id', 'assay_subcellular_fraction']",0.8,1.0,0.67,N0
154,ChEMBL,assays_both_0_1_ac1_ev,View-Unionable,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 1, 1, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['assays_assay_id', 'assays_chembl_id', 'assays_tissue_id', 'assays_tid', 'assays_bao_format', 'assays_confidence_score', 'assays_relationship_type', 'assays_curated_by', 'assays_cell_id', 'assays_src_id']",0.5,1.0,0.33,N1
161,ChEMBL,assays_both_0_50_ac2_av,View-Unionable,0,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0]","[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]","['assay_id', 'bao_format', 'doc_id', 'cell_id', 'chembl_id', 'assay_type', 'tissue_id', 'assay_tax_id', 'assay_cell_type', 'assay_tissue', 'src_assay_id', 'description', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_strain', 'assay_subcellular_fraction']","['CHEI', 'ASI', 'DI', 'TISI', 'ASTIS', 'ASTI', 'Ti', 'BFO', 'ASSTY', 'CONFISC', 'RELATY', 'CURAB', 'CEI', 'ASCT', 'SRI']",0.57,0.4,1.0,N2
179,ChEMBL,assays_both_0_1_ac4_ev,View-Unionable,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['assays_ASSI', 'assays_CHI', 'assays_TISI', 'assays_Ti', 'assays_BAFO', 'assays_RELATY', 'assays_CURAB', 'assays_CONSC', 'assays_CEI', 'assays_SI']",0.0,0.0,0.0,N4
