,Category of dataset,dataset,relation,Configuration_Num,y_true,y_pred,Sc1,Sc2,F1_score,recall,precision,noise level
322,Magellan,amazon_google_exp,amazon_google_exp,0,"[1, 1, 1, 1]","[1, 1, 1, 1]","['id', 'title', 'manufacturer', 'price']","['id', 'title', 'price', 'manufacturer']",1.0,1.0,1.0,
650,Magellan,amazon_google_exp,amazon_google_exp,1,"[1, 1, 1, 1]","[0, 1, 1, 1]","['id', 'title', 'manufacturer', 'price']","['id', 'title', 'price', 'manufacturer']",0.86,0.75,1.0,
1002,Magellan,amazon_google_exp,amazon_google_exp,2,"[1, 1, 1, 1]","[1, 1, 1, 1]","['id', 'title', 'manufacturer', 'price']","['id', 'title', 'price', 'manufacturer']",1.0,1.0,1.0,
1580,Magellan,amazon_google_exp,amazon_google_exp,3,"[1, 1, 1, 1]","[0, 1, 1, 1]","['id', 'title', 'manufacturer', 'price']","['id', 'title', 'price', 'manufacturer']",0.86,0.75,1.0,
1915,Magellan,amazon_google_exp,amazon_google_exp,4,"[1, 1, 1, 1]","[1, 1, 1, 1]","['id', 'title', 'manufacturer', 'price']","['id', 'title', 'price', 'manufacturer']",1.0,1.0,1.0,
2236,Magellan,amazon_google_exp,amazon_google_exp,5,"[1, 1, 1, 1]","[0, 1, 1, 1]","['id', 'title', 'manufacturer', 'price']","['id', 'title', 'price', 'manufacturer']",0.86,0.75,1.0,
2671,Magellan,amazon_google_exp,amazon_google_exp,6,"[1, 1, 1, 1]","[1, 1, 1, 1]","['id', 'title', 'manufacturer', 'price']","['id', 'title', 'price', 'manufacturer']",1.0,1.0,1.0,
3184,Magellan,amazon_google_exp,amazon_google_exp,7,"[1, 1, 1, 1]","[0, 1, 1, 1]","['id', 'title', 'manufacturer', 'price']","['id', 'title', 'price', 'manufacturer']",0.86,0.75,1.0,
3908,Magellan,amazon_google_exp,amazon_google_exp,8,"[1, 1, 1, 1]","[1, 1, 1, 1]","['id', 'title', 'manufacturer', 'price']","['id', 'title', 'price', 'manufacturer']",1.0,1.0,1.0,
4100,Magellan,amazon_google_exp,amazon_google_exp,9,"[1, 1, 1, 1]","[0, 1, 1, 1]","['id', 'title', 'manufacturer', 'price']","['id', 'title', 'price', 'manufacturer']",0.86,0.75,1.0,
