,Category of dataset,dataset,relation,Configuration_Num,y_true,y_pred,Sc1,Sc2,F1_score,recall,precision,noise level
280,Magellan,beeradvo_ratebeer,beeradvo_ratebeer,0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",1.0,1.0,1.0,
677,Magellan,beeradvo_ratebeer,beeradvo_ratebeer,1,"[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",0.89,0.8,1.0,
954,Magellan,beeradvo_ratebeer,beeradvo_ratebeer,2,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",1.0,1.0,1.0,
1705,Magellan,beeradvo_ratebeer,beeradvo_ratebeer,3,"[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",0.89,0.8,1.0,
1809,Magellan,beeradvo_ratebeer,beeradvo_ratebeer,4,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",1.0,1.0,1.0,
2526,Magellan,beeradvo_ratebeer,beeradvo_ratebeer,5,"[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",0.89,0.8,1.0,
3049,Magellan,beeradvo_ratebeer,beeradvo_ratebeer,6,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",1.0,1.0,1.0,
3263,Magellan,beeradvo_ratebeer,beeradvo_ratebeer,7,"[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",0.89,0.8,1.0,
3801,Magellan,beeradvo_ratebeer,beeradvo_ratebeer,8,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",1.0,1.0,1.0,
4188,Magellan,beeradvo_ratebeer,beeradvo_ratebeer,9,"[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",0.89,0.8,1.0,
4412,Magellan,beeradvo_ratebeer,beeradvo_ratebeer,10,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",1.0,1.0,1.0,
5147,Magellan,beeradvo_ratebeer,beeradvo_ratebeer,11,"[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",0.89,0.8,1.0,
5293,Magellan,beeradvo_ratebeer,beeradvo_ratebeer,12,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",1.0,1.0,1.0,
5933,Magellan,beeradvo_ratebeer,beeradvo_ratebeer,13,"[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",0.89,0.8,1.0,
6310,Magellan,beeradvo_ratebeer,beeradvo_ratebeer,14,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",1.0,1.0,1.0,
6927,Magellan,beeradvo_ratebeer,beeradvo_ratebeer,15,"[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",0.89,0.8,1.0,
7050,Magellan,beeradvo_ratebeer,beeradvo_ratebeer,16,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",1.0,1.0,1.0,
7763,Magellan,beeradvo_ratebeer,beeradvo_ratebeer,17,"[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",0.89,0.8,1.0,
7945,Magellan,beeradvo_ratebeer,beeradvo_ratebeer,18,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",1.0,1.0,1.0,
8589,Magellan,beeradvo_ratebeer,beeradvo_ratebeer,19,"[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",0.89,0.8,1.0,
9091,Magellan,beeradvo_ratebeer,beeradvo_ratebeer,20,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",1.0,1.0,1.0,
9445,Magellan,beeradvo_ratebeer,beeradvo_ratebeer,21,"[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",0.89,0.8,1.0,
