,Category of dataset,dataset,relation,Configuration_Num,y_true,y_pred,Sc1,Sc2,F1_score,recall,precision,noise level
143,Magellan,dblp_acm,dblp_acm,0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0,
490,Magellan,dblp_acm,dblp_acm,1,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0.89,0.8,1.0,
967,Magellan,dblp_acm,dblp_acm,2,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0,
1546,Magellan,dblp_acm,dblp_acm,3,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0.89,0.8,1.0,
1931,Magellan,dblp_acm,dblp_acm,4,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0,
2581,Magellan,dblp_acm,dblp_acm,5,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0.89,0.8,1.0,
2785,Magellan,dblp_acm,dblp_acm,6,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0,
3347,Magellan,dblp_acm,dblp_acm,7,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0.89,0.8,1.0,
3547,Magellan,dblp_acm,dblp_acm,8,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0,
4353,Magellan,dblp_acm,dblp_acm,9,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0.89,0.8,1.0,
4667,Magellan,dblp_acm,dblp_acm,10,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1.0,1.0,1.0,
5186,Magellan,dblp_acm,dblp_acm,11,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0.89,0.8,1.0,
