,Category of dataset,dataset,relation,Configuration_Num,y_true,y_pred,Sc1,Sc2,F1_score,recall,precision,noise level
313,Magellan,dblp_scholar,dblp_scholar,0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",1.0,1.0,1.0,
859,Magellan,dblp_scholar,dblp_scholar,1,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",0.89,0.8,1.0,
1246,Magellan,dblp_scholar,dblp_scholar,2,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",1.0,1.0,1.0,
1378,Magellan,dblp_scholar,dblp_scholar,3,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",0.89,0.8,1.0,
2046,Magellan,dblp_scholar,dblp_scholar,4,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",1.0,1.0,1.0,
2584,Magellan,dblp_scholar,dblp_scholar,5,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",0.89,0.8,1.0,
2994,Magellan,dblp_scholar,dblp_scholar,6,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",1.0,1.0,1.0,
3307,Magellan,dblp_scholar,dblp_scholar,7,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",0.89,0.8,1.0,
3820,Magellan,dblp_scholar,dblp_scholar,8,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",1.0,1.0,1.0,
4134,Magellan,dblp_scholar,dblp_scholar,9,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",0.89,0.8,1.0,
4442,Magellan,dblp_scholar,dblp_scholar,10,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",1.0,1.0,1.0,
5007,Magellan,dblp_scholar,dblp_scholar,11,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",0.89,0.8,1.0,
5600,Magellan,dblp_scholar,dblp_scholar,12,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",1.0,1.0,1.0,
5900,Magellan,dblp_scholar,dblp_scholar,13,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",0.89,0.8,1.0,
6203,Magellan,dblp_scholar,dblp_scholar,14,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",1.0,1.0,1.0,
6724,Magellan,dblp_scholar,dblp_scholar,15,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'venue', 'year']",0.89,0.8,1.0,
