,Category of dataset,dataset,relation,Configuration_Num,y_true,y_pred,Sc1,Sc2,F1_score,recall,precision,noise level
49,Magellan,fodors_zagats,fodors_zagats,0,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['name', 'class', 'phone', 'id', 'addr', 'type', 'city']",1.0,1.0,1.0,
495,Magellan,fodors_zagats,fodors_zagats,1,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 0, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['name', 'class', 'id', 'phone', 'addr', 'type', 'city']",0.92,0.86,1.0,
1291,Magellan,fodors_zagats,fodors_zagats,2,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['name', 'class', 'id', 'phone', 'addr', 'type', 'city']",1.0,1.0,1.0,
1466,Magellan,fodors_zagats,fodors_zagats,3,"[1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['id', 'class', 'name', 'phone', 'addr', 'type', 'city']",0.92,0.86,1.0,
1938,Magellan,fodors_zagats,fodors_zagats,4,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['class', 'name', 'id', 'phone', 'addr', 'type', 'city']",1.0,1.0,1.0,
2220,Magellan,fodors_zagats,fodors_zagats,5,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 0, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['phone', 'name', 'id', 'class', 'addr', 'type', 'city']",0.92,0.86,1.0,
2997,Magellan,fodors_zagats,fodors_zagats,6,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['class', 'id', 'name', 'phone', 'addr', 'type', 'city']",1.0,1.0,1.0,
3300,Magellan,fodors_zagats,fodors_zagats,7,"[1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['id', 'class', 'name', 'phone', 'addr', 'type', 'city']",0.92,0.86,1.0,
3821,Magellan,fodors_zagats,fodors_zagats,8,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['name', 'class', 'id', 'phone', 'addr', 'type', 'city']",1.0,1.0,1.0,
4025,Magellan,fodors_zagats,fodors_zagats,9,"[1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['id', 'class', 'name', 'phone', 'addr', 'type', 'city']",0.92,0.86,1.0,
4522,Magellan,fodors_zagats,fodors_zagats,10,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['name', 'class', 'id', 'phone', 'addr', 'type', 'city']",1.0,1.0,1.0,
4994,Magellan,fodors_zagats,fodors_zagats,11,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 0, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['class', 'name', 'id', 'phone', 'addr', 'type', 'city']",0.92,0.86,1.0,
5432,Magellan,fodors_zagats,fodors_zagats,12,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['name', 'class', 'id', 'phone', 'addr', 'type', 'city']",1.0,1.0,1.0,
6058,Magellan,fodors_zagats,fodors_zagats,13,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 0, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['name', 'class', 'id', 'phone', 'addr', 'type', 'city']",0.92,0.86,1.0,
6298,Magellan,fodors_zagats,fodors_zagats,14,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['id', 'name', 'class', 'phone', 'addr', 'type', 'city']",1.0,1.0,1.0,
6715,Magellan,fodors_zagats,fodors_zagats,15,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 0, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['class', 'name', 'id', 'phone', 'addr', 'type', 'city']",0.92,0.86,1.0,
7404,Magellan,fodors_zagats,fodors_zagats,16,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['name', 'id', 'class', 'phone', 'addr', 'type', 'city']",1.0,1.0,1.0,
7466,Magellan,fodors_zagats,fodors_zagats,17,"[1, 1, 1, 1, 1, 1, 1]","[1, 0, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['class', 'id', 'phone', 'name', 'addr', 'type', 'city']",0.92,0.86,1.0,
8022,Magellan,fodors_zagats,fodors_zagats,18,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['name', 'id', 'class', 'phone', 'addr', 'type', 'city']",1.0,1.0,1.0,
8701,Magellan,fodors_zagats,fodors_zagats,19,"[1, 1, 1, 1, 1, 1, 1]","[1, 0, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['name', 'id', 'class', 'phone', 'addr', 'type', 'city']",0.92,0.86,1.0,
8838,Magellan,fodors_zagats,fodors_zagats,20,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['name', 'id', 'class', 'phone', 'addr', 'type', 'city']",1.0,1.0,1.0,
9543,Magellan,fodors_zagats,fodors_zagats,21,"[1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['id', 'class', 'name', 'phone', 'addr', 'type', 'city']",0.92,0.86,1.0,
9733,Magellan,fodors_zagats,fodors_zagats,22,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['class', 'name', 'id', 'phone', 'addr', 'type', 'city']",1.0,1.0,1.0,
10251,Magellan,fodors_zagats,fodors_zagats,23,"[1, 1, 1, 1, 1, 1, 1]","[1, 0, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['name', 'id', 'class', 'phone', 'addr', 'type', 'city']",0.92,0.86,1.0,
10937,Magellan,fodors_zagats,fodors_zagats,24,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['name', 'id', 'class', 'phone', 'addr', 'type', 'city']",1.0,1.0,1.0,
11363,Magellan,fodors_zagats,fodors_zagats,25,"[1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['id', 'class', 'name', 'phone', 'addr', 'type', 'city']",0.92,0.86,1.0,
11578,Magellan,fodors_zagats,fodors_zagats,26,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['name', 'id', 'class', 'phone', 'addr', 'type', 'city']",1.0,1.0,1.0,
12008,Magellan,fodors_zagats,fodors_zagats,27,"[1, 1, 1, 1, 1, 1, 1]","[1, 0, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['name', 'id', 'class', 'phone', 'addr', 'type', 'city']",0.92,0.86,1.0,
12348,Magellan,fodors_zagats,fodors_zagats,28,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['name', 'id', 'class', 'phone', 'addr', 'type', 'city']",1.0,1.0,1.0,
13050,Magellan,fodors_zagats,fodors_zagats,29,"[1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['id', 'name', 'phone', 'class', 'addr', 'type', 'city']",0.92,0.86,1.0,
13549,Magellan,fodors_zagats,fodors_zagats,30,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['id', 'name', 'class', 'phone', 'addr', 'type', 'city']",1.0,1.0,1.0,
13972,Magellan,fodors_zagats,fodors_zagats,31,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 0, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['name', 'class', 'id', 'phone', 'addr', 'type', 'city']",0.92,0.86,1.0,
14177,Magellan,fodors_zagats,fodors_zagats,32,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['id', 'name', 'class', 'phone', 'addr', 'type', 'city']",1.0,1.0,1.0,
14601,Magellan,fodors_zagats,fodors_zagats,33,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 0, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['class', 'name', 'id', 'phone', 'addr', 'type', 'city']",0.92,0.86,1.0,
15263,Magellan,fodors_zagats,fodors_zagats,34,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['name', 'phone', 'class', 'id', 'addr', 'type', 'city']",1.0,1.0,1.0,
15400,Magellan,fodors_zagats,fodors_zagats,35,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 0, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['class', 'name', 'id', 'phone', 'addr', 'type', 'city']",0.92,0.86,1.0,
16023,Magellan,fodors_zagats,fodors_zagats,36,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['id', 'name', 'phone', 'class', 'addr', 'type', 'city']",1.0,1.0,1.0,
16572,Magellan,fodors_zagats,fodors_zagats,37,"[1, 1, 1, 1, 1, 1, 1]","[1, 0, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['class', 'id', 'name', 'phone', 'addr', 'type', 'city']",0.92,0.86,1.0,
17037,Magellan,fodors_zagats,fodors_zagats,38,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['name', 'class', 'id', 'phone', 'addr', 'type', 'city']",1.0,1.0,1.0,
17329,Magellan,fodors_zagats,fodors_zagats,39,"[1, 1, 1, 1, 1, 1, 1]","[1, 0, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['name', 'id', 'phone', 'class', 'addr', 'type', 'city']",0.92,0.86,1.0,
17640,Magellan,fodors_zagats,fodors_zagats,40,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['id', 'name', 'class', 'phone', 'addr', 'type', 'city']",1.0,1.0,1.0,
17994,Magellan,fodors_zagats,fodors_zagats,41,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 0, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['name', 'class', 'id', 'phone', 'addr', 'type', 'city']",0.92,0.86,1.0,
18544,Magellan,fodors_zagats,fodors_zagats,42,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['id', 'name', 'class', 'phone', 'addr', 'type', 'city']",1.0,1.0,1.0,
18849,Magellan,fodors_zagats,fodors_zagats,43,"[1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['id', 'name', 'class', 'phone', 'addr', 'type', 'city']",0.92,0.86,1.0,
