,Category of dataset,dataset,relation,Configuration_Num,y_true,y_pred,Sc1,Sc2,F1_score,recall,precision,noise level
421,Magellan,itunes_amazon,itunes_amazon,0,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","['id', 'Song_Name', 'Artist_Name', 'Album_Name', 'Genre', 'Price', 'CopyRight', 'Time', 'Released']","['id', 'Song_Name', 'Album_Name', 'CopyRight', 'Released', 'Artist_Name', 'Time', 'Genre', 'Price']",1.0,1.0,1.0,
618,Magellan,itunes_amazon,itunes_amazon,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1, 1, 1]","['id', 'Song_Name', 'Artist_Name', 'Album_Name', 'Genre', 'Price', 'CopyRight', 'Time', 'Released']","['id', 'Song_Name', 'Album_Name', 'CopyRight', 'Released', 'Artist_Name', 'Time', 'Genre', 'Price']",0.94,0.89,1.0,
1270,Magellan,itunes_amazon,itunes_amazon,2,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","['id', 'Song_Name', 'Artist_Name', 'Album_Name', 'Genre', 'Price', 'CopyRight', 'Time', 'Released']","['id', 'Song_Name', 'Album_Name', 'CopyRight', 'Released', 'Artist_Name', 'Time', 'Genre', 'Price']",1.0,1.0,1.0,
1499,Magellan,itunes_amazon,itunes_amazon,3,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1, 1, 1]","['id', 'Song_Name', 'Artist_Name', 'Album_Name', 'Genre', 'Price', 'CopyRight', 'Time', 'Released']","['id', 'Song_Name', 'Album_Name', 'CopyRight', 'Released', 'Artist_Name', 'Time', 'Genre', 'Price']",0.94,0.89,1.0,
2012,Magellan,itunes_amazon,itunes_amazon,4,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","['id', 'Song_Name', 'Artist_Name', 'Album_Name', 'Genre', 'Price', 'CopyRight', 'Time', 'Released']","['id', 'Song_Name', 'Album_Name', 'CopyRight', 'Released', 'Artist_Name', 'Time', 'Genre', 'Price']",1.0,1.0,1.0,
2543,Magellan,itunes_amazon,itunes_amazon,5,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1, 1, 1]","['id', 'Song_Name', 'Artist_Name', 'Album_Name', 'Genre', 'Price', 'CopyRight', 'Time', 'Released']","['id', 'Song_Name', 'Album_Name', 'CopyRight', 'Released', 'Artist_Name', 'Time', 'Genre', 'Price']",0.94,0.89,1.0,
2650,Magellan,itunes_amazon,itunes_amazon,6,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 0, 1, 1, 1, 1]","['id', 'Song_Name', 'Artist_Name', 'Album_Name', 'Genre', 'Price', 'CopyRight', 'Time', 'Released']","['id', 'Song_Name', 'Album_Name', 'CopyRight', 'Released', 'Artist_Name', 'Time', 'Genre', 'Price']",0.94,0.89,1.0,
3201,Magellan,itunes_amazon,itunes_amazon,7,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 0, 1, 1, 1, 1]","['id', 'Song_Name', 'Artist_Name', 'Album_Name', 'Genre', 'Price', 'CopyRight', 'Time', 'Released']","['id', 'Song_Name', 'Album_Name', 'CopyRight', 'Released', 'Artist_Name', 'Time', 'Genre', 'Price']",0.88,0.78,1.0,
3935,Magellan,itunes_amazon,itunes_amazon,8,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","['id', 'Song_Name', 'Artist_Name', 'Album_Name', 'Genre', 'Price', 'CopyRight', 'Time', 'Released']","['id', 'Song_Name', 'Album_Name', 'CopyRight', 'Released', 'Artist_Name', 'Time', 'Genre', 'Price']",1.0,1.0,1.0,
4037,Magellan,itunes_amazon,itunes_amazon,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1, 1, 1]","['id', 'Song_Name', 'Artist_Name', 'Album_Name', 'Genre', 'Price', 'CopyRight', 'Time', 'Released']","['id', 'Song_Name', 'Album_Name', 'CopyRight', 'Released', 'Artist_Name', 'Time', 'Genre', 'Price']",0.94,0.89,1.0,
