,Category of dataset,dataset,relation,Configuration_Num,y_true,y_pred,Sc1,Sc2,F1_score,recall,precision,noise level
5,OpenData,miller2_both_50_50_ac2_ev,Joinable,0,"[0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1]","[0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1]","['Fiscal year', 'Enviromental sustainability (marker)', 'Organisation sub-class', 'Sector ID', 'CIDA business delivery model (old)', 'Untied amount(Project-level budget)', 'Programming process (new)', 'Organisation class', 'FSTC percent', 'Division ID', 'Fund centre name', 'ICT as a tool for development (marker)', 'Project number', 'Continent name', 'Climate change mitigation (marker)', 'Section ID', 'Bilateral aid (international marker)', 'Gender equality (marker)', 'Organisation ID', 'Branch ID', 'Climate change adaptation (marker)', 'Desertification (marker)', 'Division name', 'CountryRegion ID', 'Urban issues (marker)', 'Status', 'Maximum CIDA contribution (project-level)', 'Branch name', 'Section name', 'Regional program (marker)', 'Fund centre ID', 'IRTC percent', 'CFLI (marker)', 'PBA type', 'Participatory development and good governance', 'Trade development (marker)', 'Biodiversity (marker)', 'Children issues (marker)']","['AmoSpe', 'ProjNu', 'UnAmoProBu', 'OrganID', 'OrgNa', 'CouReNa', 'CouRegID', 'ProjBroCoID', 'SeID', 'SecNa', 'FCenNa', 'SecID', 'OrganiS', 'DivN', 'DiviID', 'BraID', 'OrgaCla', 'OrgaT', 'ICTAATFDevelo', 'ConNa', 'GenEqu', 'ContID', 'YouIs', 'ClimChaMiti', 'CIDABusDeliMo', 'CliChAdap', 'KnowlFDevelo', 'IndigIss', 'EnviSusta', 'BilaAiMa', 'DisIs', 'Dese', 'CouRegPe', 'SecPer', 'UrbIs', 'FSTCPe', 'ProgrPro', 'FisY']",0.68,0.68,0.68,N2
25,OpenData,miller2_both_50_70_ac2_ev,Joinable,0,"[0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]","[1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0]","['Fiscal year', 'Participatory development and good governance', 'Climate change adaptation (marker)', 'CFLI (marker)', 'Project number', 'Continent ID', 'Division ID', 'Organisation sub-class', 'Branch ID', 'Status', 'Continent name', 'Project Browser country ID', 'Organisation type', 'Children issues (marker)', 'Knowledge for development (marker)', 'Maximum CIDA contribution (project-level)', 'Gender equality (marker)', 'FSTC percent', 'ICT as a tool for development (marker)', 'Bilateral aid (international marker)', 'Enviromental sustainability (marker)', 'IRTC percent', 'Sector percent', 'Sector name', 'Fund centre name', 'Regional program (marker)', 'Section ID', 'PBA type', 'CIDA business delivery model (old)', 'Branch name', 'Urban issues (marker)', 'Organisation ID', 'Biodiversity (marker)', 'Indigenous issues (marker)', 'CountryRegion ID', 'Division name', 'Section name', 'Fund centre ID', 'Untied amount(Project-level budget)', 'Programming process (new)', 'Climate change mitigation (marker)', 'Desertification (marker)', 'Trade development (marker)']","['AmSp', 'ProNu', 'MaCIDACon', 'OrganiID', 'OrganiNa', 'CouReNa', 'ProBrCounID', 'CounReID', 'SeNa', 'SeID', 'FuCeNa', 'SectID', 'OrganiSu', 'DiviID', 'BraN', 'BrID', 'PBATy', 'YoIss', 'OrgT', 'DisIss', 'ChiIs', 'ContiID', 'OrganCl', 'KnoFoDevelo', 'Biodiv', 'EnvirSustai', 'ContiN', 'CIDABusiDelMo', 'UrbIs', 'GeEqu', 'IndIs', 'ICTAAToFDeve', 'ParticDevelAnGGover', 'ClimChaAda', 'SecPer', 'FSTCPer', 'St', 'RePro', 'CouRegPerc', 'BilatAiMa', 'IRTCPe', 'CFLI', 'FiY']",0.73,0.66,0.82,N2
58,OpenData,miller2_vertical_50_ac5_ev,Joinable,0,"[0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Fiscal year', 'Status', 'Untied amount(Project-level budget)', 'Sector percent', 'FSTC percent', 'Disability issues (marker)', 'Climate change adaptation (marker)', 'Organisation name', 'Children issues (marker)', 'Organisation type', 'Programming process (new)', 'Project number', 'Organisation sub-class', 'Continent ID', 'Youth issues (marker)', 'Bilateral aid (international marker)', 'Branch ID', 'Section ID', 'Division name', 'ICT as a tool for development (marker)', 'Enviromental sustainability (marker)', 'Indigenous issues (marker)', 'CountryRegion name', 'Fund centre ID', 'IRTC percent', 'Maximum CIDA contribution (project-level)', 'Branch name', 'Division ID', 'Section name', 'Regional program (marker)', 'Fund centre name', 'CFLI (marker)', 'CIDA business delivery model (old)', 'PBA type', 'Climate change mitigation (marker)', 'Desertification (marker)', 'Participatory development and good governance', 'Trade development (marker)']","['miller2_mntspnt', 'miller2_prjctnmbr', 'miller2_ntdmnt(prjct-lvlbdgt)', 'miller2_rgnstnd', 'miller2_rgnstnnm', 'miller2_cntrrgnnm', 'miller2_fndcntrd', 'miller2_cntrrgnd', 'miller2_prjctbrwsrcntrd', 'miller2_sctrd', 'miller2_sctrnm', 'miller2_sctnd', 'miller2_rgnstnsb-clss', 'miller2_dvsnnm', 'miller2_brnchd', 'miller2_rgnstnclss', 'miller2_rgnstntp', 'miller2_knwldgfrdvlpmnt(mrkr)', 'miller2_cntnntnm', 'miller2_thsss(mrkr)', 'miller2_dsbltsss(mrkr)', 'miller2_gndrqlt(mrkr)', 'miller2_cntnntd', 'miller2_rbnsss(mrkr)', 'miller2_ctstlfrdvlpmnt(mrkr)', 'miller2_ndgnssss(mrkr)', 'miller2_nvrmntlsstnblt(mrkr)', 'miller2_bdvrst(mrkr)', 'miller2_chldrnsss(mrkr)', 'miller2_fstcprcnt', 'miller2_stts', 'miller2_clmtchngdpttn(mrkr)', 'miller2_fsclr', 'miller2_bltrld(ntrntnlmrkr)', 'miller2_sctrprcnt', 'miller2_cntrrgnprcnt', 'miller2_rtcprcnt', 'miller2_prgrmmngprcss(nw)']",0.0,0.0,0.0,N5
65,OpenData,miller2_both_50_50_ac4_ev,Joinable,0,"[0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Fiscal year', 'ICT as a tool for development (marker)', 'Fund centre ID', 'Biodiversity (marker)', 'Organisation sub-class', 'CountryRegion percent', 'Branch ID', 'Organisation name', 'Division name', 'Maximum CIDA contribution (project-level)', 'Status', 'Section name', 'Climate change mitigation (marker)', 'Organisation ID', 'Continent ID', 'CIDA business delivery model (old)', 'Enviromental sustainability (marker)', 'CFLI (marker)', 'CountryRegion ID', 'Trade development (marker)', 'CountryRegion name', 'Desertification (marker)', 'Regional program (marker)', 'Project number', 'Untied amount(Project-level budget)', 'Branch name', 'Division ID', 'Section ID', 'Fund centre name', 'FSTC percent', 'IRTC percent', 'Programming process (new)', 'Bilateral aid (international marker)', 'PBA type', 'Climate change adaptation (marker)', 'Participatory development and good governance', 'Urban issues (marker)', 'Children issues (marker)']","['miller2_AmSpe', 'miller2_ProjNu', 'miller2_MaCIDAContr', 'miller2_UnAmProjBu', 'miller2_OrganID', 'miller2_OrgNa', 'miller2_CouReN', 'miller2_SecN', 'miller2_PrBrowCoID', 'miller2_CounRegID', 'miller2_SeID', 'miller2_FCenID', 'miller2_SectNa', 'miller2_OrganiS', 'miller2_DiN', 'miller2_BrID', 'miller2_OrganiCla', 'miller2_ContiID', 'miller2_ContNa', 'miller2_OrganT', 'miller2_IndigIs', 'miller2_CliChMitig', 'miller2_YouIs', 'miller2_TraDevelo', 'miller2_Biodi', 'miller2_KnoFoDevelo', 'miller2_St', 'miller2_EnviSustain', 'miller2_Dese', 'miller2_ICTAATFDeve', 'miller2_GeEqu', 'miller2_DisabIss', 'miller2_CIDABusiDeMo', 'miller2_SePerc', 'miller2_CFLI', 'miller2_RegPro', 'miller2_CouRePe', 'miller2_FiYe']",0.0,0.0,0.0,N4
68,OpenData,miller2_vertical_50_ac3_ev,Joinable,0,"[0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Fiscal year', 'Bilateral aid (international marker)', 'CountryRegion percent', 'Youth issues (marker)', 'CountryRegion ID', 'Climate change mitigation (marker)', 'Branch name', 'Participatory development and good governance', 'Enviromental sustainability (marker)', 'ICT as a tool for development (marker)', 'Disability issues (marker)', 'Organisation sub-class', 'Division ID', 'CFLI (marker)', 'Knowledge for development (marker)', 'Project number', 'Division name', 'Status', 'Desertification (marker)', 'CIDA business delivery model (old)', 'CountryRegion name', 'Biodiversity (marker)', 'Branch ID', 'Organisation type', 'Fund centre ID', 'Maximum CIDA contribution (project-level)', 'Section ID', 'Section name', 'Regional program (marker)', 'Fund centre name', 'Untied amount(Project-level budget)', 'FSTC percent', 'IRTC percent', 'Programming process (new)', 'PBA type', 'Climate change adaptation (marker)', 'Trade development (marker)', 'Urban issues (marker)']","['mntspnt', 'prjctnmbr', 'rgnstnnm', 'rgnstnd', 'fndcntrd', 'cntrrgnd', 'cntrrgnnm', 'prjctbrwsrcntrd', 'sctrd', 'sctrnm', 'rgnstnsb-clss', 'dvsnnm', 'dvsnd', 'brnchnm', 'brnchd', 'cntnntd', 'rgnstntp', 'cntnntnm', 'rgnstnclss', 'clmtchngmtgtn(mrkr)', 'chldrnsss(mrkr)', 'prtcptrdvlpmntndgdgvrnnc', 'dsrtfctn(mrkr)', 'knwldgfrdvlpmnt(mrkr)', 'ctstlfrdvlpmnt(mrkr)', 'nvrmntlsstnblt(mrkr)', 'stts', 'ndgnssss(mrkr)', 'dsbltsss(mrkr)', 'cntrrgnprcnt', 'gndrqlt(mrkr)', 'bdvrst(mrkr)', 'thsss(mrkr)', 'bltrld(ntrntnlmrkr)', 'cfl(mrkr)', 'cdbsnssdlvrmdl(ld)', 'sctrprcnt', 'fsclr']",0.2,0.12,0.6,N3
72,OpenData,miller2_vertical_1_ac2_ev,Joinable,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0]","['Fiscal year', 'Project number', 'Status', 'Maximum CIDA contribution (project-level)', 'Branch ID', 'Branch name', 'Division ID', 'Division name', 'Section ID', 'Section name', 'Regional program (marker)', 'Fund centre ID', 'Fund centre name', 'Untied amount(Project-level budget)', 'FSTC percent', 'IRTC percent', 'CFLI (marker)', 'CIDA business delivery model (old)', 'Programming process (new)', 'Bilateral aid (international marker)', 'PBA type', 'Enviromental sustainability (marker)', 'Climate change adaptation (marker)', 'Climate change mitigation (marker)', 'Desertification (marker)', 'Participatory development and good governance']","['AmSp', 'OrganiID', 'OrgNa', 'CoRegID', 'CoReN', 'SeNa', 'ProBroCouID', 'SecID', 'OrganiSu', 'OrganiCl', 'OrgTy', 'ContiID', 'YoIss', 'ConN', 'TraDevelo', 'IndigIs', 'ICTAATFDeve', 'Biodi', 'GenEqua', 'UrIs', 'KnowFoDeve', 'DisabIs', 'ChIss', 'SePer', 'CounRePe', 'FiY']",0.0,0.0,0.0,N2
121,OpenData,miller2_vertical_30_ac5_ev,Joinable,0,"[0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Fiscal year', 'Desertification (marker)', 'ICT as a tool for development (marker)', 'Programming process (new)', 'Disability issues (marker)', 'FSTC percent', 'Division name', 'Knowledge for development (marker)', 'Sector ID', 'Climate change adaptation (marker)', 'Gender equality (marker)', 'Untied amount(Project-level budget)', 'Youth issues (marker)', 'Maximum CIDA contribution (project-level)', 'Project Browser country ID', 'Project number', 'Status', 'Branch ID', 'Branch name', 'Division ID', 'Section ID', 'Section name', 'Regional program (marker)', 'Fund centre ID', 'Fund centre name', 'IRTC percent', 'CFLI (marker)', 'CIDA business delivery model (old)', 'Bilateral aid (international marker)', 'PBA type', 'Enviromental sustainability (marker)', 'Climate change mitigation (marker)', 'Participatory development and good governance']","['miller2_mntspnt', 'miller2_mxmmcdcntrbtn(prjct-lvl)', 'miller2_ntdmnt(prjct-lvlbdgt)', 'miller2_rgnstnnm', 'miller2_rgnstnd', 'miller2_cntrrgnnm', 'miller2_cntrrgnd', 'miller2_sctrnm', 'miller2_sctrd', 'miller2_prjctbrwsrcntrd', 'miller2_rgnstnsb-clss', 'miller2_dvsnnm', 'miller2_rgnstnclss', 'miller2_cntnntnm', 'miller2_rbnsss(mrkr)', 'miller2_bdvrst(mrkr)', 'miller2_cntnntd', 'miller2_chldrnsss(mrkr)', 'miller2_ctstlfrdvlpmnt(mrkr)', 'miller2_rgnstntp', 'miller2_thsss(mrkr)', 'miller2_trddvlpmnt(mrkr)', 'miller2_knwldgfrdvlpmnt(mrkr)', 'miller2_dsbltsss(mrkr)', 'miller2_gndrqlt(mrkr)', 'miller2_dsrtfctn(mrkr)', 'miller2_ndgnssss(mrkr)', 'miller2_sctrprcnt', 'miller2_fstcprcnt', 'miller2_clmtchngdpttn(mrkr)', 'miller2_cntrrgnprcnt', 'miller2_fsclr', 'miller2_prgrmmngprcss(nw)']",0.0,0.0,0.0,N5
216,OpenData,miller2_vertical_70_ac2_ev,Joinable,0,"[1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1]","[0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1]","['Fiscal year', 'IRTC percent', 'FSTC percent', 'Indigenous issues (marker)', 'Climate change mitigation (marker)', 'Youth issues (marker)', 'Branch name', 'Continent ID', 'Programming process (new)', 'Regional program (marker)', 'Organisation sub-class', 'CIDA business delivery model (old)', 'Sector percent', 'Untied amount(Project-level budget)', 'ICT as a tool for development (marker)', 'Section name', 'Knowledge for development (marker)', 'Desertification (marker)', 'Continent name', 'Disability issues (marker)', 'Children issues (marker)', 'CountryRegion percent', 'Fund centre name', 'Trade development (marker)', 'PBA type', 'Gender equality (marker)', 'Project Browser country ID', 'Division ID', 'Organisation name', 'CFLI (marker)', 'CountryRegion name', 'Organisation ID', 'Organisation class', 'Sector name', 'Amount spent', 'Project number', 'Status', 'Maximum CIDA contribution (project-level)', 'Branch ID', 'Division name', 'Section ID', 'Fund centre ID', 'Bilateral aid (international marker)']","['AmoSp', 'UnAmoProjBud', 'OrgaID', 'OrganN', 'FCenNa', 'CouReN', 'CouReID', 'SeNa', 'SecID', 'ProjBrCoID', 'SeN', 'OrgSu', 'DivID', 'OrgCl', 'BraN', 'PBATy', 'ConID', 'ICTAAToFDevelo', 'YouIss', 'UrbIss', 'DisabIs', 'ConNa', 'Bio', 'OrgaT', 'CliChMit', 'ChilIs', 'EnvSustain', 'IndigIs', 'TraDevelo', 'Deser', 'GenEq', 'RePr', 'IRTCPer', 'KnoFDeve', 'CIDABuDeliMo', 'CoRegPe', 'CliChAda', 'ParticiDeveloAnGoGover', 'FSTCPerc', 'SePer', 'CFLI', 'FisYe', 'PrograPr']",0.73,0.66,0.82,N2
225,OpenData,miller2_both_50_1_ac3_ev,Joinable,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","['Fiscal year', 'Project number', 'Status', 'Maximum CIDA contribution (project-level)', 'Branch ID', 'Branch name', 'Division ID', 'Division name', 'Section ID', 'Section name', 'Regional program (marker)', 'Fund centre ID', 'Fund centre name', 'Untied amount(Project-level budget)', 'FSTC percent', 'IRTC percent', 'CFLI (marker)', 'CIDA business delivery model (old)', 'Programming process (new)', 'Bilateral aid (international marker)', 'PBA type', 'Enviromental sustainability (marker)', 'Climate change adaptation (marker)', 'Climate change mitigation (marker)', 'Desertification (marker)', 'Participatory development and good governance']","['mntspnt', 'rgnstnnm', 'rgnstnd', 'cntrrgnnm', 'prjctbrwsrcntrd', 'cntrrgnd', 'sctrd', 'sctrnm', 'rgnstnsb-clss', 'rgnstnclss', 'cntnntnm', 'rgnstntp', 'cntnntd', 'ctstlfrdvlpmnt(mrkr)', 'knwldgfrdvlpmnt(mrkr)', 'rbnsss(mrkr)', 'dsbltsss(mrkr)', 'gndrqlt(mrkr)', 'trddvlpmnt(mrkr)', 'chldrnsss(mrkr)', 'bdvrst(mrkr)', 'thsss(mrkr)', 'ndgnssss(mrkr)', 'fsclr', 'cntrrgnprcnt', 'sctrprcnt']",0.5,1.0,0.33,N3
229,OpenData,miller2_vertical_70_ac1_ev,Joinable,0,"[0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1]","['Fiscal year', 'CountryRegion percent', 'Section name', 'Climate change adaptation (marker)', 'Branch name', 'Programming process (new)', 'Gender equality (marker)', 'Status', 'Division ID', 'Organisation type', 'Indigenous issues (marker)', 'Knowledge for development (marker)', 'Children issues (marker)', 'Organisation name', 'Climate change mitigation (marker)', 'Continent ID', 'PBA type', 'Trade development (marker)', 'Fund centre name', 'Division name', 'Biodiversity (marker)', 'Urban issues (marker)', 'CFLI (marker)', 'Organisation sub-class', 'Organisation ID', 'Project Browser country ID', 'FSTC percent', 'Bilateral aid (international marker)', 'Regional program (marker)', 'Organisation class', 'Untied amount(Project-level budget)', 'CIDA business delivery model (old)', 'IRTC percent', 'Sector name', 'CountryRegion name', 'Project number', 'Maximum CIDA contribution (project-level)', 'Branch ID', 'Section ID', 'Fund centre ID', 'Enviromental sustainability (marker)', 'Desertification (marker)', 'Participatory development and good governance']","['miller2_AmountSpent', 'miller2_UntiedAmount(Project-levelBudget)', 'miller2_OrganisationID', 'miller2_OrganisationName', 'miller2_FundCentreName', 'miller2_CountryRegionName', 'miller2_CountryRegionID', 'miller2_SectorID', 'miller2_SectorName', 'miller2_ProjectBrowserCountryID', 'miller2_SectionName', 'miller2_OrganisationSub-class', 'miller2_DivisionName', 'miller2_DivisionID', 'miller2_BranchName', 'miller2_OrganisationClass', 'miller2_OrganisationType', 'miller2_PBAType', 'miller2_ContinentID', 'miller2_KnowledgeForDevelopment(marker)', 'miller2_ContinentName', 'miller2_DisabilityIssues(marker)', 'miller2_IRTCPercent', 'miller2_YouthIssues(marker)', 'miller2_UrbanIssues(marker)', 'miller2_ChildrenIssues(marker)', 'miller2_ClimateChangeMitigation(marker)', 'miller2_CIDABusinessDeliveryModel(old)', 'miller2_ICTAsAToolForDevelopment(marker)', 'miller2_TradeDevelopment(marker)', 'miller2_GenderEquality(marker)', 'miller2_IndigenousIssues(marker)', 'miller2_BilateralAid(internationalMarker)', 'miller2_Status', 'miller2_ClimateChangeAdaptation(marker)', 'miller2_Biodiversity(marker)', 'miller2_CFLI(marker)', 'miller2_FSTCPercent', 'miller2_RegionalProgram(marker)', 'miller2_SectorPercent', 'miller2_ProgrammingProcess(new)', 'miller2_CountryRegionPercent', 'miller2_FiscalYear']",0.63,0.51,0.82,N1
