,Category of dataset,dataset,relation,Configuration_Num,y_true,y_pred,Sc1,Sc2,F1_score,recall,precision,noise level
28,OpenData,miller2_vertical_1_ac4_av,Semantically-Joinable,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Fiscal year', 'Project number', 'Status', 'Maximum CIDA contribution (project-level)', 'Branch ID', 'Branch name', 'Division ID', 'Division name', 'Section ID', 'Section name', 'Regional program (marker)', 'Fund centre ID', 'Fund centre name', 'Untied amount(Project-level budget)', 'FSTC percent', 'IRTC percent', 'CFLI (marker)', 'CIDA business delivery model (old)', 'Programming process (new)', 'Bilateral aid (international marker)', 'PBA type', 'Enviromental sustainability (marker)', 'Climate change adaptation (marker)', 'Climate change mitigation (marker)', 'Desertification (marker)', 'Participatory development and good governance']","['miller2_AmSpe', 'miller2_OrgN', 'miller2_OrgaID', 'miller2_CoRegNa', 'miller2_CounRegID', 'miller2_ProBrowCounID', 'miller2_SeID', 'miller2_SeNa', 'miller2_OrgaS', 'miller2_OrgaT', 'miller2_ContID', 'miller2_YouIss', 'miller2_OrgCla', 'miller2_ContiNa', 'miller2_DisabIss', 'miller2_ChiIs', 'miller2_IndigIs', 'miller2_GenEq', 'miller2_KnowFDeve', 'miller2_Biod', 'miller2_ICTAAToFoDeve', 'miller2_UrbIss', 'miller2_TraDevelo', 'miller2_SePe', 'miller2_FiYe', 'miller2_CounRegPerc']",0.0,0.0,0.0,N4
40,OpenData,miller2_vertical_70_ac4_av,Semantically-Joinable,0,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Fiscal year', 'Continent ID', 'Disability issues (marker)', 'Branch ID', 'Section name', 'Biodiversity (marker)', 'Fund centre ID', 'Knowledge for development (marker)', 'Indigenous issues (marker)', 'Youth issues (marker)', 'Climate change mitigation (marker)', 'FSTC percent', 'CIDA business delivery model (old)', 'IRTC percent', 'Division ID', 'CountryRegion percent', 'Climate change adaptation (marker)', 'Children issues (marker)', 'Continent name', 'Desertification (marker)', 'Sector name', 'Organisation class', 'Organisation ID', 'Trade development (marker)', 'PBA type', 'Branch name', 'Sector percent', 'Project number', 'Organisation name', 'CountryRegion ID', 'Status', 'Organisation type', 'CountryRegion name', 'Amount spent', 'Urban issues (marker)', 'Maximum CIDA contribution (project-level)', 'Division name', 'Section ID', 'Regional program (marker)', 'Fund centre name', 'Untied amount(Project-level budget)', 'CFLI (marker)', 'Programming process (new)']","['miller2_AmSpe', 'miller2_ProjNum', 'miller2_OrgaNa', 'miller2_OrgID', 'miller2_CouReNa', 'miller2_FCeID', 'miller2_CouReID', 'miller2_ProBrowCounID', 'miller2_SeID', 'miller2_SecN', 'miller2_OrganSu', 'miller2_DivID', 'miller2_OrganCla', 'miller2_BraID', 'miller2_BrN', 'miller2_KnowlFDevel', 'miller2_ConID', 'miller2_PartDevelAGoGov', 'miller2_OrgaT', 'miller2_YoIs', 'miller2_DisIs', 'miller2_IndiIss', 'miller2_TrDevel', 'miller2_ContiNa', 'miller2_ClChaMit', 'miller2_PBATy', 'miller2_Desertif', 'miller2_UrIss', 'miller2_EnviSust', 'miller2_GeEq', 'miller2_ChIs', 'miller2_Sta', 'miller2_SePe', 'miller2_CliChAdap', 'miller2_ICTAATFoDeve', 'miller2_IRTCPe', 'miller2_Bio', 'miller2_CIDABusiDeliMo', 'miller2_FSTCPerc', 'miller2_BilaAMa', 'miller2_CouRePe', 'miller2_FisY']",0.0,0.0,0.0,N4
45,OpenData,miller2_vertical_50_ac3_av,Semantically-Joinable,0,"[0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1]","[0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Fiscal year', 'Sector name', 'Continent ID', 'IRTC percent', 'Sector percent', 'Bilateral aid (international marker)', 'CountryRegion ID', 'Organisation class', 'Division ID', 'Project Browser country ID', 'Programming process (new)', 'Children issues (marker)', 'Knowledge for development (marker)', 'Participatory development and good governance', 'Fund centre name', 'Fund centre ID', 'Branch ID', 'Project number', 'Disability issues (marker)', 'Biodiversity (marker)', 'CFLI (marker)', 'Division name', 'Sector ID', 'Desertification (marker)', 'Organisation name', 'Status', 'Maximum CIDA contribution (project-level)', 'Branch name', 'Section ID', 'Section name', 'Regional program (marker)', 'Untied amount(Project-level budget)', 'FSTC percent', 'CIDA business delivery model (old)', 'PBA type', 'Enviromental sustainability (marker)', 'Climate change adaptation (marker)', 'Climate change mitigation (marker)']","['mntspnt', 'prjctnmbr', 'rgnstnd', 'rgnstnnm', 'fndcntrd', 'fndcntrnm', 'cntrrgnnm', 'cntrrgnd', 'sctrnm', 'sctrd', 'prjctbrwsrcntrd', 'rgnstnsb-clss', 'dvsnnm', 'dvsnd', 'brnchd', 'rgnstnclss', 'knwldgfrdvlpmnt(mrkr)', 'trddvlpmnt(mrkr)', 'rgnstntp', 'gndrqlt(mrkr)', 'cntnntnm', 'prtcptrdvlpmntndgdgvrnnc', 'ndgnssss(mrkr)', 'rbnsss(mrkr)', 'bdvrst(mrkr)', 'dsbltsss(mrkr)', 'cntnntd', 'thsss(mrkr)', 'ctstlfrdvlpmnt(mrkr)', 'chldrnsss(mrkr)', 'dsrtfctn(mrkr)', 'sctrprcnt', 'bltrld(ntrntnlmrkr)', 'cntrrgnprcnt', 'rtcprcnt', 'cfl(mrkr)', 'prgrmmngprcss(nw)', 'fsclr']",0.27,0.16,0.8,N3
71,OpenData,miller2_both_50_70_ac5_av,Semantically-Joinable,0,"[1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Fiscal year', 'FSTC percent', 'Branch name', 'Enviromental sustainability (marker)', 'Section ID', 'Bilateral aid (international marker)', 'Regional program (marker)', 'Organisation type', 'Sector name', 'Amount spent', 'Continent ID', 'Branch ID', 'Gender equality (marker)', 'Organisation class', 'Status', 'Section name', 'Organisation name', 'Trade development (marker)', 'Sector percent', 'Indigenous issues (marker)', 'Untied amount(Project-level budget)', 'Fund centre ID', 'Children issues (marker)', 'Participatory development and good governance', 'Urban issues (marker)', 'ICT as a tool for development (marker)', 'Organisation sub-class', 'Fund centre name', 'Programming process (new)', 'Knowledge for development (marker)', 'Youth issues (marker)', 'CountryRegion percent', 'CIDA business delivery model (old)', 'Organisation ID', 'Climate change mitigation (marker)', 'Project number', 'Maximum CIDA contribution (project-level)', 'Division ID', 'Division name', 'IRTC percent', 'CFLI (marker)', 'PBA type', 'Climate change adaptation (marker)']","['miller2_mntspnt', 'miller2_ntdmnt(prjct-lvlbdgt)', 'miller2_rgnstnd', 'miller2_rgnstnnm', 'miller2_cntrrgnnm', 'miller2_prjctbrwsrcntrd', 'miller2_sctrnm', 'miller2_cntrrgnd', 'miller2_sctrd', 'miller2_fndcntrnm', 'miller2_fndcntrd', 'miller2_sctnd', 'miller2_sctnnm', 'miller2_rgnstnsb-clss', 'miller2_brnchnm', 'miller2_cntnntd', 'miller2_rgnstnclss', 'miller2_brnchd', 'miller2_ctstlfrdvlpmnt(mrkr)', 'miller2_rgnstntp', 'miller2_dsrtfctn(mrkr)', 'miller2_cntnntnm', 'miller2_trddvlpmnt(mrkr)', 'miller2_dsbltsss(mrkr)', 'miller2_ndgnssss(mrkr)', 'miller2_gndrqlt(mrkr)', 'miller2_cdbsnssdlvrmdl(ld)', 'miller2_thsss(mrkr)', 'miller2_bdvrst(mrkr)', 'miller2_prtcptrdvlpmntndgdgvrnnc', 'miller2_rbnsss(mrkr)', 'miller2_clmtchngmtgtn(mrkr)', 'miller2_stts', 'miller2_chldrnsss(mrkr)', 'miller2_knwldgfrdvlpmnt(mrkr)', 'miller2_nvrmntlsstnblt(mrkr)', 'miller2_sctrprcnt', 'miller2_cntrrgnprcnt', 'miller2_bltrld(ntrntnlmrkr)', 'miller2_fstcprcnt', 'miller2_rgnlprgrm(mrkr)', 'miller2_fsclr', 'miller2_prgrmmngprcss(nw)']",0.0,0.0,0.0,N5
100,OpenData,miller2_both_50_1_ac3_av,Semantically-Joinable,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","['Fiscal year', 'Project number', 'Status', 'Maximum CIDA contribution (project-level)', 'Branch ID', 'Branch name', 'Division ID', 'Division name', 'Section ID', 'Section name', 'Regional program (marker)', 'Fund centre ID', 'Fund centre name', 'Untied amount(Project-level budget)', 'FSTC percent', 'IRTC percent', 'CFLI (marker)', 'CIDA business delivery model (old)', 'Programming process (new)', 'Bilateral aid (international marker)', 'PBA type', 'Enviromental sustainability (marker)', 'Climate change adaptation (marker)', 'Climate change mitigation (marker)', 'Desertification (marker)', 'Participatory development and good governance']","['mntspnt', 'rgnstnd', 'rgnstnnm', 'cntrrgnnm', 'cntrrgnd', 'prjctbrwsrcntrd', 'sctrd', 'sctrnm', 'rgnstnsb-clss', 'rgnstnclss', 'cntnntd', 'cntnntnm', 'rgnstntp', 'bdvrst(mrkr)', 'trddvlpmnt(mrkr)', 'dsbltsss(mrkr)', 'thsss(mrkr)', 'gndrqlt(mrkr)', 'ctstlfrdvlpmnt(mrkr)', 'rbnsss(mrkr)', 'knwldgfrdvlpmnt(mrkr)', 'ndgnssss(mrkr)', 'chldrnsss(mrkr)', 'sctrprcnt', 'cntrrgnprcnt', 'fsclr']",0.5,1.0,0.33,N3
127,OpenData,miller2_both_50_1_ac2_av,Semantically-Joinable,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1]","['Fiscal year', 'Project number', 'Status', 'Maximum CIDA contribution (project-level)', 'Branch ID', 'Branch name', 'Division ID', 'Division name', 'Section ID', 'Section name', 'Regional program (marker)', 'Fund centre ID', 'Fund centre name', 'Untied amount(Project-level budget)', 'FSTC percent', 'IRTC percent', 'CFLI (marker)', 'CIDA business delivery model (old)', 'Programming process (new)', 'Bilateral aid (international marker)', 'PBA type', 'Enviromental sustainability (marker)', 'Climate change adaptation (marker)', 'Climate change mitigation (marker)', 'Desertification (marker)', 'Participatory development and good governance']","['AmoSpe', 'OrganiID', 'OrgaN', 'CounRegN', 'PrBrCounID', 'CounReID', 'SeN', 'SecID', 'OrgS', 'OrgCla', 'ContID', 'ContNa', 'YouIs', 'OrgT', 'UrIss', 'TrDevelo', 'ChilIs', 'DisaIs', 'KnoFDevel', 'ICTAATFDeve', 'IndigIss', 'Biodiv', 'GenEq', 'SecPer', 'CoRePer', 'FisY']",0.17,1.0,0.09,N2
138,OpenData,miller2_vertical_50_ac2_av,Semantically-Joinable,0,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0]","[0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0]","['Fiscal year', 'Climate change adaptation (marker)', 'Desertification (marker)', 'Organisation ID', 'Bilateral aid (international marker)', 'Branch name', 'CountryRegion ID', 'Project Browser country ID', 'Project number', 'Section name', 'Maximum CIDA contribution (project-level)', 'Programming process (new)', 'PBA type', 'CIDA business delivery model (old)', 'Amount spent', 'ICT as a tool for development (marker)', 'Trade development (marker)', 'Organisation name', 'Climate change mitigation (marker)', 'Participatory development and good governance', 'Organisation sub-class', 'CountryRegion name', 'Continent name', 'Biodiversity (marker)', 'Section ID', 'Status', 'Branch ID', 'Division ID', 'Division name', 'Regional program (marker)', 'Fund centre ID', 'Fund centre name', 'Untied amount(Project-level budget)', 'FSTC percent', 'IRTC percent', 'CFLI (marker)', 'Enviromental sustainability (marker)', 'Urban issues (marker)']","['AmoSpe', 'PrNu', 'MaCIDACon', 'OrganiID', 'OrgaN', 'CoReN', 'CoRegID', 'PrBroCoID', 'SecNa', 'SecID', 'SeN', 'OrgaSu', 'BraNa', 'ContID', 'Bio', 'OrganCla', 'OrganTy', 'KnoFoDeve', 'ContN', 'Desertif', 'GenEq', 'TrDevelo', 'DisaIs', 'PBAT', 'ChIss', 'YouIss', 'ClimChMitig', 'CIDABusiDeliMo', 'PartDevAGGover', 'ClChAdapt', 'ICTAATFoDeve', 'IndIs', 'SePer', 'FisYe', 'ProgProc', 'BilAMa', 'CouRegPerc']",0.73,0.72,0.75,N2
150,OpenData,miller2_both_50_70_ac2_av,Semantically-Joinable,0,"[0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]","['Fiscal year', 'ICT as a tool for development (marker)', 'Organisation name', 'IRTC percent', 'Status', 'Indigenous issues (marker)', 'CFLI (marker)', 'Youth issues (marker)', 'CountryRegion ID', 'Children issues (marker)', 'CountryRegion percent', 'Untied amount(Project-level budget)', 'Sector percent', 'Climate change mitigation (marker)', 'Regional program (marker)', 'Branch name', 'PBA type', 'Organisation class', 'Trade development (marker)', 'FSTC percent', 'Continent ID', 'Participatory development and good governance', 'Section ID', 'CountryRegion name', 'Enviromental sustainability (marker)', 'Section name', 'Knowledge for development (marker)', 'Urban issues (marker)', 'Division ID', 'Fund centre name', 'Organisation type', 'Continent name', 'Branch ID', 'Climate change adaptation (marker)', 'Biodiversity (marker)', 'Project number', 'Maximum CIDA contribution (project-level)', 'Division name', 'Fund centre ID', 'CIDA business delivery model (old)', 'Programming process (new)', 'Bilateral aid (international marker)', 'Desertification (marker)']","['AmoSp', 'UnAmPrBud', 'OrgNa', 'OrganID', 'CouRegID', 'CoRegN', 'ProjBrCouID', 'SecNa', 'FCenNa', 'SeNa', 'SeID', 'OrganSu', 'DiviID', 'BraNa', 'BraID', 'OrganiCl', 'OrganiT', 'ChilIss', 'ContNa', 'ICTAAToFoDevel', 'PBAT', 'YoIs', 'KnoFDev', 'ClimChMit', 'ContID', 'UrbIs', 'Bio', 'GenEq', 'PartDevAGoGove', 'IndiIs', 'TrDevel', 'DisaIs', 'EnviSusta', 'Sta', 'ClimChAdapt', 'CoRePe', 'SePe', 'FSTCPe', 'RegPro', 'CFLI', 'IRTCPerc', 'FisYe']",0.72,0.6,0.91,N2
211,OpenData,miller2_both_50_30_ac1_av,Semantically-Joinable,0,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0]","['Fiscal year', 'CountryRegion ID', 'FSTC percent', 'CountryRegion percent', 'Organisation sub-class', 'Project Browser country ID', 'Division name', 'Maximum CIDA contribution (project-level)', 'Sector name', 'Project number', 'Biodiversity (marker)', 'Organisation class', 'Bilateral aid (international marker)', 'Continent ID', 'Fund centre name', 'Status', 'Branch ID', 'Branch name', 'Division ID', 'Section ID', 'Section name', 'Regional program (marker)', 'Fund centre ID', 'Untied amount(Project-level budget)', 'IRTC percent', 'CFLI (marker)', 'CIDA business delivery model (old)', 'Programming process (new)', 'PBA type', 'Enviromental sustainability (marker)', 'Climate change adaptation (marker)', 'Climate change mitigation (marker)', 'Desertification (marker)']","['miller2_AmountSpent', 'miller2_ProjectNumber', 'miller2_MaximumCIDAContribution(project-level)', 'miller2_OrganisationID', 'miller2_OrganisationName', 'miller2_CountryRegionID', 'miller2_CountryRegionName', 'miller2_ProjectBrowserCountryID', 'miller2_SectorID', 'miller2_SectorName', 'miller2_FundCentreName', 'miller2_OrganisationSub-class', 'miller2_DivisionName', 'miller2_OrganisationClass', 'miller2_OrganisationType', 'miller2_UrbanIssues(marker)', 'miller2_GenderEquality(marker)', 'miller2_ContinentID', 'miller2_DisabilityIssues(marker)', 'miller2_ChildrenIssues(marker)', 'miller2_TradeDevelopment(marker)', 'miller2_ContinentName', 'miller2_ICTAsAToolForDevelopment(marker)', 'miller2_Biodiversity(marker)', 'miller2_ParticipatoryDevelopmentAndGoodGovernance', 'miller2_YouthIssues(marker)', 'miller2_KnowledgeForDevelopment(marker)', 'miller2_IndigenousIssues(marker)', 'miller2_SectorPercent', 'miller2_CountryRegionPercent', 'miller2_BilateralAid(internationalMarker)', 'miller2_FSTCPercent', 'miller2_FiscalYear']",0.34,0.33,0.36,N1
212,OpenData,miller2_both_50_50_ac3_av,Semantically-Joinable,0,"[0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Fiscal year', 'Trade development (marker)', 'Section name', 'Continent ID', 'CountryRegion ID', 'Fund centre name', 'Sector name', 'Branch ID', 'CFLI (marker)', 'CIDA business delivery model (old)', 'Programming process (new)', 'Disability issues (marker)', 'Sector ID', 'Climate change mitigation (marker)', 'Division ID', 'Maximum CIDA contribution (project-level)', 'Youth issues (marker)', 'CountryRegion percent', 'Indigenous issues (marker)', 'Fund centre ID', 'Organisation sub-class', 'Desertification (marker)', 'Organisation class', 'PBA type', 'Section ID', 'Project number', 'Status', 'Branch name', 'Division name', 'Regional program (marker)', 'Untied amount(Project-level budget)', 'FSTC percent', 'IRTC percent', 'Bilateral aid (international marker)', 'Enviromental sustainability (marker)', 'Climate change adaptation (marker)', 'Participatory development and good governance', 'Biodiversity (marker)']","['mntspnt', 'mxmmcdcntrbtn(prjct-lvl)', 'rgnstnd', 'rgnstnnm', 'cntrrgnnm', 'prjctbrwsrcntrd', 'cntrrgnd', 'sctrd', 'sctrnm', 'fndcntrd', 'fndcntrnm', 'sctnnm', 'sctnd', 'rgnstnsb-clss', 'dvsnd', 'brnchd', 'rgnstnclss', 'cntnntd', 'ndgnssss(mrkr)', 'cntnntnm', 'rgnstntp', 'pbtp', 'trddvlpmnt(mrkr)', 'ctstlfrdvlpmnt(mrkr)', 'thsss(mrkr)', 'knwldgfrdvlpmnt(mrkr)', 'dsrtfctn(mrkr)', 'rbnsss(mrkr)', 'dsbltsss(mrkr)', 'chldrnsss(mrkr)', 'clmtchngmtgtn(mrkr)', 'gndrqlt(mrkr)', 'cdbsnssdlvrmdl(ld)', 'cfl(mrkr)', 'cntrrgnprcnt', 'fsclr', 'sctrprcnt', 'prgrmmngprcss(nw)']",0.38,0.24,0.86,N3
