,Category of dataset,dataset,relation,Configuration_Num,y_true,y_pred,Sc1,Sc2,F1_score,recall,precision,noise level
22,OpenData,miller2_both_0_50_ac2_ev,View-Unionable,0,"[0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1]","[0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1]","['Fiscal year', 'Sector name', 'Indigenous issues (marker)', 'Children issues (marker)', 'CountryRegion percent', 'Fund centre name', 'Programming process (new)', 'Trade development (marker)', 'Biodiversity (marker)', 'Section name', 'Status', 'Organisation ID', 'Fund centre ID', 'Untied amount(Project-level budget)', 'Branch ID', 'CountryRegion ID', 'Youth issues (marker)', 'Gender equality (marker)', 'Organisation sub-class', 'CountryRegion name', 'FSTC percent', 'Organisation name', 'Organisation type', 'Branch name', 'Climate change mitigation (marker)', 'Project number', 'Maximum CIDA contribution (project-level)', 'Division ID', 'Division name', 'Section ID', 'Regional program (marker)', 'IRTC percent', 'CFLI (marker)', 'CIDA business delivery model (old)', 'Bilateral aid (international marker)', 'PBA type', 'Enviromental sustainability (marker)', 'Climate change adaptation (marker)']","['AmoSp', 'UntAmoPrBud', 'OrganiID', 'OrganiNa', 'ProBrCounID', 'CouRegID', 'CouRegN', 'SecID', 'SeN', 'FCeID', 'FuCenN', 'OrgS', 'SecN', 'OrganCl', 'ContN', 'ClimChaMiti', 'BrNa', 'ChiIs', 'GenEqu', 'BraID', 'UrbIss', 'IndiIs', 'ContiID', 'TrDev', 'DisIss', 'OrganTy', 'Deserti', 'KnowlFoDev', 'PartiDeveAGoGove', 'Sta', 'YouIss', 'Biodi', 'ICTAAToFoDevelo', 'FSTCPe', 'SePerc', 'CounRegPe', 'FiYe', 'ProgProc']",0.57,0.56,0.58,N2
56,OpenData,miller2_both_0_70_ac2_ev,View-Unionable,0,"[1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0]","['Fiscal year', 'IRTC percent', 'Section name', 'Branch ID', 'Sector percent', 'Gender equality (marker)', 'Participatory development and good governance', 'Organisation sub-class', 'Regional program (marker)', 'Youth issues (marker)', 'Sector ID', 'Section ID', 'Climate change adaptation (marker)', 'Biodiversity (marker)', 'CountryRegion name', 'FSTC percent', 'Organisation type', 'Knowledge for development (marker)', 'Status', 'Climate change mitigation (marker)', 'Organisation class', 'CIDA business delivery model (old)', 'Indigenous issues (marker)', 'Disability issues (marker)', 'Amount spent', 'ICT as a tool for development (marker)', 'Division name', 'Continent ID', 'Programming process (new)', 'CFLI (marker)', 'CountryRegion percent', 'Project number', 'Desertification (marker)', 'Children issues (marker)', 'Fund centre ID', 'Maximum CIDA contribution (project-level)', 'Branch name', 'Division ID', 'Fund centre name', 'Untied amount(Project-level budget)', 'Bilateral aid (international marker)', 'PBA type', 'Enviromental sustainability (marker)']","['AmSp', 'ProjNu', 'OrganiNa', 'OrganID', 'ProjBrowCouID', 'CoRegNa', 'CoRegID', 'SecID', 'SecNa', 'FCeID', 'OrganS', 'SectN', 'SectID', 'DiNa', 'OrgaCl', 'ContiN', 'Biodiv', 'BraID', 'ContiID', 'GenEq', 'IndIs', 'ClimChMit', 'PartDeveloAGGover', 'UrbIs', 'ChilIs', 'DisaIss', 'OrganiTy', 'TraDevel', 'YouIs', 'Desertif', 'ClimChaAdap', 'CIDABuDeliMod', 'KnowlFoDevel', 'St', 'CFLI', 'ICTAATFDevel', 'RegPro', 'SecPe', 'CoRegPerc', 'ProgrPro', 'FSTCPer', 'IRTCPe', 'FisYe']",0.75,0.69,0.83,N2
120,OpenData,miller2_both_0_1_ac1_av,View-Unionable,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0]","['Fiscal year', 'Project number', 'Status', 'Maximum CIDA contribution (project-level)', 'Branch ID', 'Branch name', 'Division ID', 'Division name', 'Section ID', 'Section name', 'Regional program (marker)', 'Fund centre ID', 'Fund centre name', 'Untied amount(Project-level budget)', 'FSTC percent', 'IRTC percent', 'CFLI (marker)', 'CIDA business delivery model (old)', 'Programming process (new)', 'Bilateral aid (international marker)', 'PBA type', 'Enviromental sustainability (marker)', 'Climate change adaptation (marker)', 'Climate change mitigation (marker)', 'Desertification (marker)', 'Participatory development and good governance']","['miller2_AmountSpent', 'miller2_OrganisationName', 'miller2_OrganisationID', 'miller2_ProjectBrowserCountryID', 'miller2_CountryRegionID', 'miller2_CountryRegionName', 'miller2_SectorName', 'miller2_SectorID', 'miller2_OrganisationSub-class', 'miller2_OrganisationClass', 'miller2_ContinentName', 'miller2_ContinentID', 'miller2_IndigenousIssues(marker)', 'miller2_YouthIssues(marker)', 'miller2_GenderEquality(marker)', 'miller2_Biodiversity(marker)', 'miller2_DisabilityIssues(marker)', 'miller2_OrganisationType', 'miller2_UrbanIssues(marker)', 'miller2_TradeDevelopment(marker)', 'miller2_KnowledgeForDevelopment(marker)', 'miller2_ICTAsAToolForDevelopment(marker)', 'miller2_ChildrenIssues(marker)', 'miller2_CountryRegionPercent', 'miller2_SectorPercent', 'miller2_FiscalYear']",0.0,0.0,0.0,N1
131,OpenData,miller2_both_0_70_ac3_ev,View-Unionable,0,"[1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Fiscal year', 'CountryRegion name', 'ICT as a tool for development (marker)', 'Organisation type', 'Maximum CIDA contribution (project-level)', 'Knowledge for development (marker)', 'Organisation sub-class', 'Branch name', 'Division ID', 'Indigenous issues (marker)', 'FSTC percent', 'Participatory development and good governance', 'Urban issues (marker)', 'Regional program (marker)', 'IRTC percent', 'Section name', 'Climate change adaptation (marker)', 'Fund centre name', 'Status', 'Fund centre ID', 'Disability issues (marker)', 'Organisation name', 'CFLI (marker)', 'Section ID', 'Sector ID', 'Programming process (new)', 'Youth issues (marker)', 'Amount spent', 'Organisation class', 'Climate change mitigation (marker)', 'Untied amount(Project-level budget)', 'Biodiversity (marker)', 'Project Browser country ID', 'Division name', 'Trade development (marker)', 'Project number', 'Branch ID', 'CIDA business delivery model (old)', 'Bilateral aid (international marker)', 'PBA type', 'Enviromental sustainability (marker)', 'Desertification (marker)', 'Children issues (marker)']","['mntspnt', 'mxmmcdcntrbtn(prjct-lvl)', 'ntdmnt(prjct-lvlbdgt)', 'rgnstnd', 'rgnstnnm', 'cntrrgnnm', 'prjctbrwsrcntrd', 'cntrrgnd', 'sctrnm', 'sctrd', 'fndcntrd', 'fndcntrnm', 'sctnd', 'sctnnm', 'rgnstnsb-clss', 'dvsnnm', 'dvsnd', 'thsss(mrkr)', 'rgnstnclss', 'dsbltsss(mrkr)', 'prtcptrdvlpmntndgdgvrnnc', 'cntnntnm', 'brnchnm', 'ndgnssss(mrkr)', 'gndrqlt(mrkr)', 'knwldgfrdvlpmnt(mrkr)', 'trddvlpmnt(mrkr)', 'clmtchngmtgtn(mrkr)', 'rbnsss(mrkr)', 'clmtchngdpttn(mrkr)', 'bdvrst(mrkr)', 'cntnntd', 'rgnstntp', 'stts', 'ctstlfrdvlpmnt(mrkr)', 'fstcprcnt', 'sctrprcnt', 'rgnlprgrm(mrkr)', 'rtcprcnt', 'cfl(mrkr)', 'cntrrgnprcnt', 'fsclr', 'prgrmmngprcss(nw)']",0.29,0.17,0.86,N3
153,OpenData,miller2_both_0_1_ac2_av,View-Unionable,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","['Fiscal year', 'Project number', 'Status', 'Maximum CIDA contribution (project-level)', 'Branch ID', 'Branch name', 'Division ID', 'Division name', 'Section ID', 'Section name', 'Regional program (marker)', 'Fund centre ID', 'Fund centre name', 'Untied amount(Project-level budget)', 'FSTC percent', 'IRTC percent', 'CFLI (marker)', 'CIDA business delivery model (old)', 'Programming process (new)', 'Bilateral aid (international marker)', 'PBA type', 'Enviromental sustainability (marker)', 'Climate change adaptation (marker)', 'Climate change mitigation (marker)', 'Desertification (marker)', 'Participatory development and good governance']","['AmSp', 'OrgaID', 'OrgNa', 'PrBroCounID', 'CouRegN', 'CouReID', 'SecID', 'SeN', 'OrganS', 'OrganCl', 'ContID', 'ContiNa', 'UrbIss', 'DisaIss', 'IndigIs', 'Biodi', 'ChiIs', 'TraDevelo', 'ICTAAToFoDevelo', 'YoIs', 'GeEqua', 'OrgT', 'KnoFoDeve', 'CoRegPerc', 'SePe', 'FiY']",0.0,0.0,0.0,N2
157,OpenData,miller2_both_0_50_ac3_ev,View-Unionable,0,"[0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","['Fiscal year', 'Desertification (marker)', 'Project number', 'Untied amount(Project-level budget)', 'Indigenous issues (marker)', 'Sector ID', 'ICT as a tool for development (marker)', 'Fund centre ID', 'Children issues (marker)', 'Programming process (new)', 'Knowledge for development (marker)', 'Division name', 'Maximum CIDA contribution (project-level)', 'CountryRegion percent', 'Status', 'Branch ID', 'Trade development (marker)', 'Continent name', 'Organisation class', 'CountryRegion ID', 'PBA type', 'Regional program (marker)', 'Biodiversity (marker)', 'Continent ID', 'CountryRegion name', 'Branch name', 'Division ID', 'Section ID', 'Section name', 'Fund centre name', 'FSTC percent', 'IRTC percent', 'CFLI (marker)', 'CIDA business delivery model (old)', 'Bilateral aid (international marker)', 'Enviromental sustainability (marker)', 'Climate change adaptation (marker)', 'Climate change mitigation (marker)']","['mntspnt', 'prjctnmbr', 'mxmmcdcntrbtn(prjct-lvl)', 'ntdmnt(prjct-lvlbdgt)', 'rgnstnnm', 'rgnstnd', 'prjctbrwsrcntrd', 'cntrrgnnm', 'cntrrgnd', 'sctrnm', 'sctrd', 'fndcntrd', 'rgnstnsb-clss', 'dvsnnm', 'rgnstnclss', 'cntnntnm', 'trddvlpmnt(mrkr)', 'cntnntd', 'ndgnssss(mrkr)', 'prtcptrdvlpmntndgdgvrnnc', 'brnchd', 'knwldgfrdvlpmnt(mrkr)', 'dsbltsss(mrkr)', 'dsrtfctn(mrkr)', 'chldrnsss(mrkr)', 'rbnsss(mrkr)', 'rgnstntp', 'gndrqlt(mrkr)', 'ctstlfrdvlpmnt(mrkr)', 'bdvrst(mrkr)', 'thsss(mrkr)', 'cntrrgnprcnt', 'stts', 'rgnlprgrm(mrkr)', 'sctrprcnt', 'fsclr', 'prgrmmngprcss(nw)', 'pbtp']",0.21,0.12,0.75,N3
160,OpenData,miller2_both_0_30_ac5_ev,View-Unionable,0,"[0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Fiscal year', 'Maximum CIDA contribution (project-level)', 'Disability issues (marker)', 'CountryRegion ID', 'Youth issues (marker)', 'Gender equality (marker)', 'Trade development (marker)', 'Bilateral aid (international marker)', 'FSTC percent', 'Status', 'Enviromental sustainability (marker)', 'Organisation type', 'Sector ID', 'Knowledge for development (marker)', 'Biodiversity (marker)', 'Project number', 'Branch ID', 'Branch name', 'Division ID', 'Division name', 'Section ID', 'Section name', 'Regional program (marker)', 'Fund centre ID', 'Fund centre name', 'Untied amount(Project-level budget)', 'IRTC percent', 'CFLI (marker)', 'CIDA business delivery model (old)', 'Programming process (new)', 'PBA type', 'Climate change adaptation (marker)', 'Climate change mitigation (marker)']","['miller2_mntspnt', 'miller2_mxmmcdcntrbtn(prjct-lvl)', 'miller2_rgnstnnm', 'miller2_rgnstnd', 'miller2_prjctbrwsrcntrd', 'miller2_cntrrgnnm', 'miller2_cntrrgnd', 'miller2_sctrd', 'miller2_sctrnm', 'miller2_rgnstnsb-clss', 'miller2_rgnstnclss', 'miller2_rgnstntp', 'miller2_cntnntnm', 'miller2_cntnntd', 'miller2_knwldgfrdvlpmnt(mrkr)', 'miller2_chldrnsss(mrkr)', 'miller2_dsrtfctn(mrkr)', 'miller2_rbnsss(mrkr)', 'miller2_gndrqlt(mrkr)', 'miller2_ndgnssss(mrkr)', 'miller2_bdvrst(mrkr)', 'miller2_trddvlpmnt(mrkr)', 'miller2_dsbltsss(mrkr)', 'miller2_ctstlfrdvlpmnt(mrkr)', 'miller2_stts', 'miller2_thsss(mrkr)', 'miller2_fstcprcnt', 'miller2_prtcptrdvlpmntndgdgvrnnc', 'miller2_nvrmntlsstnblt(mrkr)', 'miller2_cntrrgnprcnt', 'miller2_bltrld(ntrntnlmrkr)', 'miller2_sctrprcnt', 'miller2_fsclr']",0.0,0.0,0.0,N5
173,OpenData,miller2_both_0_30_ec_ev,View-Unionable,0,[1],[1],"['Fiscal year', 'Biodiversity (marker)', 'Bilateral aid (international marker)', 'Regional program (marker)', 'PBA type', 'Section name', 'FSTC percent', 'Climate change mitigation (marker)', 'Organisation type', 'Branch name', 'Organisation sub-class', 'CountryRegion ID', 'Status', 'Amount spent', 'Continent ID', 'Project number', 'Maximum CIDA contribution (project-level)', 'Branch ID', 'Division ID', 'Division name', 'Section ID', 'Fund centre ID', 'Fund centre name', 'Untied amount(Project-level budget)', 'IRTC percent', 'CFLI (marker)', 'CIDA business delivery model (old)', 'Programming process (new)', 'Enviromental sustainability (marker)', 'Climate change adaptation (marker)', 'Desertification (marker)', 'Participatory development and good governance', 'Trade development (marker)']",['Status'],1.0,1.0,1.0,N0
200,OpenData,miller2_both_0_50_ec_ev,View-Unionable,0,[1],[1],"['Fiscal year', 'Continent ID', 'Division ID', 'Disability issues (marker)', 'Youth issues (marker)', 'Branch ID', 'Gender equality (marker)', 'Project Browser country ID', 'Organisation class', 'Continent name', 'CountryRegion percent', 'Division name', 'Status', 'Participatory development and good governance', 'CFLI (marker)', 'Organisation type', 'CountryRegion name', 'Amount spent', 'Bilateral aid (international marker)', 'Project number', 'ICT as a tool for development (marker)', 'Biodiversity (marker)', 'Indigenous issues (marker)', 'Section ID', 'Regional program (marker)', 'Maximum CIDA contribution (project-level)', 'Branch name', 'Section name', 'Fund centre ID', 'Fund centre name', 'Untied amount(Project-level budget)', 'FSTC percent', 'IRTC percent', 'CIDA business delivery model (old)', 'Programming process (new)', 'PBA type', 'Enviromental sustainability (marker)', 'Climate change adaptation (marker)']",['Status'],1.0,1.0,1.0,N0
210,OpenData,miller2_both_0_50_ac1_ev,View-Unionable,0,"[1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0]","['Fiscal year', 'IRTC percent', 'Untied amount(Project-level budget)', 'Disability issues (marker)', 'Gender equality (marker)', 'Fund centre name', 'Organisation type', 'Project Browser country ID', 'CountryRegion name', 'Urban issues (marker)', 'Fund centre ID', 'FSTC percent', 'Enviromental sustainability (marker)', 'Section ID', 'Division name', 'Amount spent', 'Sector ID', 'Climate change mitigation (marker)', 'Organisation class', 'Bilateral aid (international marker)', 'Continent ID', 'Organisation ID', 'CountryRegion percent', 'Youth issues (marker)', 'Sector name', 'Project number', 'Status', 'Maximum CIDA contribution (project-level)', 'Branch ID', 'Branch name', 'Division ID', 'Section name', 'Regional program (marker)', 'CFLI (marker)', 'CIDA business delivery model (old)', 'Programming process (new)', 'PBA type', 'Climate change adaptation (marker)']","['miller2_AmountSpent', 'miller2_UntiedAmount(Project-levelBudget)', 'miller2_OrganisationName', 'miller2_OrganisationID', 'miller2_ProjectBrowserCountryID', 'miller2_CountryRegionName', 'miller2_CountryRegionID', 'miller2_SectorID', 'miller2_SectorName', 'miller2_FundCentreID', 'miller2_FundCentreName', 'miller2_SectionID', 'miller2_OrganisationSub-class', 'miller2_DivisionName', 'miller2_OrganisationClass', 'miller2_ContinentID', 'miller2_ContinentName', 'miller2_ChildrenIssues(marker)', 'miller2_OrganisationType', 'miller2_TradeDevelopment(marker)', 'miller2_ClimateChangeMitigation(marker)', 'miller2_ParticipatoryDevelopmentAndGoodGovernance', 'miller2_GenderEquality(marker)', 'miller2_UrbanIssues(marker)', 'miller2_Biodiversity(marker)', 'miller2_KnowledgeForDevelopment(marker)', 'miller2_YouthIssues(marker)', 'miller2_Desertification(marker)', 'miller2_DisabilityIssues(marker)', 'miller2_EnviromentalSustainability(marker)', 'miller2_ICTAsAToolForDevelopment(marker)', 'miller2_IndigenousIssues(marker)', 'miller2_CountryRegionPercent', 'miller2_FSTCPercent', 'miller2_SectorPercent', 'miller2_BilateralAid(internationalMarker)', 'miller2_FiscalYear', 'miller2_IRTCPercent']",0.45,0.4,0.53,N1
