,Category of dataset,dataset,relation,Configuration_Num,y_true,y_pred,Sc1,Sc2,F1_score,recall,precision,noise level
291,Wikidata,musicians_semjoinable,Musicians,0,"[1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1]","[1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1]","['musician', 'musicianLabel', 'genderLabel', 'cityLabel', 'fatherLabel', 'motherLabel', 'partner', 'genreLabel', 'ethnicityLabel', 'religionLabel', 'activityStart', 'twitterNameLabel', 'geniusNameLabel', 'recordLabelLabel']","['musicianID', 'birthDate', 'webpage', 'familyName', 'musicianName', 'city', 'forename', 'spouse', 'fatherName', 'motherName', 'residence', 'kind', 'NChildren', 'genderType']",0.93,0.88,1.0,
782,Wikidata,musicians_semjoinable,Musicians,1,"[1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1]","[1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1]","['musician', 'musicianLabel', 'genderLabel', 'cityLabel', 'fatherLabel', 'motherLabel', 'partner', 'genreLabel', 'ethnicityLabel', 'religionLabel', 'activityStart', 'twitterNameLabel', 'geniusNameLabel', 'recordLabelLabel']","['musicianID', 'birthDate', 'webpage', 'familyName', 'musicianName', 'city', 'forename', 'spouse', 'fatherName', 'motherName', 'residence', 'kind', 'NChildren', 'genderType']",1.0,1.0,1.0,
1298,Wikidata,musicians_semjoinable,Musicians,2,"[1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1]","[1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1]","['musician', 'musicianLabel', 'genderLabel', 'cityLabel', 'fatherLabel', 'motherLabel', 'partner', 'genreLabel', 'ethnicityLabel', 'religionLabel', 'activityStart', 'twitterNameLabel', 'geniusNameLabel', 'recordLabelLabel']","['musicianID', 'birthDate', 'webpage', 'familyName', 'musicianName', 'city', 'forename', 'spouse', 'fatherName', 'motherName', 'residence', 'kind', 'NChildren', 'genderType']",0.93,0.88,1.0,
1386,Wikidata,musicians_semjoinable,Musicians,3,"[1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1]","[1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1]","['musician', 'musicianLabel', 'genderLabel', 'cityLabel', 'fatherLabel', 'motherLabel', 'partner', 'genreLabel', 'ethnicityLabel', 'religionLabel', 'activityStart', 'twitterNameLabel', 'geniusNameLabel', 'recordLabelLabel']","['musicianID', 'birthDate', 'webpage', 'familyName', 'musicianName', 'city', 'forename', 'spouse', 'fatherName', 'motherName', 'residence', 'kind', 'NChildren', 'genderType']",1.0,1.0,1.0,
2009,Wikidata,musicians_semjoinable,Musicians,4,"[1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1]","[1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1]","['musician', 'musicianLabel', 'genderLabel', 'cityLabel', 'fatherLabel', 'motherLabel', 'partner', 'genreLabel', 'ethnicityLabel', 'religionLabel', 'activityStart', 'twitterNameLabel', 'geniusNameLabel', 'recordLabelLabel']","['musicianID', 'birthDate', 'webpage', 'familyName', 'musicianName', 'city', 'forename', 'spouse', 'fatherName', 'motherName', 'residence', 'kind', 'NChildren', 'genderType']",0.93,0.88,1.0,
2452,Wikidata,musicians_semjoinable,Musicians,5,"[1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1]","[1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1]","['musician', 'musicianLabel', 'genderLabel', 'cityLabel', 'fatherLabel', 'motherLabel', 'partner', 'genreLabel', 'ethnicityLabel', 'religionLabel', 'activityStart', 'twitterNameLabel', 'geniusNameLabel', 'recordLabelLabel']","['musicianID', 'birthDate', 'webpage', 'familyName', 'musicianName', 'city', 'forename', 'spouse', 'fatherName', 'motherName', 'residence', 'kind', 'NChildren', 'genderType']",0.93,0.88,1.0,
3062,Wikidata,musicians_semjoinable,Musicians,6,"[1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1]","[1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1]","['musician', 'musicianLabel', 'genderLabel', 'cityLabel', 'fatherLabel', 'motherLabel', 'partner', 'genreLabel', 'ethnicityLabel', 'religionLabel', 'activityStart', 'twitterNameLabel', 'geniusNameLabel', 'recordLabelLabel']","['musicianID', 'birthDate', 'webpage', 'familyName', 'musicianName', 'city', 'forename', 'spouse', 'fatherName', 'motherName', 'residence', 'kind', 'NChildren', 'genderType']",0.86,0.75,1.0,
3308,Wikidata,musicians_semjoinable,Musicians,7,"[1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1]","[1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1]","['musician', 'musicianLabel', 'genderLabel', 'cityLabel', 'fatherLabel', 'motherLabel', 'partner', 'genreLabel', 'ethnicityLabel', 'religionLabel', 'activityStart', 'twitterNameLabel', 'geniusNameLabel', 'recordLabelLabel']","['musicianID', 'birthDate', 'webpage', 'familyName', 'musicianName', 'city', 'forename', 'spouse', 'fatherName', 'motherName', 'residence', 'kind', 'NChildren', 'genderType']",0.86,0.75,1.0,
3690,Wikidata,musicians_semjoinable,Musicians,8,"[1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1]","[1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1]","['musician', 'musicianLabel', 'genderLabel', 'cityLabel', 'fatherLabel', 'motherLabel', 'partner', 'genreLabel', 'ethnicityLabel', 'religionLabel', 'activityStart', 'twitterNameLabel', 'geniusNameLabel', 'recordLabelLabel']","['musicianID', 'birthDate', 'webpage', 'familyName', 'musicianName', 'city', 'forename', 'spouse', 'fatherName', 'motherName', 'residence', 'kind', 'NChildren', 'genderType']",0.93,0.88,1.0,
4317,Wikidata,musicians_semjoinable,Musicians,9,"[1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1]","[1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1]","['musician', 'musicianLabel', 'genderLabel', 'cityLabel', 'fatherLabel', 'motherLabel', 'partner', 'genreLabel', 'ethnicityLabel', 'religionLabel', 'activityStart', 'twitterNameLabel', 'geniusNameLabel', 'recordLabelLabel']","['musicianID', 'birthDate', 'webpage', 'familyName', 'musicianName', 'city', 'forename', 'spouse', 'fatherName', 'motherName', 'residence', 'kind', 'NChildren', 'genderType']",1.0,1.0,1.0,
4723,Wikidata,musicians_semjoinable,Musicians,10,"[1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1]","[1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1]","['musician', 'musicianLabel', 'genderLabel', 'cityLabel', 'fatherLabel', 'motherLabel', 'partner', 'genreLabel', 'ethnicityLabel', 'religionLabel', 'activityStart', 'twitterNameLabel', 'geniusNameLabel', 'recordLabelLabel']","['musicianID', 'birthDate', 'webpage', 'familyName', 'musicianName', 'city', 'forename', 'spouse', 'fatherName', 'motherName', 'residence', 'kind', 'NChildren', 'genderType']",0.93,0.88,1.0,
