,Category of dataset,dataset,relation,Configuration_Num,y_true,y_pred,Sc1,Sc2,it,F1_score,recall,precision
5,tests_stability,beeradvo_ratebeer,beeradvo_ratebeer,0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",3,1.0,1.0,1.0
12,tests_stability,beeradvo_ratebeer,beeradvo_ratebeer,0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",2,1.0,1.0,1.0
22,tests_stability,beeradvo_ratebeer,beeradvo_ratebeer,0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",5,1.0,1.0,1.0
38,tests_stability,beeradvo_ratebeer,beeradvo_ratebeer,0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",8,1.0,1.0,1.0
47,tests_stability,beeradvo_ratebeer,beeradvo_ratebeer,0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",9,1.0,1.0,1.0
51,tests_stability,beeradvo_ratebeer,beeradvo_ratebeer,0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",6,1.0,1.0,1.0
57,tests_stability,beeradvo_ratebeer,beeradvo_ratebeer,0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",0,1.0,1.0,1.0
69,tests_stability,beeradvo_ratebeer,beeradvo_ratebeer,0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",1,1.0,1.0,1.0
76,tests_stability,beeradvo_ratebeer,beeradvo_ratebeer,0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",7,1.0,1.0,1.0
85,tests_stability,beeradvo_ratebeer,beeradvo_ratebeer,0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",4,1.0,1.0,1.0
107,tests_stability,beeradvo_ratebeer,beeradvo_ratebeer,1,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",0,1.0,1.0,1.0
139,tests_stability,beeradvo_ratebeer,beeradvo_ratebeer,1,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",6,1.0,1.0,1.0
142,tests_stability,beeradvo_ratebeer,beeradvo_ratebeer,1,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",5,1.0,1.0,1.0
160,tests_stability,beeradvo_ratebeer,beeradvo_ratebeer,1,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",8,1.0,1.0,1.0
165,tests_stability,beeradvo_ratebeer,beeradvo_ratebeer,1,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",1,1.0,1.0,1.0
180,tests_stability,beeradvo_ratebeer,beeradvo_ratebeer,1,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",9,1.0,1.0,1.0
181,tests_stability,beeradvo_ratebeer,beeradvo_ratebeer,1,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'Beer_Name', 'Brew_Factory_Name', 'Style', 'ABV']","['Beer_Name', 'id', 'Brew_Factory_Name', 'ABV', 'Style']",3,1.0,1.0,1.0
