,Category of dataset,dataset,relation,Configuration_Num,y_true,y_pred,Sc1,Sc2,it,F1_score,recall,precision
0,tests_stability,dblp_acm,dblp_acm,0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",2,1.0,1.0,1.0
18,tests_stability,dblp_acm,dblp_acm,0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1,1.0,1.0,1.0
27,tests_stability,dblp_acm,dblp_acm,0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",6,1.0,1.0,1.0
31,tests_stability,dblp_acm,dblp_acm,0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0,1.0,1.0,1.0
35,tests_stability,dblp_acm,dblp_acm,0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",9,1.0,1.0,1.0
55,tests_stability,dblp_acm,dblp_acm,0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",7,1.0,1.0,1.0
59,tests_stability,dblp_acm,dblp_acm,0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",5,1.0,1.0,1.0
64,tests_stability,dblp_acm,dblp_acm,0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",8,1.0,1.0,1.0
81,tests_stability,dblp_acm,dblp_acm,0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",3,1.0,1.0,1.0
82,tests_stability,dblp_acm,dblp_acm,0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",4,1.0,1.0,1.0
105,tests_stability,dblp_acm,dblp_acm,1,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",8,1.0,1.0,1.0
126,tests_stability,dblp_acm,dblp_acm,1,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1,1.0,1.0,1.0
127,tests_stability,dblp_acm,dblp_acm,1,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",3,1.0,1.0,1.0
134,tests_stability,dblp_acm,dblp_acm,1,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",9,1.0,1.0,1.0
144,tests_stability,dblp_acm,dblp_acm,1,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",5,1.0,1.0,1.0
157,tests_stability,dblp_acm,dblp_acm,1,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",2,1.0,1.0,1.0
159,tests_stability,dblp_acm,dblp_acm,1,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",6,1.0,1.0,1.0
170,tests_stability,dblp_acm,dblp_acm,1,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",4,1.0,1.0,1.0
185,tests_stability,dblp_acm,dblp_acm,1,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0,1.0,1.0,1.0
190,tests_stability,dblp_acm,dblp_acm,1,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",7,1.0,1.0,1.0
201,tests_stability,dblp_acm,dblp_acm,2,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",7,1.0,1.0,1.0
220,tests_stability,dblp_acm,dblp_acm,2,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",8,1.0,1.0,1.0
223,tests_stability,dblp_acm,dblp_acm,2,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0,1.0,1.0,1.0
232,tests_stability,dblp_acm,dblp_acm,2,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",3,1.0,1.0,1.0
235,tests_stability,dblp_acm,dblp_acm,2,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",6,1.0,1.0,1.0
238,tests_stability,dblp_acm,dblp_acm,2,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",9,1.0,1.0,1.0
252,tests_stability,dblp_acm,dblp_acm,2,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",2,1.0,1.0,1.0
270,tests_stability,dblp_acm,dblp_acm,2,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",4,1.0,1.0,1.0
282,tests_stability,dblp_acm,dblp_acm,2,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1,1.0,1.0,1.0
299,tests_stability,dblp_acm,dblp_acm,2,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",5,1.0,1.0,1.0
309,tests_stability,dblp_acm,dblp_acm,3,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0,1.0,1.0,1.0
323,tests_stability,dblp_acm,dblp_acm,3,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",2,1.0,1.0,1.0
324,tests_stability,dblp_acm,dblp_acm,3,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",9,1.0,1.0,1.0
329,tests_stability,dblp_acm,dblp_acm,3,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",8,1.0,1.0,1.0
346,tests_stability,dblp_acm,dblp_acm,3,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",4,1.0,1.0,1.0
348,tests_stability,dblp_acm,dblp_acm,3,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1,1.0,1.0,1.0
364,tests_stability,dblp_acm,dblp_acm,3,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",7,1.0,1.0,1.0
378,tests_stability,dblp_acm,dblp_acm,3,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",5,1.0,1.0,1.0
384,tests_stability,dblp_acm,dblp_acm,3,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",3,1.0,1.0,1.0
387,tests_stability,dblp_acm,dblp_acm,3,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",6,1.0,1.0,1.0
407,tests_stability,dblp_acm,dblp_acm,4,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",0,1.0,1.0,1.0
412,tests_stability,dblp_acm,dblp_acm,4,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",1,1.0,1.0,1.0
425,tests_stability,dblp_acm,dblp_acm,4,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",3,1.0,1.0,1.0
434,tests_stability,dblp_acm,dblp_acm,4,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",2,1.0,1.0,1.0
464,tests_stability,dblp_acm,dblp_acm,4,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['id', 'title', 'authors', 'venue', 'year']","['id', 'title', 'authors', 'year', 'venue']",7,1.0,1.0,1.0
