,Category of dataset,dataset,relation,Configuration_Num,y_true,y_pred,Sc1,Sc2,it,F1_score,recall,precision
4,tests_stability,fodors_zagats,fodors_zagats,0,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['id', 'name', 'class', 'phone', 'addr', 'type', 'city']",1,1.0,1.0,1.0
15,tests_stability,fodors_zagats,fodors_zagats,0,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['class', 'id', 'name', 'phone', 'addr', 'type', 'city']",0,1.0,1.0,1.0
29,tests_stability,fodors_zagats,fodors_zagats,0,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['id', 'class', 'name', 'phone', 'addr', 'type', 'city']",9,1.0,1.0,1.0
49,tests_stability,fodors_zagats,fodors_zagats,0,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['id', 'class', 'name', 'phone', 'addr', 'type', 'city']",5,1.0,1.0,1.0
60,tests_stability,fodors_zagats,fodors_zagats,0,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['name', 'id', 'class', 'phone', 'addr', 'type', 'city']",7,1.0,1.0,1.0
61,tests_stability,fodors_zagats,fodors_zagats,0,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['id', 'class', 'name', 'phone', 'addr', 'type', 'city']",4,1.0,1.0,1.0
78,tests_stability,fodors_zagats,fodors_zagats,0,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['name', 'class', 'id', 'phone', 'addr', 'type', 'city']",6,1.0,1.0,1.0
80,tests_stability,fodors_zagats,fodors_zagats,0,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['id', 'name', 'class', 'phone', 'addr', 'type', 'city']",2,1.0,1.0,1.0
89,tests_stability,fodors_zagats,fodors_zagats,0,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['name', 'class', 'id', 'phone', 'addr', 'type', 'city']",3,1.0,1.0,1.0
94,tests_stability,fodors_zagats,fodors_zagats,0,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['name', 'class', 'id', 'phone', 'addr', 'type', 'city']",8,1.0,1.0,1.0
100,tests_stability,fodors_zagats,fodors_zagats,1,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['name', 'id', 'class', 'phone', 'addr', 'type', 'city']",9,1.0,1.0,1.0
103,tests_stability,fodors_zagats,fodors_zagats,1,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['name', 'id', 'class', 'phone', 'addr', 'type', 'city']",3,1.0,1.0,1.0
104,tests_stability,fodors_zagats,fodors_zagats,1,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['class', 'id', 'name', 'phone', 'addr', 'type', 'city']",4,1.0,1.0,1.0
128,tests_stability,fodors_zagats,fodors_zagats,1,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['class', 'id', 'name', 'phone', 'addr', 'type', 'city']",1,1.0,1.0,1.0
131,tests_stability,fodors_zagats,fodors_zagats,1,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['class', 'id', 'name', 'phone', 'addr', 'type', 'city']",2,1.0,1.0,1.0
150,tests_stability,fodors_zagats,fodors_zagats,1,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['name', 'id', 'class', 'phone', 'addr', 'type', 'city']",6,1.0,1.0,1.0
171,tests_stability,fodors_zagats,fodors_zagats,1,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['id', 'class', 'name', 'phone', 'addr', 'type', 'city']",8,1.0,1.0,1.0
182,tests_stability,fodors_zagats,fodors_zagats,1,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['id', 'name', 'addr', 'city', 'phone', 'type', 'class']","['name', 'class', 'phone', 'id', 'addr', 'type', 'city']",0,1.0,1.0,1.0
